id;iter;estimations;token_probs
(0, 0);0;0.7248702761768248;[0.5760050553767418, 0.21862685919804095]
(0, 0);1;0.8144220704767827;[0.470309265706196, 0.1071668154992966]
(0, 0);2;0.7146280437908932;[0.3645757085904969, 0.14558578277293904]
(0, 0);3;0.5746334887513667;[0.3408949427629244, 0.25234396418568084]
(0, 0);4;0.8459424489603725;[0.7141079822290856, 0.1300487131899633]
(0, 0);5;0.7690802370707283;[0.27488712763335627, 0.08253608308435247]
(0, 0);6;0.47268347662043286;[0.23566775380224322, 0.26290637763811936]
(0, 0);7;0.6095241625665027;[0.1583155006164683, 0.10142071714043668]
(0, 0);8;0.826151464084799;[0.6080164094544351, 0.1279459847150029]
(0, 0);9;0.7739005955227602;[0.5168470696241829, 0.1509997735159999]
(0, 1);0;0.6460137001902271;[0.3842175668084278, 0.21053385517424833]
(0, 1);1;0.31594698376798913;[0.19315002449538698, 0.41818679597960695]
(0, 1);2;0.6001883449573377;[0.4233367776117138, 0.28200310639054094]
(0, 1);3;0.3451052440156647;[0.13363764146250587, 0.2535997123009156]
(0, 1);4;0.6435533413299583;[0.3612851494718164, 0.20010599912386887]
(0, 1);5;0.5312093733737562;[0.19524104320951385, 0.17229961588978113]
(0, 1);6;0.30074557894124154;[0.168526334784933, 0.39183546796615254]
(0, 1);7;0.8140528050985784;[0.4073504927237962, 0.0930476266272793]
(0, 1);8;0.6943026711575786;[0.13099793752994157, 0.05767761129307361]
(0, 1);9;0.6081287136691501;[0.30717338689148005, 0.1979390670792372]
(0, 2);0;0.5612148072747433;[0.3151058113692216, 0.24636513929826714]
(0, 2);1;0.611381973294151;[0.3578291257364658, 0.22745003093946273]
(0, 2);2;0.3914059390883862;[0.1396161564812448, 0.21708807955160975]
(0, 2);3;0.8360197590671968;[0.6392837003571581, 0.12539164783132223]
(0, 2);4;0.5544704649604273;[0.18995128858018587, 0.15263014827550445]
(0, 2);5;0.7549149868676284;[0.29920361665455547, 0.09713719238944325]
(0, 2);6;0.54691965128964;[0.1661450463026255, 0.1376382350456574]
(0, 2);7;0.7950222638482464;[0.5281298636513796, 0.13616582675483138]
(0, 2);8;0.6926419831347361;[0.1908957078426455, 0.08470945686119764]
(0, 2);9;0.6315943044052867;[0.14382572491202478, 0.08389280248579907]
(0, 3);0;0.8504686055087114;[0.4240472991133558, 0.07455699546811217]
(0, 3);1;0.6610481792447818;[0.27151772257503065, 0.13922045219042686]
(0, 3);2;0.8902942144788076;[0.6000130831806151, 0.07393612756638751]
(0, 3);3;0.5506073655352404;[0.11087294374640597, 0.09049185935358053]
(0, 3);4;0.7627776615116516;[0.20829305536386594, 0.06477872672146223]
(0, 3);5;0.44661538731450917;[0.05045291065783245, 0.06251433608484015]
(0, 3);6;0.7898827402935596;[0.4810434428593326, 0.12796270238262192]
(0, 3);7;0.6804540850096145;[0.29603851196373265, 0.13902171985124692]
(0, 3);8;0.4590761278106335;[0.20691995720588635, 0.2438112933880015]
(0, 3);9;0.7931059609645724;[0.6748134002919632, 0.17603558270049566]
(1, 0);0;0.2877678157610531;[0.2297676007210779, 0.5686802733520414]
(1, 0);1;0.4186969093556867;[0.2888953879877525, 0.4010915250571043]
(1, 0);2;0.7563575624625937;[0.3073506687686928, 0.0990056420851345]
(1, 0);3;0.5078118642792044;[0.44553411645866947, 0.43182647276479635]
(1, 0);4;0.8433798087633533;[0.7088208174250866, 0.13163185888978698]
(1, 0);5;0.23651623644570757;[0.11664747702037448, 0.37654266828768757]
(1, 0);6;0.5736784074525096;[0.17745186649801306, 0.13187102973231596]
(1, 0);7;0.42250466390059577;[0.134221184321704, 0.18345858537021756]
(1, 0);8;0.3629692055196168;[0.14427544645394208, 0.2532112941840172]
(1, 0);9;0.2982869221861587;[0.09421092803821317, 0.22162902682047422]
(1, 1);0;0.603931819468636;[0.5134628303219384, 0.336737165389008]
(1, 1);1;0.6206216158802703;[0.30641450399672204, 0.18730742923325946]
(1, 1);2;0.5156199157230156;[0.3549349582180864, 0.33343053619922564]
(1, 1);3;0.5253688222550322;[0.37824319491680386, 0.34171425001355304]
(1, 1);4;0.6178585571447408;[0.29345210458072807, 0.18149819138479883]
(1, 1);5;0.19193280493595358;[0.13399905860053454, 0.5641570416307362]
(1, 1);6;0.21601152460039558;[0.14178657832023062, 0.5145977446112644]
(1, 1);7;0.8582440240427289;[0.6020606714416584, 0.09944222817152189]
(1, 1);8;0.6224593312018545;[0.3426801071878075, 0.20784599148301683]
(1, 1);9;0.869714586004636;[0.5768854998657091, 0.08641888659497056]
(1, 2);0;0.4301473193651897;[0.11492116676704607, 0.1522458283374368]
(1, 2);1;0.7520125848754472;[0.6626034412075027, 0.21850341063759915]
(1, 2);2;0.5544704649604273;[0.226034135483503, 0.1816235302852862]
(1, 2);3;0.6224593312018545;[0.46591470462357976, 0.2825915531651566]
(1, 2);4;0.6187804337438501;[0.38865281659319206, 0.23944205421857398]
