id;iter;estimations
(0, 0);0;3.0396742838631286e-10
(0, 0);1;2.363388691126279e-06
(0, 0);2;1.385587527143253e-05
(0, 0);3;6.435852105905117e-06
(0, 0);4;4.022954883154415e-07
(0, 0);5;1.6079295142849653e-11
(0, 0);6;1.6361111410598755e-07
(0, 0);7;1.907461940658687e-06
(0, 0);8;3.465255191954843e-12
(0, 0);9;3.539488842171858e-14
(0, 1);0;2.9816299784570505e-07
(0, 1);1;7.321610071528879e-09
(0, 1);2;2.9877882507414645e-05
(0, 1);3;4.118758982214117e-12
(0, 1);4;0.005866922473632439
(0, 1);5;1.256808672912654e-10
(0, 1);6;4.4177308355276055e-09
(0, 1);7;1.0146602342193886e-16
(0, 1);8;7.317678872315408e-08
(0, 1);9;1.1048690399017572e-06
(0, 2);0;0.0010878820978476994
(0, 2);1;1.1634121733747726e-06
(0, 2);2;2.601609882640005e-05
(0, 2);3;0.0016083495219464056
(0, 2);4;7.013945694854579e-05
(0, 2);5;2.035037724721074e-06
(0, 2);6;7.730062808556301e-06
(0, 2);7;6.061220173417478e-13
(0, 2);8;2.8516473229482273e-08
(0, 2);9;6.6540746464712394e-09
(0, 3);0;1.0862447604323752e-05
(0, 3);1;6.049988939563219e-13
(0, 3);2;1.6536146492445234e-06
(0, 3);3;4.536433935846651e-05
(0, 3);4;0.005666298193913675
(0, 3);5;1.5381463511987087e-05
(0, 3);6;3.788669258882381e-08
(0, 3);7;6.279817498352136e-05
(0, 3);8;2.5851650685118047e-09
(0, 3);9;0.00010865227183993236
(1, 0);0;5.229476833214953e-05
(1, 0);1;0.012060440025087112
(1, 0);2;0.000465797143562389
(1, 0);3;1.0624668144931766e-06
(1, 0);4;4.915054475098708e-10
(1, 0);5;0.00023704007154237648
(1, 0);6;0.019226780315272265
(1, 0);7;2.062557541604617e-05
(1, 0);8;2.7215186418217695e-05
(1, 0);9;5.6176938387564775e-05
(1, 1);0;3.2621408992007962e-09
(1, 1);1;4.660587337937781e-06
(1, 1);2;6.085732731861782e-05
(1, 1);3;2.3728869684673053e-05
(1, 1);4;0.005000298383248659
(1, 1);5;2.551509673030276e-05
(1, 1);6;0.0015534595026191263
(1, 1);7;0.0005144139554925125
(1, 1);8;0.018537027841215442
(1, 1);9;0.01706972806846856
(1, 2);0;0.00010996885885882529
(1, 2);1;9.794997462075466e-05
(1, 2);2;4.543722936368583e-06
(1, 2);3;0.0027127753002012924
(1, 2);4;0.0007826843838102055
(1, 2);5;0.2198247788899182
(1, 2);6;2.6918075324909326e-08
(1, 2);7;0.17219860272992163
(1, 2);8;2.8056217103677745e-05
(1, 2);9;9.873262408409245e-06
(1, 3);0;1.4016242734497096e-09
(1, 3);1;6.12800515251972e-12
(1, 3);2;3.6273284762951646e-05
(1, 3);3;2.7752323131644024e-08
(1, 3);4;0.0001553417154967894
(1, 3);5;0.009301858228924235
(1, 3);6;1.3796581679196736e-05
(1, 3);7;1.9361845441808067e-05
(1, 3);8;5.132094780572536e-07
(1, 3);9;8.190647046044322e-07
(2, 0);0;5.311430486648692e-05
(2, 0);1;1.1334428201960843e-05
(2, 0);2;0.0008260809450920918
(2, 0);3;4.5061545121273535e-07
(2, 0);4;2.56540031190584e-06
(2, 0);5;5.036635271005273e-09
(2, 0);6;0.012537812691384638
(2, 0);7;0.029240911089383405
(2, 0);8;0.0009395656636289324
(2, 0);9;8.327667094303256e-11
(2, 1);0;8.171553187888421e-05
(2, 1);1;8.524789693014177e-06
(2, 1);2;0.000271612606435457
(2, 1);3;8.504973497517463e-09
(2, 1);4;3.400991960513733e-08
(2, 1);5;9.7073161920602e-13
(2, 1);6;1.032976594938597e-05
(2, 1);7;3.6183676792757514e-05
(2, 1);8;3.0883239575886707e-06
(2, 1);9;0.0033378712620615366
(3, 3);0;0.035201838646243565
(3, 3);1;4.628597629800441e-06
(3, 3);2;2.7565691885527367e-05
(3, 3);3;0.004126322694130203
(3, 3);4;0.0104517716001856
(3, 3);5;8.656534681041078e-08
(3, 3);6;0.0008173799973869966
(3, 3);7;0.0008467397517799699
(3, 3);8;0.006833953804960182
(3, 3);9;8.58057078045077e-12
(4, 0);0;0.026683613732599223
(4, 0);1;0.00022206000810965035
(4, 0);2;9.713001076072848e-15
(4, 0);3;0.023797572551806954
(4, 0);4;1.0522607402399947e-06
(4, 0);5;0.05080528542413363
(4, 0);6;0.04663242886442182
(4, 0);7;1.0812162859221124e-05
(4, 0);8;0.02842265586162316
(4, 0);9;4.1774966131443454e-12
(4, 1);0;0.04771080202944315
(4, 1);1;2.7592986397952414e-06
(4, 1);2;0.01192266052241592
(4, 1);3;0.003978047768903298
(4, 1);4;0.04686586066241314
(4, 1);5;0.0190800698870415
(4, 1);6;1.010236266931096e-06
(4, 1);7;0.017672661614498326
(4, 1);8;0.0007767249311314514
(4, 1);9;5.0368689029895686e-08
(4, 2);0;4.4140015686651e-19
(4, 2);1;0.09582815706808989
(4, 2);2;0.000982393984138318
(4, 2);3;2.7444959950657815e-08
(4, 2);4;0.01763303122989853
(4, 2);5;1.2409946844259832e-13
(4, 2);6;3.5195918757522365e-14
(4, 2);7;0.026839255049545506
(4, 2);8;3.8978931532930394e-11
(4, 2);9;0.17033799512817593
(4, 3);0;0.0059534868594893296
(4, 3);1;0.03826745486206006
(4, 3);2;8.14510047871319e-07
(4, 3);3;2.942994820587211e-09
(4, 3);4;1.0121295148995468e-18
(4, 3);5;0.0011497876162069648
(4, 3);6;2.923990305654249e-07
(4, 3);7;1.6416052710816472e-05
(4, 3);8;6.407104950187496e-06
(4, 3);9;2.8582295719664874e-07
(5, 0);0;2.956680410070877e-09
(5, 0);1;5.480825408595673e-05
(5, 0);2;1.4873516567064353e-07
(5, 0);3;0.0038671763534057824
(5, 0);4;0.08754414940032561
(5, 0);5;0.22181681213308435
(5, 0);6;0.00585556790930138
(5, 0);7;0.01618855964983399
(5, 0);8;8.345183556336813e-09
(5, 0);9;3.8024567043863707e-07
(5, 1);0;0.042576200663405915
(5, 1);1;6.394228069669563e-09
(5, 1);2;4.463749295309713e-07
(5, 1);3;1.0997195726407246e-06
(5, 1);4;8.735346951638892e-05
(5, 1);5;7.958834861999718e-05
(5, 1);6;0.004583873649169298
(5, 1);7;0.020643991737140915
(5, 1);8;2.857347735483113e-07
(5, 1);9;0.01264390352634458
(5, 2);0;3.2997812835677224e-11
(5, 2);1;0.0006058561135052864
(5, 2);2;0.00032888820789943947
(5, 2);3;1.213673367425039e-06
(5, 2);4;2.5369802323451614e-05
(5, 2);5;0.0027216106254238973
(5, 2);6;3.7747730576354285e-05
(5, 2);7;0.022664606418071918
(5, 2);8;0.0008916109430229807
(5, 2);9;0.17214985806768812
(5, 3);0;4.96600379932396e-07
(5, 3);1;0.15265054675437653
(5, 3);2;2.918925153140744e-10
(5, 3);3;4.8862984587681645e-17
(5, 3);4;0.08299704580107115
(5, 3);5;1.35250871141446e-09
(5, 3);6;1.165395443789088e-08
(5, 3);7;3.5085626000644855e-06
(5, 3);8;4.3455539630054507e-10
(5, 3);9;1.7981939812516909e-09
(6, 0);0;0.00028471336543721106
(6, 0);1;0.020083985317927277
(6, 0);2;0.0006146792142483798
(6, 0);3;3.2784682651614064e-06
(6, 0);4;5.0883906342849525e-09
(6, 0);5;6.862561379405515e-07
(6, 0);6;0.00020466595973902722
(6, 0);7;0.00016349234633113285
(6, 0);8;0.00540297032633644
(6, 0);9;1.2493668393446823e-17
(7, 2);0;4.555335516876928e-13
(7, 2);1;2.8175026918878484e-16
(7, 2);2;1.5346956192993464e-08
(7, 2);3;4.582153878260817e-22
(7, 2);4;0.0004106558781456366
(7, 2);5;0.0026228178790737564
(7, 2);6;2.1710758133849464e-07
(7, 2);7;4.911387881993712e-06
(7, 2);8;1.9090349356756364e-21
(7, 2);9;0.00010496890346563325
(7, 3);0;1.6704758367345216e-16
(7, 3);1;0.03154185580203418
(7, 3);2;0.037473712960531015
(7, 3);3;0.000123122632042791
(7, 3);4;0.001344738402867562
(7, 3);5;1.8777904105918576e-20
(7, 3);6;2.802601459063504e-22
(7, 3);7;1.2796209258337357e-05
(7, 3);8;0.004049618808285827
(7, 3);9;1.8727613943124775e-08
(8, 0);0;0.002230711844838147
(8, 0);1;2.498534376534411e-05
(8, 0);2;0.026809007224081298
(8, 0);3;2.0300331140325788e-05
(8, 0);4;8.039571540758045e-07
(8, 0);5;9.737836521062323e-14
(8, 0);6;0.01682618608570505
(8, 0);7;2.129186729453715e-09
(8, 0);8;1.5066536409560302e-05
(8, 0);9;0.00013054171476368308
(8, 1);0;0.0012213301517339868
(8, 1);1;0.1371022237652612
(8, 1);2;0.08645272158231218
(8, 1);3;0.001426945753670609
(8, 1);4;0.00016044634945178708
(8, 1);5;1.457826351338985e-11
(8, 1);6;0.01005433164343187
