estimations;id;iter
2.7937091338184315e-14;(0, 0);0
3.38954448684546e-12;(0, 0);1
3.7174740587749446e-19;(0, 0);2
7.291434196505411e-24;(0, 0);3
6.087068861505322e-09;(0, 0);4
1.3028294252233148e-36;(0, 0);5
1.0257549586681255e-25;(0, 0);6
1.9790124966304324e-15;(0, 0);7
1.4326069494096175e-15;(0, 0);8
1.529025850849699e-16;(0, 0);9
2.5190573476883058e-19;(0, 1);0
5.56491205471739e-18;(0, 1);1
8.499306458414697e-31;(0, 1);2
1.3725179261414521e-14;(0, 1);3
2.1363487450506343e-10;(0, 1);4
6.138134524382745e-22;(0, 1);5
1.846841095227284e-16;(0, 1);6
1.4734496511261872e-09;(0, 1);7
2.156144970399466e-13;(0, 1);8
2.2823668764518395e-15;(0, 1);9
5.860382083898317e-13;(0, 2);0
3.876447054449022e-11;(0, 2);1
8.628029472573418e-12;(0, 2);2
2.6373356092529305e-24;(0, 2);3
1.6888767022386764e-15;(0, 2);4
1.2761607010891413e-14;(0, 2);5
1.8318826659639217e-14;(0, 2);6
1.7139066196388905e-29;(0, 2);7
1.9986308012312422e-23;(0, 2);8
1.2554407414643867e-16;(0, 2);9
1.528141582125385e-12;(0, 3);0
8.224359878602874e-17;(0, 3);1
5.989434570869764e-23;(0, 3);2
8.144809015551415e-18;(0, 3);3
9.608884608734005e-12;(0, 3);4
1.9161278148322147e-08;(0, 3);5
1.0818651670299587e-23;(0, 3);6
4.249243633617551e-18;(0, 3);7
4.434953293894682e-14;(0, 3);8
2.455952394697101e-08;(0, 3);9
8.323156760596425e-11;(1, 0);0
6.559074197328246e-12;(1, 0);1
4.60751391286427e-15;(1, 0);2
1.3893337570501844e-09;(1, 0);3
4.992050939033687e-09;(1, 0);4
1.7360041103898375e-21;(1, 0);5
2.0165797545436517e-14;(1, 0);6
8.59125776321651e-09;(1, 0);7
1.7618685469379436e-24;(1, 0);8
4.2448352569161053e-13;(1, 0);9
6.156416691464213e-20;(10, 0);0
4.8205306839481614e-15;(10, 0);1
6.572889455172848e-14;(10, 0);2
2.6612787828271303e-10;(10, 0);3
3.3865330327734135e-19;(10, 0);4
5.1344344678591616e-17;(10, 0);5
2.5403497533531084e-13;(10, 0);6
1.626739317940568e-13;(10, 0);7
3.739752476989424e-15;(10, 0);8
2.869397037055603e-17;(10, 0);9
2.44075163346506e-13;(10, 1);0
5.925851693662338e-16;(10, 1);1
3.830837301020508e-13;(10, 1);2
3.4949806663468846e-19;(10, 1);3
4.092617750963197e-12;(10, 1);4
1.2897810441627694e-12;(10, 1);5
3.050811296003379e-15;(10, 1);6
1.7188397213954232e-10;(10, 1);7
8.451371482024554e-21;(10, 1);8
7.244547987874871e-08;(10, 1);9
5.965212769793777e-16;(10, 2);0
1.4038790760289125e-06;(10, 2);1
2.876278041970974e-10;(10, 2);2
2.0920420223171265e-13;(10, 2);3
1.803272028079183e-09;(10, 2);4
3.8304227707173933e-13;(10, 2);5
1.2417251443921136e-10;(10, 2);6
3.1943397391191517e-12;(10, 2);7
2.83181936056487e-14;(10, 2);8
3.5547367164210983e-10;(10, 2);9
1.3609604436358894e-12;(10, 3);0
1.9372519215082477e-15;(10, 3);1
4.55482553025398e-13;(10, 3);2
8.508393699882989e-13;(10, 3);3
3.6167718707155534e-08;(10, 3);4
7.540865338258465e-16;(10, 3);5
4.512573312378643e-09;(10, 3);6
1.2472878794441657e-09;(10, 3);7
3.498884450282202e-08;(10, 3);8
1.1063132345092837e-05;(10, 3);9
3.8776207458955116e-11;(11, 0);0
2.435678306512326e-10;(11, 0);1
3.943401773963956e-16;(11, 0);2
2.433481414970281e-11;(11, 0);3
2.2724684027283776e-19;(11, 0);4
1.2122404145832951e-11;(11, 0);5
8.1091056201911e-12;(11, 0);6
1.1917229460452933e-07;(11, 0);7
1.0186815282859034e-12;(11, 0);8
5.899344358895894e-16;(11, 0);9
8.739280154732505e-15;(2, 2);0
2.157192916758651e-18;(2, 2);1
5.978030684054752e-17;(2, 2);2
7.662553244081538e-13;(2, 2);3
4.09193523258758e-19;(2, 2);4
7.731261419440528e-14;(2, 2);5
5.00325724454901e-14;(2, 2);6
8.834629621720107e-12;(2, 2);7
1.2220236760570977e-19;(2, 2);8
1.2392931463706829e-17;(2, 2);9
4.015334496704654e-16;(2, 3);0
5.083891044915429e-15;(2, 3);1
7.974909450164609e-16;(2, 3);2
6.63235475245745e-14;(2, 3);3
3.1783283908442563e-21;(2, 3);4
4.560986260772507e-27;(2, 3);5
1.6390157148003046e-17;(2, 3);6
2.089990041733931e-11;(2, 3);7
1.3727158958841156e-15;(2, 3);8
6.268865603525118e-10;(2, 3);9
1.725871335162729e-08;(3, 0);0
5.403422019794627e-24;(3, 0);1
1.5519056435371742e-11;(3, 0);2
1.9865089286196127e-12;(3, 0);3
1.6492276311722857e-17;(3, 0);4
4.82446237262701e-16;(3, 0);5
1.8450890004892833e-09;(3, 0);6
6.763242471403623e-09;(3, 0);7
7.757489047756298e-06;(3, 0);8
3.859530233977945e-18;(3, 0);9
1.0109841603879075e-11;(3, 1);0
3.147251400934924e-27;(3, 1);1
9.344489477103917e-18;(3, 1);2
9.711503458149545e-11;(3, 1);3
7.605683570342745e-11;(3, 1);4
1.5008781952128835e-17;(3, 1);5
1.5489393855204777e-12;(3, 1);6
5.889784830267613e-16;(3, 1);7
3.660860580882221e-12;(3, 1);8
3.219854743063789e-11;(3, 1);9
4.584727239467294e-17;(3, 2);0
3.8404182888428576e-12;(3, 2);1
4.662189974074042e-13;(3, 2);2
3.694437019704203e-18;(3, 2);3
9.276862586830765e-22;(3, 2);4
1.4894573326462738e-18;(3, 2);5
