estimations;id;iter
1.0;(10, 0);0
0.0;(10, 0);1
1.0;(10, 0);2
0.0;(10, 0);3
1.0;(10, 0);4
1.0;(10, 0);5
0.0;(10, 0);6
0.0;(10, 0);7
1.0;(10, 0);8
0.0;(10, 0);9
1.0;(10, 1);0
1.0;(10, 1);1
1.0;(10, 1);2
1.0;(10, 1);3
1.0;(10, 1);4
0.7549149868676283;(10, 1);5
1.0;(10, 1);6
1.0;(10, 1);7
1.0;(10, 1);8
1.0;(10, 1);9
0.053403329799824234;(10, 2);0
0.0;(10, 2);1
0.0;(10, 2);2
0.0;(10, 2);3
0.0;(10, 2);4
1.0;(10, 2);5
0.0;(10, 2);6
0.0;(10, 2);7
0.0;(10, 2);8
1.0;(10, 2);9
1.0;(10, 3);0
1.0;(10, 3);1
1.0;(10, 3);2
1.0;(10, 3);3
1.0;(10, 3);4
1.0;(10, 3);5
1.0;(10, 3);6
1.0;(10, 3);7
1.0;(10, 3);8
1.0;(10, 3);9
1.0;(11, 0);0
1.0;(11, 0);1
0.03308597838870413;(11, 0);2
0.9883127420043055;(11, 0);3
0.9973683260251154;(11, 0);4
0.9996646498695335;(11, 0);5
1.0;(11, 0);6
0.26894142136999516;(11, 0);7
0.9992445947272037;(11, 0);8
0.02033234384456601;(11, 0);9
1.0;(11, 1);0
1.0;(11, 1);1
1.0;(11, 1);2
1.0;(11, 1);3
1.0;(11, 1);4
1.0;(11, 1);5
1.0;(11, 1);6
1.0;(11, 1);7
1.0;(11, 1);8
1.0;(11, 1);9
0.320821300824607;(11, 2);0
0.9525741268224333;(11, 2);1
0.8740772351648677;(11, 2);2
0.7549149868676284;(11, 2);3
1.0;(11, 2);4
1.0;(11, 2);5
1.0;(11, 2);6
0.9981897889737974;(11, 2);7
0.997199073032879;(11, 2);8
1.0;(11, 2);9
1.0;(11, 3);0
1.0;(11, 3);1
1.0;(11, 3);2
1.0;(11, 3);3
0.9973683260251155;(11, 3);4
1.0;(11, 3);5
1.0;(11, 3);6
1.0;(11, 3);7
1.0;(11, 3);8
1.0;(11, 3);9
1.0;(12, 0);0
1.0;(12, 0);1
1.0;(12, 0);2
0.9241418199787566;(12, 0);3
1.0;(12, 0);4
1.0;(12, 0);5
1.0;(12, 0);6
1.0;(12, 0);7
0.25683199138751883;(12, 0);8
0.9937100948827128;(12, 0);9
1.0;(12, 1);0
1.0;(12, 1);1
1.0;(12, 1);2
1.0;(12, 1);3
1.0;(12, 1);4
1.0;(12, 1);5
1.0;(12, 1);6
1.0;(12, 1);7
1.0;(12, 1);8
1.0;(12, 1);9
1.0;(12, 2);0
1.0;(12, 2);1
1.0;(12, 2);2
1.0;(12, 2);3
1.0;(12, 2);4
1.0;(12, 2);5
1.0;(12, 2);6
1.0;(12, 2);7
1.0;(12, 2);8
1.0;(12, 2);9
1.0;(12, 3);0
1.0;(12, 3);1
0.9465966702001757;(12, 3);2
1.0;(12, 3);3
1.0;(12, 3);4
1.0;(12, 3);5
1.0;(12, 3);6
0.9706877692486436;(12, 3);7
1.0;(12, 3);8
1.0;(12, 3);9
1.0;(13, 0);0
0.00912563307744822;(13, 0);1
1.0;(13, 0);2
1.0;(13, 0);3
0.2689414213699951;(13, 0);4
1.0;(13, 0);5
0.7185943925708562;(13, 0);6
1.0;(13, 0);7
1.0;(13, 0);8
1.0;(13, 0);9
1.0;(13, 1);0
1.0;(13, 1);1
1.0;(13, 1);2
1.0;(13, 1);3
1.0;(13, 1);4
1.0;(13, 1);5
0.24508501313237174;(13, 1);6
1.0;(13, 1);7
1.0;(13, 1);8
1.0;(13, 1);9
1.0;(13, 2);0
1.0;(13, 2);1
1.0;(13, 2);2
1.0;(13, 2);3
1.0;(13, 2);4
1.0;(13, 2);5
1.0;(13, 2);6
1.0;(13, 2);7
1.0;(13, 2);8
1.0;(13, 2);9
1.0;(13, 3);0
1.0;(13, 3);1
1.0;(13, 3);2
1.0;(13, 3);3
0.9046505351008906;(13, 3);4
1.0;(13, 3);5
1.0;(13, 3);6
0.0;(13, 3);7
1.0;(13, 3);8
0.5;(13, 3);9
1.0;(14, 0);0
1.0;(14, 0);1
1.0;(14, 0);2
1.0;(14, 0);3
1.0;(14, 0);4
1.0;(14, 0);5
1.0;(14, 0);6
1.0;(14, 0);7
1.0;(14, 0);8
1.0;(14, 0);9
1.0;(14, 1);0
1.0;(14, 1);1
1.0;(14, 1);2
1.0;(14, 1);3
1.0;(14, 1);4
1.0;(14, 1);5
1.0;(14, 1);6
1.0;(14, 1);7
1.0;(14, 1);8
1.0;(14, 1);9
1.0;(14, 2);0
1.0;(14, 2);1
1.0;(14, 2);2
1.0;(14, 2);3
1.0;(14, 2);4
1.0;(14, 2);5
1.0;(14, 2);6
1.0;(14, 2);7
1.0;(14, 2);8
1.0;(14, 2);9
1.0;(14, 3);0
1.0;(14, 3);1
1.0;(14, 3);2
1.0;(14, 3);3
1.0;(14, 3);4
1.0;(14, 3);5
1.0;(14, 3);6
1.0;(14, 3);7
1.0;(14, 3);8
1.0;(14, 3);9
5.8291286506508305e-05;(5, 0);0
1.0;(5, 0);1
0.0;(5, 0);2
0.9997388095563916;(5, 0);3
0.0006667023092435894;(5, 0);4
0.9859363729567545;(5, 0);5
0.9706877692486438;(5, 0);6
1.0;(5, 0);7
0.00031503861899393333;(5, 0);8
1.0;(5, 0);9
1.0;(5, 1);0
1.0;(5, 1);1
1.0;(5, 1);2
1.0;(5, 1);3
1.0;(5, 1);4
1.0;(5, 1);5
1.0;(5, 1);6
1.0;(5, 1);7
1.0;(5, 1);8
1.0;(5, 1);9
0.9525741268224333;(5, 2);0
0.022977359205315;(5, 2);1
1.0;(5, 2);2
0.9626731126558705;(5, 2);3
0.005911068856243796;(5, 2);4
0.0007096707372577345;(5, 2);5
1.0;(5, 2);6
1.0;(5, 2);7
0.0;(5, 2);8
0.1732882059293266;(5, 2);9
0.0;(5, 3);0
1.0;(5, 3);1
1.0;(5, 3);2
1.0;(5, 3);3
0.0;(5, 3);4
0.9830850867332735;(5, 3);5
1.0;(5, 3);6
1.0;(5, 3);7
0.9993332976907565;(5, 3);8
1.0;(5, 3);9
0.00026119025683936706;(6, 0);0
0.002981031312625498;(6, 0);1
0.0;(6, 0);2
0.0;(6, 0);3
0.0;(6, 0);4
0.0066928509242848554;(6, 0);5
0.0;(6, 0);6
0.0024726231566347743;(6, 0);7
0.001169509708041892;(6, 0);8
0.7772998611746912;(6, 0);9
0.9859363795685014;(6, 1);0
1.0;(6, 1);1
1.0;(6, 1);2
1.0;(6, 1);3
1.0;(6, 1);4
1.0;(6, 1);5
1.0;(6, 1);6
0.8933094060543487;(6, 1);7
1.0;(6, 1);8
1.0;(6, 1);9
1.0;(6, 2);0
1.0;(6, 2);1
1.0;(6, 2);2
1.0;(6, 2);3
1.0;(6, 2);4
1.0;(6, 2);5
1.0;(6, 2);6
1.0;(6, 2);7
1.0;(6, 2);8
1.0;(6, 2);9
1.0;(6, 3);0
0.9740426307460535;(6, 3);1
1.0;(6, 3);2
0.46879050788140725;(6, 3);3
1.0;(6, 3);4
1.0;(6, 3);5
1.0;(6, 3);6
1.0;(6, 3);7
0.0;(6, 3);8
1.0;(6, 3);9
0.002050743539917378;(7, 0);0
1.0;(7, 0);1
0.0;(7, 0);2
0.5312093733737563;(7, 0);3
0.0;(7, 0);4
0.0023231614174348595;(7, 0);5
1.0;(7, 0);6
0.010328152519305191;(7, 0);7
0.0;(7, 0);8
0.0;(7, 0);9
1.0;(7, 1);0
