estimations;id;iter
1.0;(0, 0);0
1.0;(0, 0);1
1.0;(0, 0);2
1.0;(0, 0);3
1.0;(0, 0);4
1.0;(0, 0);5
1.0;(0, 0);6
1.0;(0, 0);7
1.0;(0, 0);8
1.0;(0, 0);9
1.0;(0, 1);0
1.0;(0, 1);1
1.0;(0, 1);2
1.0;(0, 1);3
1.0;(0, 1);4
1.0;(0, 1);5
1.0;(0, 1);6
1.0;(0, 1);7
1.0;(0, 1);8
1.0;(0, 1);9
1.0;(0, 2);0
1.0;(0, 2);1
1.0;(0, 2);2
0.99999976176309;(0, 2);3
0.9999999973534263;(0, 2);4
0.9999970976880148;(0, 2);5
1.0;(0, 2);6
1.0;(0, 2);7
1.0;(0, 2);8
1.0;(0, 2);9
1.0;(0, 3);0
1.0;(0, 3);1
1.0;(0, 3);2
1.0;(0, 3);3
1.0;(0, 3);4
1.0;(0, 3);5
1.0;(0, 3);6
1.0;(0, 3);7
1.0;(0, 3);8
1.0;(0, 3);9
1.0;(1, 0);0
0.9999938558253978;(1, 0);1
1.0;(1, 0);2
1.0;(1, 0);3
1.0;(1, 0);4
1.0;(1, 0);5
0.9999996072137999;(1, 0);6
1.0;(1, 0);7
0.00033535013046647805;(1, 0);8
0.9968273171575148;(1, 0);9
1.0;(1, 1);0
1.0;(1, 1);1
1.0;(1, 1);2
1.0;(1, 1);3
1.0;(1, 1);4
1.0;(1, 1);5
1.0;(1, 1);6
1.0;(1, 1);7
1.0;(1, 1);8
1.0;(1, 1);9
1.0;(1, 2);0
1.0;(1, 2);1
1.0;(1, 2);2
0.5621765008857981;(1, 2);3
0.999999694097773;(1, 2);4
1.0;(1, 2);5
1.0;(1, 2);6
1.0;(1, 2);7
1.0;(1, 2);8
1.0;(1, 2);9
1.0;(1, 3);0
1.0;(1, 3);1
1.0;(1, 3);2
1.0;(1, 3);3
0.999999992805867;(1, 3);4
1.0;(1, 3);5
0.9999982396567866;(1, 3);6
1.0;(1, 3);7
1.0;(1, 3);8
0.999999694097773;(1, 3);9
1.0;(2, 0);0
1.0;(2, 0);1
1.0;(2, 0);2
1.0;(2, 0);3
