estimations;id;iter
0.46879062662624377;(10, 0);0
0.40733340004593027;(10, 0);1
0.23370631421620905;(10, 0);2
0.0;(10, 0);3
0.48438008427698437;(10, 0);4
0.05665243167886765;(10, 0);5
0.10669061666878239;(10, 0);6
0.4225046348141882;(10, 0);7
0.0;(10, 0);8
0.0;(10, 0);9
0.5926665999540698;(10, 1);0
0.28140560742914383;(10, 1);1
0.0;(10, 1);2
0.320821300824607;(10, 1);3
0.0;(10, 1);4
0.4843800842769843;(10, 1);5
0.0637149800290126;(10, 1);6
0.28140560742914383;(10, 1);7
0.334589441253186;(10, 1);8
0.16451646289656316;(10, 1);9
0.18242552380635632;(10, 2);0
0.21206884419580993;(10, 2);1
0.06008664344151497;(10, 2);2
0.0;(10, 2);3
0.0;(10, 2);4
0.17328824008503269;(10, 2);5
0.0;(10, 2);6
0.24508501313237172;(10, 2);7
0.30735801686526387;(10, 2);8
0.1919327864472368;(10, 2);9
1.0;(10, 3);0
1.0;(10, 3);1
1.0;(10, 3);2
1.0;(10, 3);3
1.0;(10, 3);4
1.0;(10, 3);5
1.0;(10, 3);6
1.0;(10, 3);7
1.0;(10, 3);8
1.0;(10, 3);9
0.29421497216298875;(11, 0);0
1.0;(11, 0);1
0.48438008427698437;(11, 0);2
0.20181326066595387;(11, 0);3
0.0;(11, 0);4
1.0;(11, 0);5
1.0;(11, 0);6
0.0;(11, 0);7
1.0;(11, 0);8
1.0;(11, 0);9
1.0;(11, 1);0
1.0;(11, 1);1
1.0;(11, 1);2
1.0;(11, 1);3
1.0;(11, 1);4
1.0;(11, 1);5
1.0;(11, 1);6
1.0;(11, 1);7
1.0;(11, 1);8
1.0;(11, 1);9
1.0;(11, 2);0
0.0;(11, 2);1
1.0;(11, 2);2
;(11, 2);3
0.0;(11, 2);4
0.26894142136999516;(11, 2);5
0.0;(11, 2);6
0.09009299396195182;(11, 2);7
0.0;(11, 2);8
1.0;(11, 2);9
0.0;(11, 3);0
0.0;(11, 3);1
0.0;(11, 3);2
0.0;(11, 3);3
1.0;(11, 3);4
0.0;(11, 3);5
0.0;(11, 3);6
1.0;(11, 3);7
0.0;(11, 3);8
0.0;(11, 3);9
;(12, 0);0
1.0;(12, 0);1
;(12, 0);2
0.0;(12, 0);3
1.0;(12, 0);4
0.0;(12, 0);5
1.0;(12, 0);6
1.0;(12, 0);7
1.0;(12, 0);8
0.5467381519846137;(12, 0);9
0.0;(12, 1);0
;(12, 1);1
0.0;(12, 1);2
0.45326184801538616;(12, 1);3
0.28140560742914383;(12, 1);4
0.320821300824607;(12, 1);5
0.0;(12, 1);6
0.0;(12, 1);7
0.0;(12, 1);8
0.0;(12, 1);9
1.0;(12, 2);0
1.0;(12, 2);1
1.0;(12, 2);2
0.0;(12, 2);3
1.0;(12, 2);4
1.0;(12, 2);5
1.0;(12, 2);6
1.0;(12, 2);7
0.0;(12, 2);8
1.0;(12, 2);9
0.0;(12, 3);0
0.0;(12, 3);1
1.0;(12, 3);2
1.0;(12, 3);3
0.21206880435710534;(12, 3);4
1.0;(12, 3);5
0.14804719803168948;(12, 3);6
1.0;(12, 3);7
