estimations;id;iter
1.0;(5, 0);0
1.0;(5, 0);1
1.0;(5, 0);2
1.0;(5, 0);3
1.0;(5, 0);4
1.0;(5, 0);5
1.0;(5, 0);6
1.0;(5, 0);7
1.0;(5, 0);8
1.0;(5, 0);9
1.0;(5, 1);0
1.0;(5, 1);1
1.0;(5, 1);2
1.0;(5, 1);3
1.0;(5, 1);4
1.0;(5, 1);5
1.0;(5, 1);6
1.0;(5, 1);7
1.0;(5, 1);8
1.0;(5, 1);9
1.0;(5, 2);0
1.0;(5, 2);1
1.0;(5, 2);2
1.0;(5, 2);3
1.0;(5, 2);4
1.0;(5, 2);5
1.0;(5, 2);6
0.9982992775885647;(5, 2);7
1.0;(5, 2);8
1.0;(5, 2);9
0.9980732653366726;(5, 3);0
0.9998204720306532;(5, 3);1
1.0;(5, 3);2
0.9994472218899555;(5, 3);3
0.9995694429186753;(5, 3);4
0.9890130573694068;(5, 3);5
0.9706877692486436;(5, 3);6
1.0;(5, 3);7
1.0;(5, 3);8
0.9947798743064417;(5, 3);9
0.8807970779778824;(6, 0);0
0.9995121424121877;(6, 0);1
0.99640639741858;(6, 0);2
1.0;(6, 0);3
0.5621765008857981;(6, 0);4
0.0031726828424851897;(6, 0);5
0.9992903299390564;(6, 0);6
0.9975273768433652;(6, 0);7
0.997199073032879;(6, 0);8
0.009708476481474066;(6, 0);9
1.0;(6, 1);0
1.0;(6, 1);1
0.9933071490757152;(6, 1);2
1.0;(6, 1);3
1.0;(6, 1);4
1.0;(6, 1);5
0.8807970779778824;(6, 1);6
1.0;(6, 1);7
1.0;(6, 1);8
1.0;(6, 1);9
1.0;(6, 2);0
1.0;(6, 2);1
1.0;(6, 2);2
1.0;(6, 2);3
1.0;(6, 2);4
1.0;(6, 2);5
1.0;(6, 2);6
1.0;(6, 2);7
1.0;(6, 2);8
1.0;(6, 2);9
0.8354835371034369;(6, 3);0
1.0;(6, 3);1
1.0;(6, 3);2
1.0;(6, 3);3
0.7057850278370112;(6, 3);4
1.0;(6, 3);5
0.9982992759693872;(6, 3);6
1.0;(6, 3);7
0.9579122720843811;(6, 3);8
0.9902915326873583;(6, 3);9
1.0;(7, 0);0
0.0004878575878123167;(7, 0);1
0.004070133850110741;(7, 0);2
0.0;(7, 0);3
0.0019267346633274752;(7, 0);4
1.0;(7, 0);5
0.679178699175393;(7, 0);6
0.9525740837385945;(7, 0);7
1.0;(7, 0);8
1.0;(7, 0);9
0.9770226300899745;(7, 1);0
1.0;(7, 1);1
0.9579122720843811;(7, 1);2
0.9947798743064415;(7, 1);3
0.16451646289656316;(7, 1);4
0.015906406640046562;(7, 1);5
0.9933071490757153;(7, 1);6
1.0;(7, 1);7
0.8519528019683106;(7, 1);8
0.0;(7, 1);9
0.9940889311437562;(7, 2);0
0.22270013882530887;(7, 2);1
0.37754066879814546;(7, 2);2
0.6224593312018546;(7, 2);3
0.0;(7, 2);4
0.9149009549929799;(7, 2);5
0.9149009549929797;(7, 2);6
0.06008665017400762;(7, 2);7
