estimations;id;iter
5.2513373211789066e-11;(2, 2);0
3.300453471341801e-20;(2, 2);1
2.7558248819704848e-15;(2, 2);2
9.304094767683803e-15;(2, 2);3
1.3513011374734567e-10;(2, 2);4
7.578767023148611e-09;(2, 2);5
9.475179771263851e-08;(2, 2);6
4.257054896339776e-22;(2, 2);7
6.319032406768088e-11;(2, 2);8
2.1648055415866818e-14;(2, 2);9
1.5265852425725071e-12;(2, 3);0
2.8265837649714767e-10;(2, 3);1
5.913673142587327e-12;(2, 3);2
2.073476551788701e-12;(2, 3);3
1.6085669092358823e-15;(2, 3);4
3.787699789451379e-13;(2, 3);5
3.811056895529864e-10;(2, 3);6
1.5587989791895624e-11;(2, 3);7
4.078833354760501e-11;(2, 3);8
2.287083001161228e-10;(2, 3);9
8.306740925915341e-11;(3, 0);0
3.42385763186933e-10;(3, 0);1
1.9586886060492867e-21;(3, 0);2
2.880642795479396e-11;(3, 0);3
5.398959515527328e-18;(3, 0);4
4.528554189048471e-08;(3, 0);5
8.548471695818626e-13;(3, 0);6
1.0830897709606314e-09;(3, 0);7
2.5830876316220576e-16;(3, 0);8
1.540220694659887e-15;(3, 0);9
7.351643418937121e-19;(3, 1);0
1.2838025025102941e-12;(3, 1);1
2.3620135944468774e-18;(3, 1);2
2.2018433480538422e-18;(3, 1);3
4.030198800396251e-20;(3, 1);4
2.942658778987135e-28;(3, 1);5
4.9959775553824885e-22;(3, 1);6
2.910800686416295e-18;(3, 1);7
4.798499221465961e-14;(3, 1);8
2.0681344595342094e-16;(3, 1);9
4.122804096146542e-19;(3, 2);0
6.2460108614769384e-24;(3, 2);1
8.656526631499715e-15;(3, 2);2
6.2540406709881556e-15;(3, 2);3
1.4312818134395266e-15;(3, 2);4
1.379021745134598e-15;(3, 2);5
3.5210295966933562e-15;(3, 2);6
5.543741602531604e-10;(3, 2);7
5.553810008370981e-14;(3, 2);8
1.1211682875258936e-11;(3, 2);9
1.707706459704444e-08;(1, 1);0
4.264948617710838e-07;(1, 1);1
5.034585295060835e-07;(1, 1);2
4.039639262528919e-08;(1, 1);3
6.13627105993995e-05;(1, 1);4
4.960910328562546e-11;(1, 1);5
1.364547617833109e-07;(1, 1);6
7.537531066547867e-17;(1, 1);7
6.87549461530761e-09;(1, 1);8
1.0481059416360413e-11;(1, 1);9
1.2587054867375383e-08;(1, 2);0
5.495646166469624e-08;(1, 2);1
0.00011637809292768974;(1, 2);2
6.646660913966734e-11;(1, 2);3
2.7986845775591837e-08;(1, 2);4
2.4197994566236176e-12;(1, 2);5
8.654482873400185e-09;(1, 2);6
4.222939033023025e-14;(1, 2);7
4.4742225922105444e-10;(1, 2);8
1.2447502290385585e-09;(1, 2);9
5.390458525950737e-10;(1, 3);0
1.4628727263530027e-12;(1, 3);1
2.9327308305029084e-10;(1, 3);2
3.99655839101263e-18;(1, 3);3
2.3604594079979655e-13;(1, 3);4
1.4654860787121287e-24;(1, 3);5
8.356489341130203e-11;(1, 3);6
1.7860068577670215e-11;(1, 3);7
5.553415056832346e-09;(1, 3);8
2.1327096532239726e-06;(1, 3);9
2.1635459014665147e-09;(2, 0);0
9.658359521696837e-07;(2, 0);1
2.3522705308390207e-09;(2, 0);2
1.427552601997801e-14;(2, 0);3
7.089549706813547e-10;(2, 0);4
