id;iter;estimations
(0, 0);0;2.983553242573689e-50
(0, 0);1;5.974022080597278e-50
(0, 0);2;3.6504139348723338e-22
(0, 0);3;2.2460351971576343e-29
(0, 0);4;3.4423930515646306e-45
(0, 0);5;3.001694643847694e-36
(0, 0);6;6.17570514755898e-43
(0, 0);7;5.418771802528776e-47
(0, 0);8;2.3910519533570604e-73
(0, 0);9;4.248347343395224e-38
(0, 1);0;1.3448768611376776e-67
(0, 1);1;5.786149279168264e-61
(0, 1);2;1.70403275086105e-53
(0, 1);3;4.955399238639801e-71
(0, 1);4;8.984291149127217e-63
(0, 1);5;1.905498983188538e-52
(0, 1);6;4.011314391022305e-45
(0, 1);7;1.766995902406697e-103
(0, 1);8;4.321231821078983e-95
(0, 1);9;5.047415411740601e-47
(0, 2);0;4.0383519714320544e-73
(0, 2);1;2.7600456269758805e-80
(0, 2);2;7.422935799914478e-98
(0, 2);3;4.456004748980682e-80
(0, 2);4;1.3883972490690803e-110
(0, 2);5;1.4105449723739431e-49
(0, 2);6;9.262301551944633e-69
(0, 2);7;7.426518054102176e-37
(0, 2);8;2.01862447380736e-75
(0, 2);9;8.032481889819126e-39
(0, 3);0;2.1980414826745398e-72
(0, 3);1;4.873538858195519e-65
(0, 3);2;3.4095300822498367e-43
(0, 3);3;1.0094813187044814e-88
(0, 3);4;1.2413389480755505e-69
(0, 3);5;1.3355018285111611e-83
(0, 3);6;6.148912292701211e-77
(0, 3);7;7.195549709610523e-71
(0, 3);8;4.563396345213883e-118
(0, 3);9;9.128790127349364e-79
(1, 0);0;1.299614332592303e-30
(1, 0);1;8.511640605491531e-43
(1, 0);2;2.036358391948851e-31
(1, 0);3;2.3410000085362828e-30
(1, 0);4;6.31031696015259e-36
(1, 0);5;1.8090940348422263e-28
(1, 0);6;3.007736092444094e-107
(1, 0);7;1.552920689403121e-31
(1, 0);8;4.498512248579393e-30
(1, 0);9;0.003179980440112178
(1, 1);0;2.0372140329356776e-78
(1, 1);1;1.4452021983228105e-59
(1, 1);2;5.0985362284027356e-54
(1, 1);3;3.3271173251570238e-34
(1, 1);4;2.4871782667716546e-29
(1, 1);5;5.4693413796920866e-39
(1, 1);6;8.841940346156235e-62
(1, 1);7;5.26588441113914e-99
(1, 1);8;7.322790212996235e-40
(1, 1);9;1.1780582706747605e-43
