id;iter;estimations;token_probs
(0, 0);0;0.897695292107347;[0.19710105814097056, 0.022462372651090554]
(5, 0);0;0.9710193769678244;[0.08667425663805846, 0.0025868422585606675]
(10, 0);0;0.9669140216112958;[0.11872224725479659, 0.004062451902791498]
(15, 0);0;0.9690910414827888;[0.09877225384205285, 0.0031503206262068033]
(0, 0);1;0.8519528019683106;[0.13089466167377348, 0.02274608153566346]
(0, 0);2;0.9543079676184153;[0.02690148248149511, 0.001288036410012036]
(0, 0);3;0.8577681340776406;[0.06568445418695486, 0.010891547622188415]
(0, 0);4;0.946596658147778;[0.07191913779549995, 0.004057401078221996]
(0, 0);5;0.9092645123601489;[0.05642442571622768, 0.005630592322218134]
(0, 0);6;0.8596637505099168;[0.11840660737425775, 0.019329347298745355]
(0, 0);7;0.9241418199787564;[0.06657044353144172, 0.005464434765670725]
(0, 0);8;0.8933094060543487;[0.07617628205195892, 0.009097959476988294]
(0, 0);9;0.8289388083214155;[0.058593835850401385, 0.01209152145486548]
(0, 1);0;0.8633916099737807;[0.20543274064047315, 0.0325041796021404]
(0, 1);1;0.8056321889812553;[0.0813988024360124, 0.019638375012102582]
(0, 1);2;0.4843800842769843;[0.052573652396487376, 0.05596436166113446]
(0, 1);3;0.712232184238947;[0.10351694968346899, 0.04182462849034191]
(0, 1);4;0.46879062662624377;[0.0694904369653868, 0.07874298115026586]
(0, 1);5;0.8056321889812553;[0.07169177052790954, 0.01729644457626326]
(0, 1);6;0.8104789086703225;[0.07815145549589818, 0.01827481131974792]
(0, 1);7;0.8840392817460333;[0.09390466835482693, 0.012317611914619126]
(0, 1);8;0.6926419831347362;[0.04781616842260642, 0.02121829611591547]
(0, 1);9;0.6150878555160665;[0.09446010945293688, 0.059111626041147385]
(0, 2);0;0.8152325252646249;[0.051640809316473406, 0.01170407415675501]
(0, 2);1;0.9439706274920977;[0.06194418392044073, 0.0036766967684123573]
(0, 2);2;0.9319595948457813;[0.044075289860226574, 0.003217843988049392]
(0, 2);3;0.8104789086703224;[0.05158896436198974, 0.012063480889950214]
(0, 2);4;0.9273633096992335;[0.04493266143573406, 0.003519397175800628]
(0, 2);5;0.897695292107347;[0.06535810630282872, 0.00744845387128118]
(0, 2);6;0.8697145522352856;[0.07140077916911056, 0.010696017976114587]
(0, 2);7;0.7371582088237124;[0.04314364340396116, 0.015383336133858437]
(0, 2);8;0.8872045937171068;[0.05419865729589125, 0.006890586019245352]
(0, 2);9;0.9309620718252101;[0.044136627811988516, 0.0032730671130215506]
(0, 3);0;0.9429285899442833;[0.12342338076233036, 0.007470286137326729]
(0, 3);1;0.9277569977504976;[0.03284503819198952, 0.0025575923153823696]
