estimations;id;iter
1.3200447856914151e-14;(1, 1);0
1.3632046304712054e-05;(1, 1);1
2.187034207459722e-07;(1, 1);2
0.0003621463238100911;(1, 1);3
4.045336531238667e-05;(1, 1);4
0.00018700358096106833;(1, 1);5
0.0009219312057194946;(1, 1);6
0.00036219574604877777;(1, 1);7
0.0001169131833851581;(1, 1);8
0.012466491862237722;(1, 1);9
5.555993325628835e-07;(1, 2);0
8.66628240909739e-09;(1, 2);1
2.1146088780562513e-09;(1, 2);2
6.571758269080319e-12;(1, 2);3
6.761804295484528e-07;(1, 2);4
3.1215535705654903e-08;(1, 2);5
8.851972662290382e-10;(1, 2);6
6.331600658810563e-07;(1, 2);7
3.9602487556136143e-14;(1, 2);8
3.204837160578567e-11;(1, 2);9
3.6569503749259612e-06;(1, 3);0
9.259630503944936e-15;(1, 3);1
1.390192083785266e-08;(1, 3);2
6.022047918184353e-08;(1, 3);3
1.2174733848354452e-05;(1, 3);4
1.2887240499304613e-07;(1, 3);5
1.5008290306327718e-14;(1, 3);6
1.4536226963404016e-07;(1, 3);7
3.579769366837717e-08;(1, 3);8
8.057679843377865e-07;(1, 3);9
6.476279471125807e-13;(2, 0);0
1.489033056420407e-11;(2, 0);1
1.0816276608130084e-06;(2, 0);2
5.785843688382431e-11;(2, 0);3
5.626424129163859e-18;(2, 0);4
6.356696444321924e-09;(2, 0);5
1.0542834354356112e-25;(2, 0);6
6.22236420070638e-17;(2, 0);7
3.330807685995648e-08;(2, 0);8
1.03093962893091e-06;(2, 0);9
1.146848897867991e-07;(2, 1);0
0.0005740215805522809;(2, 1);1
2.5011513907885686e-09;(2, 1);2
0.00908956844745114;(2, 1);3
4.456356438829318e-09;(2, 1);4
4.524745847660751e-08;(2, 1);5
0.0005120129118537867;(2, 1);6
0.00019823372069002103;(2, 1);7
0.0002192599270277611;(2, 1);8
3.3189391136365207e-06;(2, 1);9
1.0755630903045467e-05;(6, 1);0
5.259044900615595e-09;(6, 1);1
3.232529973426243e-08;(6, 1);2
0.0016826459809995572;(6, 1);3
3.7614595939389e-05;(6, 1);4
0.0017561546343313698;(6, 1);5
4.023290260486829e-07;(6, 1);6
1.4131562634641307e-05;(6, 1);7
0.00017120333444401256;(6, 1);8
3.076519245478235e-05;(6, 1);9
4.641170158847926e-10;(6, 2);0
0.0204557200753558;(6, 2);1
0.014183318001212333;(6, 2);2
0.0004548953505230411;(6, 2);3
0.0012972805946337201;(6, 2);4
2.014960643840292e-09;(6, 2);5
0.04173761479596436;(6, 2);6
0.11715525148324421;(6, 2);7
0.009389471641915295;(6, 2);8
0.000245457606701325;(6, 2);9
0.033128209724627815;(6, 3);0
0.15272271044771807;(6, 3);1
0.032446414070055114;(6, 3);2
0.0003396043126941556;(6, 3);3
0.0035561350354598883;(6, 3);4
1.933655253902482e-06;(6, 3);5
0.005502054668970885;(6, 3);6
0.0001472002095882219;(6, 3);7
4.2154921644998035e-05;(6, 3);8
0.06405125478450069;(6, 3);9
2.0856600833863556e-05;(7, 0);0
0.0001742974924776829;(7, 0);1
1.3306540542786004e-05;(7, 0);2
0.0006945749194224522;(7, 0);3
7.30041860471897e-08;(7, 0);4
0.00024289646002921292;(7, 0);5
7.220897982549916e-07;(7, 0);6
0.003277659356090458;(7, 0);7
0.0013956099623456117;(7, 0);8
0.0012770425737433522;(7, 0);9
