estimations;id;iter
4.144569554439681e-19;(3, 3);0
8.370734609117333e-17;(3, 3);1
4.778838244232814e-13;(3, 3);2
2.9381860540377895e-23;(3, 3);3
1.190472820853037e-13;(3, 3);4
2.468307049737259e-19;(3, 3);5
2.0496646870676624e-30;(3, 3);6
6.257498482742617e-23;(3, 3);7
4.382130134969846e-42;(3, 3);8
5.820775475785853e-34;(3, 3);9
3.72930831742104e-68;(4, 0);0
7.245094352465942e-34;(4, 0);1
9.328100527150315e-45;(4, 0);2
1.678480221170374e-28;(4, 0);3
1.4380222129354307e-24;(4, 0);4
5.741505327019924e-26;(4, 0);5
4.865783985888789e-49;(4, 0);6
3.853186073073927e-33;(4, 0);7
1.7476795569728688e-48;(4, 0);8
2.0262910872611545e-23;(4, 0);9
2.036988411780876e-28;(4, 1);0
4.725799481736986e-37;(4, 1);1
1.529053216294617e-75;(4, 1);2
7.251760854774542e-37;(4, 1);3
1.9014442041377564e-36;(4, 1);4
1.4799559535086925e-47;(4, 1);5
4.756070507239187e-22;(4, 1);6
1.2308990155607973e-54;(4, 1);7
1.0542911168660884e-39;(4, 1);8
8.190870372377106e-47;(4, 1);9
2.0022527587056842e-19;(4, 2);0
6.686831215989349e-31;(4, 2);1
9.453359104101004e-18;(4, 2);2
4.315818105357557e-22;(4, 2);3
9.390319821622727e-40;(4, 2);4
1.2177965528622414e-30;(4, 2);5
2.349262677727293e-26;(4, 2);6
9.843862848918815e-30;(4, 2);7
9.338650353645529e-42;(4, 2);8
7.764105327648332e-36;(4, 2);9
9.67443038040558e-35;(4, 3);0
5.373758582520238e-40;(4, 3);1
1.1720803214814056e-28;(4, 3);2
4.886645406083284e-28;(4, 3);3
7.988864462741941e-58;(4, 3);4
2.7975200465742033e-34;(4, 3);5
1.571523122821043e-44;(4, 3);6
1.4681692369344553e-84;(4, 3);7
2.4446144993305155e-40;(4, 3);8
6.87755087354706e-33;(4, 3);9
3.2700188278288375e-44;(1, 1);0
4.4808097170438133e-20;(1, 1);1
3.652460311907678e-39;(1, 1);2
3.4166608831533284e-35;(1, 1);3
2.729056965119047e-34;(1, 1);4
7.49036476160388e-35;(1, 1);5
4.623857776925886e-39;(1, 1);6
1.0838584378381928e-19;(1, 1);7
9.889756140960589e-28;(1, 1);8
7.08577344589252e-35;(1, 1);9
9.67253483879844e-51;(1, 2);0
1.6157733997870203e-52;(1, 2);1
2.0819113809895963e-71;(1, 2);2
1.4552300504281588e-85;(1, 2);3
3.947501870794354e-69;(1, 2);4
