estimations;id;iter
1.0;(10, 0);0
1.0;(10, 0);1
1.0;(10, 0);2
1.0;(10, 0);3
1.0;(10, 0);4
1.0;(10, 0);5
1.0;(10, 0);6
1.0;(10, 0);7
1.0;(10, 0);8
1.0;(10, 0);9
1.0;(10, 1);0
1.0;(10, 1);1
1.0;(10, 1);2
1.0;(10, 1);3
1.0;(10, 1);4
1.0;(10, 1);5
0.8991213772699435;(10, 1);6
1.0;(10, 1);7
1.0;(10, 1);8
1.0;(10, 1);9
0.8080672135527632;(10, 2);0
0.7879311956428947;(10, 2);1
;(10, 2);2
0.6076631698328916;(10, 2);3
0.8596637505099167;(10, 2);4
0.8354835371034368;(10, 2);5
0.9046505351008906;(10, 2);6
1.0;(10, 2);7
0.8519528019683105;(10, 2);8
0.8175744406343558;(10, 2);9
0.8596637217466233;(10, 3);0
0.7879311956428946;(10, 3);1
1.0;(10, 3);2
1.0;(10, 3);3
0.8519528019683105;(10, 3);4
1.0;(10, 3);5
1.0;(10, 3);6
1.0;(10, 3);7
0.8267117599149673;(10, 3);8
1.0;(10, 3);9
1.0;(11, 0);0
1.0;(11, 0);1
1.0;(11, 0);2
1.0;(11, 0);3
1.0;(11, 0);4
1.0;(11, 0);5
1.0;(11, 0);6
1.0;(11, 0);7
1.0;(11, 0);8
0.8933094060543487;(11, 0);9
0.5156199157230156;(11, 1);0
0.7662936430859597;(11, 1);1
0.7772998611746912;(11, 1);2
0.7549149868676284;(11, 1);3
0.8080672135527631;(11, 1);4
0.7662936430859597;(11, 1);5
;(11, 1);6
0.679178699175393;(11, 1);7
0.7549150309794377;(11, 1);8
0.7185943925708561;(11, 1);9
0.8807971030103017;(11, 2);0
0.9399133498259923;(11, 2);1
0.9149009549929799;(11, 2);2
0.8519528019683105;(11, 2);3
0.8670357323161418;(11, 2);4
0.8807971030103016;(11, 2);5
0.9046505351008904;(11, 2);6
0.8991213772699433;(11, 2);7
0.9196425135586234;(11, 2);8
1.0;(11, 2);9
0.9196425311777929;(11, 3);0
0.8080672135527632;(11, 3);1
0.8080672505301927;(11, 3);2
0.8438951025545426;(11, 3);3
0.8740772089230331;(11, 3);4
1.0;(11, 3);5
0.8519528019683106;(11, 3);6
1.0;(11, 3);7
0.78793115580419;(11, 3);8
0.8670357872881949;(11, 3);9
0.9399133498259924;(12, 0);0
0.8080672135527631;(12, 0);1
0.9046505556663851;(12, 0);2
0.9241418032647263;(12, 0);3
0.8519528019683106;(12, 0);4
0.9149009549929797;(12, 0);5
0.7549150309794377;(12, 0);6
0.679178699175393;(12, 0);7
0.867035787288195;(12, 0);8
0.8080672135527632;(12, 0);9
1.0;(12, 1);0
1.0;(12, 1);1
1.0;(12, 1);2
1.0;(12, 1);3
1.0;(12, 1);4
1.0;(12, 1);5
1.0;(12, 1);6
1.0;(12, 1);7
1.0;(12, 1);8
1.0;(12, 1);9
0.8872045937171067;(15, 0);0
0.9046505351008904;(15, 0);1
0.9284087847087407;(15, 0);2
1.0;(15, 0);3
0.9324532938437812;(15, 0);4
1.0;(15, 0);5
1.0;(15, 0);6
0.9399133498259924;(15, 0);7
1.0;(15, 0);8
0.8807970779778824;(15, 0);9
0.8267118282263742;(15, 1);0
0.334589441253186;(15, 1);1
0.2337063569140403;(15, 1);2
0.8354835043326106;(15, 1);3
0.8872045937171068;(15, 1);4
0.07585818002124353;(15, 1);5
0.8519527718967574;(15, 1);6
0.8438951025545426;(15, 1);7
0.28140560742914383;(15, 1);8
0.0;(15, 1);9
0.8807970779778824;(15, 2);0
0.7879312354815937;(15, 2);1
0.8807970529454587;(15, 2);2
0.9399133632909771;(15, 2);3
0.8596637505099168;(15, 2);4
1.0;(15, 2);5
0.8933094060543488;(15, 2);6
0.9241418032647263;(15, 2);7
0.8670357598021707;(15, 2);8
0.8080672135527632;(15, 2);9
0.6654105587468141;(15, 3);0
0.4378234991142019;(15, 3);1
0.8519528019683106;(15, 3);2
0.8991213556448695;(15, 3);3
0.8267117940706734;(15, 3);4
0.7981867777396212;(15, 3);5
