id;iter;estimations
(0, 0);0;2.395598709269984e-72
(0, 0);1;1.2571112568424177e-49
(0, 0);2;9.22577869362819e-36
(0, 0);3;4.301148783519158e-94
(0, 0);4;6.880763271387406e-74
(0, 0);5;2.05791123399363e-80
(0, 0);6;1.4406176710780455e-19
(0, 0);7;1.7220587187645295e-50
(0, 0);8;1.045097664021945e-104
(0, 0);9;6.154587670429311e-40
(0, 1);0;3.553688801445203e-54
(0, 1);1;9.326570489733299e-60
(0, 1);2;2.8080059067230814e-70
(0, 1);3;1.2205950700544845e-97
(0, 1);4;4.289046144937066e-39
(0, 1);5;1.2292436285560191e-49
(0, 1);6;3.2154412556465902e-83
(0, 1);7;1.2770455522525305e-72
(0, 1);8;1.654348008329065e-91
(0, 1);9;1.3770308289481375e-47
(0, 2);0;3.498559839796436e-64
(0, 2);1;1.2460232477037018e-93
(0, 2);2;2.0305141763176103e-42
(0, 2);3;1.7728095086671808e-62
(0, 2);4;3.397099710687594e-174
(0, 2);5;1.4556307709133556e-54
(0, 2);6;7.043946902851806e-65
(0, 2);7;2.807023689700967e-49
(0, 2);8;7.364614226238441e-79
(0, 2);9;2.0940502247026427e-92
(0, 3);0;1.4446410675581693e-135
(0, 3);1;1.0919485191683247e-98
(0, 3);2;7.897661199452961e-49
(0, 3);3;1.2926379809786274e-56
(0, 3);4;6.566776977012004e-52
(0, 3);5;1.4859863512925047e-79
(0, 3);6;4.901048336611546e-69
(0, 3);7;1.2288685370128942e-69
(0, 3);8;7.400821046149904e-99
(0, 3);9;2.581482661788658e-106
(1, 0);0;3.214370528870312e-29
(1, 0);1;5.581765531507439e-27
(1, 0);2;1.0727454245084674e-34
(1, 0);3;2.4991923496036296e-30
(1, 0);4;1.4145671020394874e-20
(1, 0);5;1.038210369633201e-24
(1, 0);6;1.8264749219429903e-34
(1, 0);7;1.5702729977317546e-22
(1, 0);8;1.1961026501446781e-42
(1, 0);9;4.1924608251419014e-27
(1, 1);0;1.045253918759638e-21
(1, 1);1;7.07784844052906e-50
(1, 1);2;9.565082515882963e-41
(1, 1);3;3.904564334973302e-45
(1, 1);4;5.804193550699996e-21
(1, 1);5;7.618605036520238e-41
(1, 1);6;2.0710402018986486e-38
(1, 1);7;1.905589207863587e-30
(1, 1);8;5.425357218258265e-28
(1, 1);9;1.9154377806441675e-32
(1, 2);0;9.9785357439879e-74
(1, 2);1;2.56283959850366e-62
(1, 2);2;5.1483696446634297e-36
(1, 2);3;9.626999084627638e-38
(1, 2);4;3.7718947398514627e-31
(1, 2);5;4.293354148139402e-30
(1, 2);6;3.339237925169496e-31
(1, 2);7;1.5270288119069851e-43
(1, 2);8;5.51370044561079e-26
(1, 2);9;2.2669388603488623e-48
(1, 3);0;5.0883870399084254e-70
(1, 3);1;2.8701145203332034e-69
(1, 3);2;1.4749054559440447e-58
(1, 3);3;4.342279248978955e-67
(1, 3);4;5.726259804838513e-60
(1, 3);5;6.932286754589838e-19
(1, 3);6;8.312586133673897e-52
(1, 3);7;1.3731185568847188e-99
(1, 3);8;7.208547633425393e-40
(1, 3);9;4.328594457354766e-43
(2, 0);0;7.628079187981929e-54
(2, 0);1;4.0141007819681376e-47
(2, 0);2;7.116088645381652e-69
(2, 0);3;8.148548540390388e-58
(2, 0);4;1.0795811473436631e-89
(2, 0);5;2.444755622661824e-81
(2, 0);6;1.3076407438822808e-58
(2, 0);7;1.3802107441967652e-63
(2, 0);8;1.013039909608889e-62
(2, 0);9;1.5574753040005362e-41
(2, 1);0;7.375990148742454e-86
(2, 1);1;9.192390223845196e-75
(2, 1);2;1.7219448473603973e-77
(2, 1);3;1.798008215220753e-72
(2, 1);4;1.2508366726372147e-81
