estimations;id;iter
1.0;(0, 0);0
1.0;(0, 0);1
1.0;(0, 0);2
1.0;(0, 0);3
1.0;(0, 0);4
1.0;(0, 0);5
1.0;(0, 0);6
1.0;(0, 0);7
1.0;(0, 0);8
1.0;(0, 0);9
1.0;(0, 1);0
0.679178699175393;(0, 1);1
1.0;(0, 1);2
1.0;(0, 1);3
1.0;(0, 1);4
0.9241418199787564;(0, 1);5
1.0;(0, 1);6
1.0;(0, 1);7
1.0;(0, 1);8
1.0;(0, 1);9
1.0;(0, 2);0
1.0;(0, 2);1
1.0;(0, 2);2
1.0;(0, 2);3
1.0;(0, 2);4
1.0;(0, 2);5
1.0;(0, 2);6
1.0;(0, 2);7
1.0;(0, 2);8
1.0;(0, 2);9
0.08035746882220708;(0, 3);0
0.995094594294278;(0, 3);1
1.0;(0, 3);2
1.0;(0, 3);3
;(0, 3);4
1.0;(0, 3);5
0.9648551535992067;(0, 3);6
1.0;(0, 3);7
0.8670357598021707;(0, 3);8
0.5467381519846138;(0, 3);9
1.0;(1, 0);0
1.0;(1, 0);1
1.0;(1, 0);2
1.0;(1, 0);3
1.0;(1, 0);4
1.0;(1, 0);5
1.0;(1, 0);6
1.0;(1, 0);7
1.0;(1, 0);8
1.0;(1, 0);9
0.012431650853185818;(1, 1);0
0.007121425374156724;(1, 1);1
0.2942149721629888;(1, 1);2
0.04742589471948147;(1, 1);3
0.2689414213699951;(1, 1);4
0.004905403378117002;(1, 1);5
0.1403362494900832;(1, 1);6
0.014957086593149987;(1, 1);7
0.01495708659314999;(1, 1);8
0.1066905939456512;(1, 1);9
1.0;(1, 2);0
0.9433475746920261;(1, 2);1
1.0;(1, 2);2
1.0;(1, 2);3
1.0;(1, 2);4
0.9688561694652216;(1, 2);5
0.99640639741858;(1, 2);6
0.0;(1, 2);7
1.0;(1, 2);8
0.679178699175393;(1, 2);9
0.0675466911396291;(1, 3);0
0.010328152519305191;(1, 3);1
0.07585818002124355;(1, 3);2
0.0;(1, 3);3
0.1732882059293266;(1, 3);4
0.039638857253020944;(1, 3);5
0.00912563738918052;(1, 3);6
0.005220125693558396;(1, 3);7
