estimations;id;iter
0.0006995035321120123;(7, 2);0
0.0007881610705168258;(7, 2);1
1.357121600594901e-07;(7, 2);2
0.0006190519532876922;(7, 2);3
0.00023646824900788583;(7, 2);4
3.743949416921087e-06;(7, 2);5
2.9970346727909537e-06;(7, 2);6
1.0669878608811184e-05;(7, 2);7
0.001213298121624247;(7, 2);8
7.325481186305164e-05;(7, 2);9
0.003752211104201754;(7, 3);0
8.267945912840193e-06;(7, 3);1
0.004794896190853112;(7, 3);2
0.0004355471631257043;(7, 3);3
0.005432110840407753;(7, 3);4
0.0017876780855122596;(7, 3);5
0.004114519082505793;(7, 3);6
0.007833216843083463;(7, 3);7
0.01722037020177467;(7, 3);8
6.749046194305604e-05;(7, 3);9
3.985812049342537e-09;(8, 0);0
0.0003171699821134261;(8, 0);1
0.0004701097871802053;(8, 0);2
0.0007818095842733447;(8, 0);3
1.3072482748825661e-06;(8, 0);4
0.0007012887261894171;(8, 0);5
5.476369289965613e-05;(8, 0);6
0.0008474629724739994;(8, 0);7
0.00030792914807155775;(8, 0);8
9.389559856001478e-05;(8, 0);9
6.897873540132774e-10;(8, 1);0
4.926087386114239e-07;(8, 1);1
1.0913430896194553e-09;(8, 1);2
1.0441583885865108e-07;(8, 1);3
4.778413551681727e-06;(8, 1);4
8.723575514392416e-07;(8, 1);5
0.0019134719068081287;(8, 1);6
2.3956423930160503e-05;(8, 1);7
1.0866576349214126e-08;(8, 1);8
2.0812609747165748e-08;(8, 1);9
0.00011065170065780555;(8, 2);0
0.0005912577701874185;(8, 2);1
1.4911888518927174e-05;(8, 2);2
3.472338852097033e-05;(8, 2);3
0.0030570777213468465;(8, 2);4
0.005395658631464409;(8, 2);5
0.00044842902785696145;(8, 2);6
0.0067201682616729146;(8, 2);7
1.2238981291402416e-05;(8, 2);8
0.0001441656206818667;(8, 2);9
1.0659774642308531e-06;(2, 2);0
4.637189535432473e-13;(2, 2);1
6.644169773081009e-07;(2, 2);2
1.9967172489244633e-13;(2, 2);3
3.7099900957986954e-08;(2, 2);4
3.818069083636978e-14;(2, 2);5
3.508923933202402e-06;(2, 2);6
3.191482188327032e-10;(2, 2);7
1.9212407434545965e-08;(2, 2);8
4.7526845912987203e-07;(2, 2);9
9.819513472546847e-07;(2, 3);0
1.9562221509482604e-62;(2, 3);1
1.8688319646674546e-13;(2, 3);2
6.875013130330119e-07;(2, 3);3
9.519023044308814e-32;(2, 3);4
2.4084246070095916e-07;(2, 3);5
1.898420376141558e-05;(2, 3);6
6.127251842568043e-05;(2, 3);7
1.5033755042821818e-13;(2, 3);8
1.0557172796976594e-15;(2, 3);9
2.823853027749831e-16;(3, 0);0
4.6754740681538067e-26;(3, 0);1
3.538176787702084e-26;(3, 0);2
4.09099384171378e-22;(3, 0);3
8.422305227274935e-14;(3, 0);4
3.561646596660703e-13;(3, 0);5
6.337320123661328e-08;(3, 0);6
1.1032826880702511e-26;(3, 0);7
3.389060740931686e-29;(3, 0);8
1.4559757598504579e-24;(3, 0);9
4.58463288463175e-12;(3, 1);0
1.7260461986874937e-20;(3, 1);1
1.3939045302809386e-16;(3, 1);2
2.4788668805020226e-16;(3, 1);3
1.3719957251334456e-11;(3, 1);4
1.128309452508421e-18;(3, 1);5
1.8435013335457888e-21;(3, 1);6
4.727444547683871e-14;(3, 1);7
2.7806410965305912e-12;(3, 1);8
1.0131722245558551e-14;(3, 1);9
2.303123283343133e-33;(3, 2);0
1.166742391755906e-17;(3, 2);1
8.362628232029919e-19;(3, 2);2
3.585812689677455e-11;(3, 2);3
2.1368070758262618e-23;(3, 2);4
2.6562035426776974e-13;(3, 2);5
3.367841799619609e-15;(3, 2);6
1.2380428835816264e-21;(3, 2);7
3.884623379704873e-12;(3, 2);8
2.2504667972802122e-17;(3, 2);9
2.570124036015448e-08;(1, 1);0
6.26179574038247e-08;(1, 1);1
7.813870435030654e-08;(1, 1);2
1.0550649959581767e-05;(1, 1);3
9.481528170565462e-07;(1, 1);4
0.0002693049993253645;(1, 1);5
3.008633766171225e-05;(1, 1);6
9.399194485449395e-11;(1, 1);7
