estimations;id;iter
1.0;(0, 0);0
1.0;(0, 0);1
1.0;(0, 0);2
1.0;(0, 0);3
1.0;(0, 0);4
1.0;(0, 0);5
1.0;(0, 0);6
1.0;(0, 0);7
1.0;(0, 0);8
1.0;(0, 0);9
0.9999977396778577;(0, 1);0
0.9999996072137997;(0, 1);1
1.0;(0, 1);2
0.9999546021312975;(0, 1);3
1.0;(0, 1);4
0.9999993524052018;(0, 1);5
1.0;(0, 1);6
0.99984156393197;(0, 1);7
1.0;(0, 1);8
1.0;(0, 1);9
1.0;(0, 2);0
1.0;(0, 2);1
1.0;(0, 2);2
1.0;(0, 2);3
1.0;(0, 2);4
1.0;(0, 2);5
1.0;(0, 2);6
1.0;(0, 2);7
1.0;(0, 2);8
1.0;(0, 2);9
1.0;(0, 3);0
0.9999970976880148;(0, 3);1
1.0;(0, 3);2
1.0;(0, 3);3
1.0;(0, 3);4
1.0;(0, 3);5
1.0;(0, 3);6
1.0;(0, 3);7
1.0;(0, 3);8
1.0;(0, 3);9
1.0;(1, 0);0
1.0;(1, 0);1
1.0;(1, 0);2
1.0;(1, 0);3
1.0;(1, 0);4
1.0;(1, 0);5
1.0;(1, 0);6
1.0;(1, 0);7
1.0;(1, 0);8
1.0;(1, 0);9
0.9999417087343389;(1, 1);0
0.9999038975845005;(1, 1);1
1.0;(1, 1);2
0.9990889488055994;(1, 1);3
1.0;(1, 1);4
1.0;(1, 1);5
1.0;(1, 1);6
1.0;(1, 1);7
1.0;(1, 1);8
0.9998415637808974;(1, 1);9
0.9999999847700205;(1, 2);0
0.9933071490757152;(1, 2);1
1.0;(1, 2);2
0.9999999979388504;(1, 2);3
0.9999785550515791;(1, 2);4
0.9999977396757022;(1, 2);5
0.9999998555019963;(1, 2);6
0.9999898700090191;(1, 2);7
1.0;(1, 2);8
0.9999938558253978;(1, 2);9
0.9947798743064417;(1, 3);0
0.9999952149055052;(1, 3);1
0.9968273171575148;(1, 3);2
1.0;(1, 3);3
1.0;(1, 3);4
1.0;(1, 3);5
1.0;(1, 3);6
0.9999970976880148;(1, 3);7
0.9998415637808976;(1, 3);8
0.9933071490757152;(1, 3);9
