id;iter;estimations
(10, 0);0;0.1
(10, 0);1;0.6
(10, 0);2;
(10, 0);3;0.1
(10, 0);4;0.15
(10, 0);5;0.1
(10, 0);6;0.2
(10, 0);7;0.8
(10, 0);8;
(10, 0);9;0.7
(10, 1);0;
(10, 1);1;
(10, 1);2;0.8
(10, 1);3;0.9
(10, 1);4;0.9
(10, 1);5;0.9
(10, 1);6;0.15
(10, 1);7;0.9
(10, 1);8;0.7
(10, 1);9;
(10, 2);0;0.1
(10, 2);1;
(10, 2);2;
(10, 2);3;0.9
(10, 2);4;
(10, 2);5;
(10, 2);6;
(10, 2);7;0.2
(10, 2);8;
(10, 2);9;0.9
(10, 3);0;
(10, 3);1;
(10, 3);2;0.1
(10, 3);3;0.2
(10, 3);4;0.4
(10, 3);5;0.8
(10, 3);6;0.85
(10, 3);7;
(10, 3);8;
(10, 3);9;
(11, 0);0;0.9
(11, 0);1;
(11, 0);2;0.9
(11, 0);3;
(11, 0);4;0.05
(11, 0);5;0.0
(11, 0);6;
(11, 0);7;
(11, 0);8;0.9
(11, 0);9;
(11, 1);0;
(11, 1);1;0.9
(11, 1);2;
(11, 1);3;
(11, 1);4;
(11, 1);5;0.9
(11, 1);6;
(11, 1);7;
(11, 1);8;
(11, 1);9;0.9
(11, 2);0;
(11, 2);1;
(11, 2);2;
(11, 2);3;
(11, 2);4;
(11, 2);5;0.8
(11, 2);6;
(11, 2);7;
(11, 2);8;
(11, 2);9;
(11, 3);0;0.9
(11, 3);1;0.1
(11, 3);2;
(11, 3);3;
(11, 3);4;0.1
(11, 3);5;0.05
(11, 3);6;0.05
(11, 3);7;
(11, 3);8;
(11, 3);9;0.1
(12, 0);0;0.05
(12, 0);1;0.1
(12, 0);2;0.05
(12, 0);3;
(12, 0);4;0.05
(12, 0);5;0.99
(12, 0);6;0.1
(12, 0);7;0.05
(12, 0);8;0.99
(12, 0);9;
(12, 1);0;0.9
(12, 1);1;0.05
(12, 1);2;0.1
(12, 1);3;0.05
(12, 1);4;0.05
(12, 1);5;0.1
(12, 1);6;0.05
(12, 1);7;0.1
(12, 1);8;
(12, 1);9;
(5, 0);0;0.99
(5, 0);1;0.99
(5, 0);2;0.05
(5, 0);3;0.01
(5, 0);4;
(5, 0);5;0.01
(5, 0);6;0.1
(5, 0);7;0.01
(5, 0);8;0.99
(5, 0);9;0.01
