estimations;id;iter
4.573400265533768e-82;(1, 1);0
1.0468283249236918e-55;(1, 1);1
1.3759890514541848e-72;(1, 1);2
8.674821551859319e-46;(1, 1);3
2.0136970049944198e-92;(1, 1);4
3.849718037354837e-57;(1, 1);5
4.159221682262425e-68;(1, 1);6
1.4140548162959027e-44;(1, 1);7
1.158408359048803e-52;(1, 1);8
1.8880214526894368e-74;(1, 1);9
5.345914434786547e-56;(1, 2);0
2.6417858950097273e-49;(1, 2);1
2.6159149913434992e-49;(1, 2);2
3.4941468371468166e-40;(1, 2);3
2.8662382919125346e-62;(1, 2);4
1.3802710122218617e-48;(1, 2);5
1.6952395459418957e-74;(1, 2);6
7.330531115587683e-53;(1, 2);7
2.128287889560435e-58;(1, 2);8
5.922092103515746e-54;(1, 2);9
2.4477902895450514e-48;(1, 3);0
5.3912121822985345e-47;(1, 3);1
1.6195332489746162e-65;(1, 3);2
1.4433594137110126e-60;(1, 3);3
6.25935616070932e-43;(1, 3);4
8.147005385408854e-61;(1, 3);5
5.733720649378014e-59;(1, 3);6
1.596836877781923e-70;(1, 3);7
1.7527728170824698e-69;(1, 3);8
2.2379081917349481e-66;(1, 3);9
0.0;(2, 0);0
7.397404885823349e-190;(2, 0);1
2.5745166363164548e-126;(2, 0);2
0.0;(2, 0);3
0.0;(2, 0);4
0.0;(2, 0);5
5.273068559174361e-149;(2, 0);6
1.5942213500063456e-209;(2, 0);7
1.0402961744963107e-258;(2, 0);8
7.85996680924893e-118;(2, 0);9
0.0;(2, 1);0
0.0;(2, 1);1
0.0;(2, 1);2
0.0;(2, 1);3
4.2271357120473254e-255;(2, 1);4
0.0;(2, 1);5
0.0;(2, 1);6
0.0;(2, 1);7
8.457376469865996e-189;(2, 1);8
0.0;(2, 1);9
5.85221032703307e-174;(0, 0);0
0.0;(0, 0);1
2.763671357744437e-177;(0, 0);2
1.1907591563655126e-199;(0, 0);3
0.0;(0, 0);4
3.0224570020061687e-184;(0, 0);5
8.2596e-318;(0, 0);6
1.45e-321;(0, 0);7
1.0840224143827613e-200;(0, 0);8
1.4494071328259179e-98;(0, 0);9
8.089014386160454e-179;(0, 1);0
0.0;(0, 1);1
0.0;(0, 1);2
1.75558472005655e-310;(0, 1);3
0.0;(0, 1);4
1.0963730713516405e-159;(0, 1);5
1.0465037668789323e-308;(0, 1);6
0.0;(0, 1);7
9.378621156207785e-297;(0, 1);8
1.6968527636262876e-290;(0, 1);9
4.407297708266818e-80;(0, 2);0
5.613008012492601e-271;(0, 2);1
9.503319765894093e-266;(0, 2);2
0.0;(0, 2);3
3.777089442024533e-85;(0, 2);4
1.9917820303211595e-253;(0, 2);5
1.42447146929542e-161;(0, 2);6
1.1995161895931456e-127;(0, 2);7
0.0;(0, 2);8
7.725552884599618e-149;(0, 2);9
4.808051680240899e-185;(0, 3);0
6.193202051535124e-299;(0, 3);1
5.449787569149261e-88;(0, 3);2
0.0;(0, 3);3
5.876681201731984e-82;(0, 3);4
0.0;(0, 3);5
8.735300395026988e-274;(0, 3);6
1.4689811219809705e-305;(0, 3);7
2.108930897722441e-166;(0, 3);8
1.4219441929304486e-124;(0, 3);9
1.5094267166990638e-63;(1, 0);0
3.7766313731841263e-26;(1, 0);1
2.88319791270379e-37;(1, 0);2
1.503827663881023e-43;(1, 0);3
9.822336871182576e-44;(1, 0);4
4.123878010362055e-39;(1, 0);5
2.9902866994982916e-38;(1, 0);6
2.303279457198795e-34;(1, 0);7
1.2177496053756384e-31;(1, 0);8
1.863095692270755e-48;(1, 0);9
0.0;(3, 3);0
0.0;(3, 3);1
0.0;(3, 3);2
0.0;(3, 3);3
0.0;(3, 3);4
0.0;(3, 3);5
0.0;(3, 3);6
0.0;(3, 3);7
1.775876761366155e-309;(3, 3);8
0.0;(3, 3);9
2.319071227066965e-36;(4, 0);0
0.0;(4, 0);1
4.6535954746351875e-178;(4, 0);2
5.778502845426841e-85;(4, 0);3
3.650833433132155e-251;(4, 0);4
4.171578119978294e-134;(4, 0);5
2.4825983160194693e-170;(4, 0);6
1.5105890793576975e-263;(4, 0);7
0.0;(4, 0);8
1.1771623189257384e-56;(4, 0);9
1.5101833523092058e-299;(4, 1);0
