id;iter;estimations
(0, 0);0;
(0, 0);1;0.6
(0, 0);2;
(0, 0);3;0.85
(0, 0);4;0.7
(0, 0);5;0.7
(0, 0);6;0.7
(0, 0);7;0.85
(0, 0);8;0.6
(0, 0);9;
(0, 1);0;0.7
(0, 1);1;0.2
(0, 1);2;0.7
(0, 1);3;0.85
(0, 1);4;
(0, 1);5;0.05
(0, 1);6;
(0, 1);7;0.7
(0, 1);8;0.6
(0, 1);9;0.8
(0, 2);0;0.75
(0, 2);1;0.9
(0, 2);2;0.97
(0, 2);3;0.85
(0, 2);4;0.95
(0, 2);5;
(0, 2);6;0.85
(0, 2);7;0.85
(0, 2);8;0.75
(0, 2);9;0.8
(0, 3);0;
(0, 3);1;0.75
(0, 3);2;0.1
(0, 3);3;0.7
(0, 3);4;0.1
(0, 3);5;0.7
(0, 3);6;0.7
(0, 3);7;0.2
(0, 3);8;0.7
(0, 3);9;0.8
(1, 0);0;0.85
(1, 0);1;0.95
(1, 0);2;0.99
(1, 0);3;0.98
(1, 0);4;0.97
(1, 0);5;0.99
(1, 0);6;0.95
(1, 0);7;0.99
(1, 0);8;0.95
(1, 0);9;0.99
(1, 1);0;
(1, 1);1;0.95
(1, 1);2;0.97
(1, 1);3;0.05
(1, 1);4;0.95
(1, 1);5;0.95
(1, 1);6;0.95
(1, 1);7;0.05
(1, 1);8;
(1, 1);9;0.95
(1, 2);0;0.95
(1, 2);1;0.95
(1, 2);2;0.95
(1, 2);3;0.95
(1, 2);4;0.95
(1, 2);5;0.01
(1, 2);6;0.95
(1, 2);7;0.1
(1, 2);8;0.95
(1, 2);9;0.1
(1, 3);0;0.95
(1, 3);1;0.02
(1, 3);2;0.95
(1, 3);3;0.9
(1, 3);4;0.7
(1, 3);5;0.1
(1, 3);6;0.99
(1, 3);7;0.95
(1, 3);8;0.05
(1, 3);9;0.99
(2, 0);0;0.8
(2, 0);1;
(2, 0);2;0.85
(2, 0);3;0.35
(2, 0);4;0.75
(2, 0);5;0.85
(2, 0);6;0.85
(2, 0);7;
(2, 0);8;
(2, 0);9;0.7
(2, 1);0;0.65
(2, 1);1;0.7
(2, 1);2;
(2, 1);3;0.6
(2, 1);4;0.4
(2, 1);5;
(2, 1);6;0.9
(2, 1);7;
(2, 1);8;
(2, 1);9;0.9
(10, 0);0;0.95
(10, 0);1;0.85
(10, 0);2;0.9
(10, 0);3;0.95
(10, 0);4;0.7
(10, 0);5;
(10, 0);6;0.88
(10, 0);7;0.4
(10, 0);8;
(10, 0);9;0.85
(10, 1);0;0.95
(10, 1);1;
(10, 1);2;0.9
(10, 1);3;0.92
(10, 1);4;0.95
(10, 1);5;0.95
(10, 1);6;0.95
(10, 1);7;0.92
(10, 1);8;0.85
(10, 1);9;0.9
(10, 2);0;
(10, 2);1;0.85
(10, 2);2;
(10, 2);3;0.95
(10, 2);4;0.9
(10, 2);5;0.6
(10, 2);6;
(10, 2);7;0.7
(10, 2);8;
(10, 2);9;0.9
(10, 3);0;0.85
(10, 3);1;0.95
(10, 3);2;0.95
(10, 3);3;0.9
(10, 3);4;0.85
(10, 3);5;0.7
(10, 3);6;0.85
(10, 3);7;
(10, 3);8;0.8
(10, 3);9;0.85
(11, 0);0;0.7
(11, 0);1;0.7
(11, 0);2;0.7
(11, 0);3;0.55
(11, 0);4;
(11, 0);5;0.85
(11, 0);6;0.7
(11, 0);7;0.2
(11, 0);8;
(11, 0);9;
(11, 1);0;0.05
(11, 1);1;0.97
(11, 1);2;0.05
(11, 1);3;0.05
(11, 1);4;0.05
(11, 1);5;0.1
(11, 1);6;0.05
(11, 1);7;0.05
(11, 1);8;0.05
(11, 1);9;0.05
(11, 2);0;
(11, 2);1;0.05
(11, 2);2;
(11, 2);3;
(11, 2);4;
(11, 2);5;
(11, 2);6;
(11, 2);7;0.05
(11, 2);8;
(11, 2);9;
(11, 3);0;0.7
(11, 3);1;0.75
(11, 3);2;0.8
(11, 3);3;
(11, 3);4;
(11, 3);5;0.7
(11, 3);6;0.3
(11, 3);7;
(11, 3);8;0.7
(11, 3);9;
(12, 0);0;0.95
(12, 0);1;0.95
(12, 0);2;0.95
(12, 0);3;0.95
(12, 0);4;0.99
(12, 0);5;0.95
(12, 0);6;0.95
(12, 0);7;0.99
(12, 0);8;0.95
(12, 0);9;0.99
(12, 1);0;0.95
(12, 1);1;0.95
(12, 1);2;0.95
(12, 1);3;0.95
(12, 1);4;0.95
(12, 1);5;0.99
(12, 1);6;0.95
(12, 1);7;0.95
(12, 1);8;0.99
(12, 1);9;0.95
(12, 2);0;0.95
(12, 2);1;0.99
(12, 2);2;0.95
(12, 2);3;0.95
(12, 2);4;0.99
(12, 2);5;0.95
(12, 2);6;0.95
(12, 2);7;0.99
(12, 2);8;0.95
(12, 2);9;0.99
(12, 3);0;0.95
(12, 3);1;0.99
(12, 3);2;0.99
(12, 3);3;0.99
(12, 3);4;0.99
(12, 3);5;0.99
(12, 3);6;0.99
(12, 3);7;0.95
(12, 3);8;0.99
(12, 3);9;0.95
(13, 0);0;0.9
(13, 0);1;0.95
(13, 0);2;0.95
(13, 0);3;0.9
(13, 0);4;0.95
(13, 0);5;0.99
(13, 0);6;0.95
(13, 0);7;0.9
(13, 0);8;0.95
(13, 0);9;0.95
(13, 1);0;0.95
(13, 1);1;0.95
(13, 1);2;0.95
(13, 1);3;0.9
(13, 1);4;0.95
(13, 1);5;0.95
(13, 1);6;0.9
(13, 1);7;0.9
(13, 1);8;0.9
(13, 1);9;0.9
(13, 2);0;0.99
(13, 2);1;0.05
(13, 2);2;0.95
(13, 2);3;0.97
(13, 2);4;0.99
(13, 2);5;0.0
(13, 2);6;0.95
(13, 2);7;0.95
(13, 2);8;0.95
(13, 2);9;0.95
(13, 3);0;0.05
(13, 3);1;0.05
(13, 3);2;0.95
(13, 3);3;0.01
(13, 3);4;0.95
(13, 3);5;0.01
(13, 3);6;0.95
(13, 3);7;0.99
(13, 3);8;0.95
(13, 3);9;0.95
(14, 0);0;0.9
(14, 0);1;0.95
(14, 0);2;0.95
(14, 0);3;0.95
(14, 0);4;0.95
(14, 0);5;0.95
(14, 0);6;0.95
(14, 0);7;0.95
(14, 0);8;0.99
(14, 0);9;0.99
(14, 1);0;0.95
(14, 1);1;0.95
(14, 1);2;0.95
(14, 1);3;0.9
(14, 1);4;0.95
(14, 1);5;0.95
(14, 1);6;0.95
(14, 1);7;0.9
(14, 1);8;0.95
(14, 1);9;0.95
(14, 2);0;0.95
(14, 2);1;0.95
(14, 2);2;0.95
(14, 2);3;0.95
(14, 2);4;0.97
(14, 2);5;0.05
(14, 2);6;0.05
(14, 2);7;0.95
(14, 2);8;0.99
(14, 2);9;0.9
(14, 3);0;0.97
(14, 3);1;0.85
(14, 3);2;0.85
(14, 3);3;0.95
(14, 3);4;0.85
(14, 3);5;0.99
(14, 3);6;0.95
(14, 3);7;0.9
(14, 3);8;0.9
(14, 3);9;0.95
(5, 0);0;0.95
(5, 0);1;0.9
(5, 0);2;0.95
(5, 0);3;0.95
(5, 0);4;0.99
(5, 0);5;0.99
(5, 0);6;0.9
(5, 0);7;
(5, 0);8;0.95
(5, 0);9;0.95
(5, 1);0;0.9
(5, 1);1;0.9
(5, 1);2;0.9
(5, 1);3;0.97
(5, 1);4;0.9
(5, 1);5;0.99
(5, 1);6;
(5, 1);7;
(5, 1);8;0.97
(5, 1);9;0.95
(5, 2);0;0.95
(5, 2);1;0.97
(5, 2);2;0.05
(5, 2);3;0.97
(5, 2);4;0.97
(5, 2);5;0.99
(5, 2);6;0.95
(5, 2);7;
(5, 2);8;0.97
(5, 2);9;0.95
(5, 3);0;0.9
(5, 3);1;0.05
(5, 3);2;
(5, 3);3;0.9
(5, 3);4;0.99
(5, 3);5;
(5, 3);6;0.9
(5, 3);7;0.95
(5, 3);8;0.95
(5, 3);9;0.95
(6, 0);0;
(6, 0);1;
(6, 0);2;
(6, 0);3;0.7
(6, 0);4;0.4
(6, 0);5;
(6, 0);6;
(6, 0);7;0.0
(6, 0);8;0.4
(6, 0);9;
(6, 1);0;0.35
(6, 1);1;
(6, 1);2;
(6, 1);3;
(6, 1);4;0.35
(6, 1);5;
(6, 1);6;
(6, 1);7;
(6, 1);8;
(6, 1);9;
(6, 2);0;0.35
(6, 2);1;
(6, 2);2;
(6, 2);3;0.4
(6, 2);4;0.1
(6, 2);5;
(6, 2);6;
(6, 2);7;
(6, 2);8;
(6, 2);9;
(6, 3);0;
(6, 3);1;
(6, 3);2;
(6, 3);3;0.3
(6, 3);4;
(6, 3);5;
(6, 3);6;
(6, 3);7;
(6, 3);8;
(6, 3);9;
(7, 0);0;0.99
(7, 0);1;0.95
(7, 0);2;0.99
(7, 0);3;0.99
(7, 0);4;0.99
(7, 0);5;0.97
(7, 0);6;0.99
(7, 0);7;0.95
(7, 0);8;0.99
(7, 0);9;0.95
(7, 1);0;0.99
(7, 1);1;0.95
(7, 1);2;0.97
(7, 1);3;0.99
(7, 1);4;0.95
(7, 1);5;0.99
(7, 1);6;0.99
(7, 1);7;0.95
(7, 1);8;0.99
(7, 1);9;0.99
(7, 2);0;0.99
(7, 2);1;0.1
(7, 2);2;0.95
(7, 2);3;0.95
(7, 2);4;0.99
(7, 2);5;0.95
(7, 2);6;0.95
(7, 2);7;0.99
(7, 2);8;0.99
(7, 2);9;0.95
(7, 3);0;0.95
(7, 3);1;0.99
(7, 3);2;0.99
(7, 3);3;0.95
(7, 3);4;0.99
(7, 3);5;0.95
(7, 3);6;0.99
(7, 3);7;0.95
(7, 3);8;0.95
(7, 3);9;0.99
(8, 0);0;0.98
(8, 0);1;0.99
(8, 0);2;0.99
(8, 0);3;0.95
(8, 0);4;0.95
(8, 0);5;0.95
(8, 0);6;0.95
(8, 0);7;0.95
(8, 0);8;0.97
(8, 0);9;0.75
(8, 1);0;0.9
(8, 1);1;0.97
(8, 1);2;0.8
(8, 1);3;0.99
(8, 1);4;0.95
(8, 1);5;0.05
(8, 1);6;0.95
(8, 1);7;0.95
(8, 1);8;0.99
(8, 1);9;0.95
(8, 2);0;0.99
(8, 2);1;0.95
(8, 2);2;0.99
(8, 2);3;0.95
(8, 2);4;0.99
(8, 2);5;0.99
(8, 2);6;0.85
(8, 2);7;0.9
(8, 2);8;0.95
(8, 2);9;0.2
(8, 3);0;0.97
(8, 3);1;0.97
(8, 3);2;0.95
(8, 3);3;0.95
(8, 3);4;0.99
(8, 3);5;0.9
(8, 3);6;0.95
(8, 3);7;0.9
(8, 3);8;0.99
(8, 3);9;0.97
(9, 0);0;0.7
(9, 0);1;
(9, 0);2;0.05
(9, 0);3;0.1
(9, 0);4;
(9, 0);5;0.1
(9, 0);6;0.25
(9, 0);7;0.05
(9, 0);8;0.5
(9, 0);9;
(9, 1);0;0.2
(9, 1);1;0.9
(9, 1);2;0.8
(9, 1);3;0.5
(9, 1);4;
(9, 1);5;0.55
(9, 1);6;
(9, 1);7;0.4
(9, 1);8;
(9, 1);9;0.5
(9, 2);0;0.6
(9, 2);1;
(9, 2);2;0.4
(9, 2);3;0.3
(9, 2);4;
(9, 2);5;
(9, 2);6;0.2
(9, 2);7;
(9, 2);8;0.5
(9, 2);9;0.9
(9, 3);0;
(9, 3);1;
(9, 3);2;0.4
(9, 3);3;0.6
(9, 3);4;
(9, 3);5;0.15
(9, 3);6;
(9, 3);7;
(9, 3);8;0.9
(9, 3);9;0.7
(15, 0);0;0.99
(15, 0);1;0.9
(15, 0);2;0.97
(15, 0);3;0.97
(15, 0);4;0.95
(15, 0);5;0.9
(15, 0);6;0.97
(15, 0);7;0.95
(15, 0);8;0.99
(15, 0);9;0.99
(15, 1);0;0.95
(15, 1);1;0.99
(15, 1);2;0.95
(15, 1);3;0.95
(15, 1);4;0.95
(15, 1);5;0.995
(15, 1);6;0.99
(15, 1);7;0.9
(15, 1);8;0.99
(15, 1);9;0.95
(15, 2);0;0.95
(15, 2);1;0.99
(15, 2);2;0.95
(15, 2);3;0.97
(15, 2);4;0.99
(15, 2);5;0.99
(15, 2);6;0.0
(15, 2);7;0.99
(15, 2);8;0.99
(15, 2);9;0.95
(15, 3);0;0.99
(15, 3);1;0.99
(15, 3);2;0.99
(15, 3);3;0.99
(15, 3);4;0.98
(15, 3);5;0.95
(15, 3);6;0.99
(15, 3);7;0.95
(15, 3);8;0.98
(15, 3);9;0.95
(16, 0);0;0.95
(16, 0);1;0.92
(16, 0);2;0.95
(16, 0);3;0.92
(16, 0);4;0.95
(16, 0);5;0.95
(16, 0);6;0.95
(16, 0);7;0.97
(16, 0);8;0.97
(16, 0);9;0.95
(16, 1);0;0.05
(16, 1);1;0.1
(16, 1);2;0.02
(16, 1);3;0.9
(16, 1);4;0.01
(16, 1);5;0.97
(16, 1);6;0.95
(16, 1);7;0.01
(16, 1);8;0.9
(16, 1);9;0.05
(16, 2);0;0.9
(16, 2);1;0.99
(16, 2);2;0.95
(16, 2);3;0.95
(16, 2);4;0.9
(16, 2);5;0.95
(16, 2);6;0.9
(16, 2);7;0.9
(16, 2);8;0.95
(16, 2);9;0.99
(16, 3);0;0.05
(16, 3);1;0.97
(16, 3);2;0.99
(16, 3);3;0.97
(16, 3);4;0.92
(16, 3);5;0.95
(16, 3);6;0.9
(16, 3);7;0.05
(16, 3);8;0.05
(16, 3);9;0.99
(17, 0);0;
(17, 0);1;0.4
(17, 0);2;
(17, 0);3;
(17, 0);4;
(17, 0);5;
(17, 0);6;
(17, 0);7;
(17, 0);8;
(17, 0);9;
(17, 1);0;
(17, 1);1;
(17, 1);2;
(17, 1);3;
(17, 1);4;0.75
(17, 1);5;
(17, 1);6;0.1
(17, 1);7;
(17, 1);8;
(17, 1);9;
(17, 2);0;0.1
(17, 2);1;0.15
(17, 2);2;0.1
