estimations;id;iter
0.65;(0, 0);0
0.71;(0, 0);1
0.6;(0, 0);2
0.6;(0, 0);3
0.6;(0, 0);4
0.86;(0, 0);5
0.6;(0, 0);6
0.86;(0, 0);7
0.82;(0, 0);8
0.65;(0, 0);9
0.78;(0, 1);0
0.65;(0, 1);1
0.66;(0, 1);2
0.71;(0, 1);3
0.66;(0, 1);4
0.65;(0, 1);5
0.65;(0, 1);6
0.75;(0, 1);7
0.7;(0, 1);8
0.78;(0, 1);9
0.6;(0, 2);0
0.66;(0, 2);1
0.71;(0, 2);2
0.65;(0, 2);3
0.71;(0, 2);4
0.78;(0, 2);5
0.66;(0, 2);6
0.62;(0, 2);7
0.65;(0, 2);8
0.65;(0, 2);9
0.7;(0, 3);0
0.6;(0, 3);1
0.6;(0, 3);2
0.6;(0, 3);3
0.86;(0, 3);4
0.86;(0, 3);5
0.71;(0, 3);6
0.65;(0, 3);7
0.86;(0, 3);8
0.71;(0, 3);9
0.95;(1, 0);0
0.92;(1, 0);1
0.86;(1, 0);2
0.86;(1, 0);3
0.86;(1, 0);4
0.86;(1, 0);5
0.85;(1, 0);6
0.86;(1, 0);7
0.92;(1, 0);8
0.86;(1, 0);9
0.95;(1, 1);0
0.86;(1, 1);1
0.86;(1, 1);2
0.87;(1, 1);3
0.9;(1, 1);4
0.86;(1, 1);5
0.92;(1, 1);6
0.9;(1, 1);7
0.95;(1, 1);8
0.86;(1, 1);9
0.9;(1, 2);0
0.82;(1, 2);1
0.86;(1, 2);2
0.92;(1, 2);3
0.86;(1, 2);4
0.95;(1, 2);5
0.95;(1, 2);6
0.86;(1, 2);7
0.9;(1, 2);8
0.92;(1, 2);9
0.86;(1, 3);0
0.9;(1, 3);1
0.92;(1, 3);2
0.86;(1, 3);3
0.92;(1, 3);4
0.92;(1, 3);5
0.86;(1, 3);6
0.86;(1, 3);7
0.86;(1, 3);8
0.92;(1, 3);9
0.71;(2, 0);0
0.66;(2, 0);1
0.45;(2, 0);2
0.71;(2, 0);3
0.53;(2, 0);4
0.71;(2, 0);5
0.66;(2, 0);6
0.86;(2, 0);7
0.78;(2, 0);8
0.62;(2, 0);9
0.85;(2, 1);0
0.86;(2, 1);1
0.71;(2, 1);2
0.71;(2, 1);3
0.78;(2, 1);4
0.66;(2, 1);5
0.66;(2, 1);6
0.66;(2, 1);7
0.4;(2, 1);8
0.78;(2, 1);9
0.85;(2, 2);0
0.62;(2, 2);1
0.68;(2, 2);2
0.75;(2, 2);3
0.7;(2, 2);4
0.75;(2, 2);5
0.78;(2, 2);6
0.65;(2, 2);7
0.85;(2, 2);8
0.86;(2, 2);9
0.35;(2, 3);0
0.46;(2, 3);1
0.62;(2, 3);2
0.65;(2, 3);3
0.65;(2, 3);4
0.71;(2, 3);5
0.71;(2, 3);6
0.35;(2, 3);7
0.78;(2, 3);8
0.71;(2, 3);9
0.45;(3, 0);0
0.32;(3, 0);1
0.82;(3, 0);2
0.85;(3, 0);3
0.32;(3, 0);4
0.42;(3, 0);5
0.35;(3, 0);6
0.35;(3, 0);7
0.32;(3, 0);8
0.42;(3, 0);9
0.35;(3, 1);0
0.42;(3, 1);1
0.27;(3, 1);2
0.2;(3, 1);3
0.42;(3, 1);4
0.62;(3, 1);5
0.62;(3, 1);6
0.32;(3, 1);7
0.42;(3, 1);8
0.45;(3, 1);9
0.62;(3, 2);0
;(3, 2);1
0.42;(3, 2);2
0.2;(3, 2);3
0.35;(3, 2);4
0.45;(3, 2);5
0.2;(3, 2);6
0.45;(3, 2);7
0.86;(3, 2);8
0.45;(3, 2);9
0.0;(3, 3);0
0.32;(3, 3);1
0.42;(3, 3);2
0.62;(3, 3);3
0.2;(3, 3);4
0.62;(3, 3);5
0.37;(3, 3);6
0.66;(3, 3);7
0.38;(3, 3);8
0.42;(3, 3);9
0.73;(4, 0);0
0.74;(4, 0);1
0.78;(4, 0);2
0.71;(4, 0);3
0.71;(4, 0);4
0.7;(4, 0);5
0.55;(4, 0);6
0.71;(4, 0);7
0.71;(4, 0);8
0.66;(4, 0);9
0.71;(4, 1);0
0.35;(4, 1);1
0.78;(4, 1);2
0.78;(4, 1);3
0.75;(4, 1);4
0.78;(4, 1);5
0.66;(4, 1);6
0.78;(4, 1);7
0.71;(4, 1);8
0.86;(4, 1);9
0.82;(4, 2);0
0.62;(4, 2);1
0.86;(4, 2);2
0.78;(4, 2);3
0.78;(4, 2);4
0.78;(4, 2);5
0.78;(4, 2);6
0.71;(4, 2);7
0.78;(4, 2);8
0.66;(4, 2);9
0.66;(4, 3);0
0.75;(4, 3);1
0.82;(4, 3);2
0.78;(4, 3);3
0.71;(4, 3);4
0.86;(4, 3);5
0.78;(4, 3);6
0.78;(4, 3);7
0.78;(4, 3);8
0.71;(4, 3);9
0.86;(5, 0);0
0.95;(5, 0);1
0.92;(5, 0);2
0.86;(5, 0);3
0.86;(5, 0);4
0.86;(5, 0);5
0.86;(5, 0);6
0.86;(5, 0);7
0.9;(5, 0);8
0.86;(5, 0);9
0.95;(5, 1);0
0.86;(5, 1);1
0.86;(5, 1);2
0.86;(5, 1);3
0.87;(5, 1);4
0.85;(5, 1);5
0.86;(5, 1);6
0.86;(5, 1);7
0.87;(5, 1);8
0.92;(5, 1);9
0.86;(5, 2);0
0.86;(5, 2);1
0.92;(5, 2);2
0.86;(5, 2);3
0.86;(5, 2);4
0.86;(5, 2);5
0.92;(5, 2);6
0.86;(5, 2);7
0.85;(5, 2);8
0.92;(5, 2);9
0.86;(5, 3);0
0.86;(5, 3);1
0.92;(5, 3);2
0.86;(5, 3);3
0.86;(5, 3);4
0.86;(5, 3);5
0.92;(5, 3);6
0.86;(5, 3);7
0.86;(5, 3);8
0.86;(5, 3);9
0.71;(6, 0);0
0.86;(6, 0);1
0.75;(6, 0);2
0.86;(6, 0);3
;(6, 0);4
0.85;(6, 0);5
0.2;(6, 0);6
0.86;(6, 0);7
0.86;(6, 0);8
0.35;(6, 0);9
0.55;(6, 1);0
0.66;(6, 1);1
0.45;(6, 1);2
0.86;(6, 1);3
0.78;(6, 1);4
0.85;(6, 1);5
0.86;(6, 1);6
0.85;(6, 1);7
0.86;(6, 1);8
0.78;(6, 1);9
0.78;(6, 2);0
0.82;(6, 2);1
0.4;(6, 2);2
0.66;(6, 2);3
0.85;(6, 2);4
0.8;(6, 2);5
0.82;(6, 2);6
0.78;(6, 2);7
0.86;(6, 2);8
0.75;(6, 2);9
0.86;(6, 3);0
0.86;(6, 3);1
0.78;(6, 3);2
0.86;(6, 3);3
0.78;(6, 3);4
0.71;(6, 3);5
;(6, 3);6
0.85;(6, 3);7
0.82;(6, 3);8
0.86;(6, 3);9
0.97;(7, 0);0
0.97;(7, 0);1
0.95;(7, 0);2
0.97;(7, 0);3
0.95;(7, 0);4
0.95;(7, 0);5
0.95;(7, 0);6
0.95;(7, 0);7
0.99;(7, 0);8
0.97;(7, 0);9
0.93;(7, 1);0
0.96;(7, 1);1
0.96;(7, 1);2
0.97;(7, 1);3
0.97;(7, 1);4
0.96;(7, 1);5
0.97;(7, 1);6
0.96;(7, 1);7
0.97;(7, 1);8
0.96;(7, 1);9
0.97;(7, 2);0
0.97;(7, 2);1
0.93;(7, 2);2
0.93;(7, 2);3
0.96;(7, 2);4
0.97;(7, 2);5
0.93;(7, 2);6
0.95;(7, 2);7
0.97;(7, 2);8
0.93;(7, 2);9
0.96;(7, 3);0
0.97;(7, 3);1
0.96;(7, 3);2
0.96;(7, 3);3
0.99;(7, 3);4
0.97;(7, 3);5
0.96;(7, 3);6
0.92;(7, 3);7
0.97;(7, 3);8
0.94;(7, 3);9
0.86;(8, 0);0
0.86;(8, 0);1
0.93;(8, 0);2
0.9;(8, 0);3
0.78;(8, 0);4
0.86;(8, 0);5
0.93;(8, 0);6
0.86;(8, 0);7
0.86;(8, 0);8
0.92;(8, 0);9
0.86;(8, 1);0
0.86;(8, 1);1
0.92;(8, 1);2
0.86;(8, 1);3
0.86;(8, 1);4
0.86;(8, 1);5
0.86;(8, 1);6
0.86;(8, 1);7
0.78;(8, 1);8
0.93;(8, 1);9
0.86;(8, 2);0
0.86;(8, 2);1
0.78;(8, 2);2
0.86;(8, 2);3
0.86;(8, 2);4
0.86;(8, 2);5
0.71;(8, 2);6
0.92;(8, 2);7
0.86;(8, 2);8
0.86;(8, 2);9
0.78;(8, 3);0
0.86;(8, 3);1
0.93;(8, 3);2
0.86;(8, 3);3
0.93;(8, 3);4
0.86;(8, 3);5
0.93;(8, 3);6
0.86;(8, 3);7
0.86;(8, 3);8
0.86;(8, 3);9
0.86;(9, 0);0
0.86;(9, 0);1
0.78;(9, 0);2
0.68;(9, 0);3
0.82;(9, 0);4
0.86;(9, 0);5
0.78;(9, 0);6
0.73;(9, 0);7
0.78;(9, 0);8
0.71;(9, 0);9
0.32;(9, 1);0
0.62;(9, 1);1
0.71;(9, 1);2
0.62;(9, 1);3
0.35;(9, 1);4
0.85;(9, 1);5
0.82;(9, 1);6
0.55;(9, 1);7
0.82;(9, 1);8
0.78;(9, 1);9
0.42;(9, 2);0
0.6;(9, 2);1
0.86;(9, 2);2
0.73;(9, 2);3
0.86;(9, 2);4
0.82;(9, 2);5
0.86;(9, 2);6
0.86;(9, 2);7
0.71;(9, 2);8
0.86;(9, 2);9
0.75;(9, 3);0
0.78;(9, 3);1
0.42;(9, 3);2
0.82;(9, 3);3
0.62;(9, 3);4
0.75;(9, 3);5
;(9, 3);6
0.82;(9, 3);7
0.75;(9, 3);8
0.78;(9, 3);9
0.62;(20, 0);0
0.66;(20, 0);1
0.78;(20, 0);2
0.6;(20, 0);3
0.4;(20, 0);4
0.66;(20, 0);5
0.86;(20, 0);6
0.55;(20, 0);7
0.73;(20, 0);8
0.78;(20, 0);9
0.71;(20, 1);0
0.71;(20, 1);1
0.71;(20, 1);2
0.71;(20, 1);3
0.73;(20, 1);4
0.78;(20, 1);5
0.73;(20, 1);6
0.78;(20, 1);7
0.78;(20, 1);8
0.8;(20, 1);9
0.73;(20, 2);0
0.71;(20, 2);1
0.62;(20, 2);2
0.6;(20, 2);3
0.73;(20, 2);4
0.55;(20, 2);5
0.78;(20, 2);6
0.66;(20, 2);7
0.78;(20, 2);8
0.71;(20, 2);9
0.71;(20, 3);0
0.66;(20, 3);1
0.62;(20, 3);2
0.65;(20, 3);3
0.78;(20, 3);4
0.78;(20, 3);5
0.71;(20, 3);6
0.65;(20, 3);7
0.6;(20, 3);8
0.86;(20, 3);9
0.93;(21, 0);0
0.97;(21, 0);1
0.95;(21, 0);2
0.95;(21, 0);3
0.92;(21, 0);4
0.92;(21, 0);5
0.92;(21, 0);6
0.95;(21, 0);7
0.92;(21, 0);8
0.92;(21, 0);9
0.86;(21, 1);0
0.86;(21, 1);1
0.92;(21, 1);2
0.86;(21, 1);3
0.86;(21, 1);4
0.92;(21, 1);5
0.85;(21, 1);6
0.86;(21, 1);7
0.86;(21, 1);8
0.86;(21, 1);9
0.92;(21, 2);0
0.96;(21, 2);1
0.96;(21, 2);2
0.92;(21, 2);3
0.92;(21, 2);4
0.85;(21, 2);5
0.92;(21, 2);6
0.92;(21, 2);7
0.93;(21, 2);8
0.92;(21, 2);9
0.86;(21, 3);0
0.92;(21, 3);1
0.92;(21, 3);2
0.92;(21, 3);3
0.92;(21, 3);4
0.92;(21, 3);5
0.86;(21, 3);6
0.96;(21, 3);7
0.92;(21, 3);8
0.86;(21, 3);9
0.73;(22, 0);0
0.86;(22, 0);1
0.73;(22, 0);2
0.92;(22, 0);3
0.86;(22, 0);4
0.82;(22, 0);5
0.71;(22, 0);6
0.71;(22, 0);7
0.71;(22, 0);8
0.75;(22, 0);9
0.73;(22, 1);0
0.78;(22, 1);1
0.73;(22, 1);2
0.82;(22, 1);3
0.66;(22, 1);4
0.86;(22, 1);5
0.86;(22, 1);6
0.71;(22, 1);7
0.66;(22, 1);8
0.86;(22, 1);9
0.86;(22, 2);0
0.86;(22, 2);1
0.86;(22, 2);2
0.75;(22, 2);3
0.86;(22, 2);4
0.86;(22, 2);5
0.86;(22, 2);6
