id;iter;estimations;token_probs
0;0;0.9465966671870766;[0.6830533894991548, 0.038535237607391366]
10;0;0.9433475778774728;[0.45725413751885996, 0.02746024373569248]
20;0;0.9343951552333004;[0.699688420720028, 0.049125843567685824]
30;0;0.9196425289753969;[0.6460973825080387, 0.05645536179346332]
40;0;0.879146761176671;[0.47983324242663833, 0.0659610021934727]
50;0;0.8267117940706734;[0.3936519365623251, 0.08251392847754493]
50;1;0.9273632896242073;[0.39387262553907787, 0.030850489928093236]
50;2;0.8976952811593495;[0.5677754965099893, 0.064705823628758]
50;3;0.8774767778695834;[0.7721378226361251, 0.10781460700057745]
50;4;0.9207896715436483;[0.4641770369036851, 0.03993052560352715]
50;5;0.8244619436290698;[0.2645770238157697, 0.0563316922993363]
50;6;0.9339146213324512;[0.04702315787039141, 0.003327438207975685]
50;7;0.9750122054090997;[0.20837297513540037, 0.0053402214578365]
50;8;0.9559813551535004;[0.26215436514918633, 0.012071030289715933]
50;9;0.9539660976007596;[0.06880801843979387, 0.003320350286146354]
51;0;0.9511422269175634;[0.4423561936401783, 0.022722720029499197]
51;1;0.9219218348550491;[0.5416340644991234, 0.04587134433446048]
51;2;0.9407897492587141;[0.47598057478279476, 0.02995667119361912]
51;3;0.9124361509525462;[0.6824510598264714, 0.06549284738722272]
51;4;0.9324533051062237;[0.559538068419447, 0.040532804143662435]
51;5;0.9073122163480666;[0.7185839300917131, 0.07340797428715079]
51;6;0.9556514287092054;[0.11780775235259364, 0.005467061887694893]
51;7;0.8887587875995482;[0.5306251301080045, 0.06641552649261467]
51;8;0.9230391706552536;[0.6161230183779411, 0.05137088433537847]
51;9;0.9124361676202372;[0.6601234518152591, 0.06335011843673416]
52;0;0.8723473746782093;[0.5919266358733228, 0.0866180047770513]
52;1;0.9136765210631688;[0.6546944525889525, 0.06185504550599625]
52;2;0.9263037323284109;[0.6160703954290291, 0.049014256535439116]
52;3;0.8933093975331751;[0.609455829660664, 0.072789125271684]
52;4;0.9449947070591977;[0.6251085982425307, 0.03638568693484832]
52;5;0.9099070133672955;[0.6680986024788408, 0.06615071384020416]
52;6;0.851952809486198;[0.5289519471332678, 0.09191806027039583]
52;7;0.882427872638409;[0.5341253515855681, 0.07116531085527682]
52;8;0.8976952921073469;[0.3958294354017004, 0.04511020066622149]
52;9;0.9433475746920261;[0.6511655827395063, 0.03910553281627572]
53;0;0.9124361652391386;[0.37680546336415643, 0.03616092016953465]
53;1;0.8872045817875224;[0.42759961107861555, 0.054363196436530786]
53;2;0.9343951552333004;[0.20223191345967034, 0.01419891061622819]
53;3;0.9124361604769413;[0.17247252375123626, 0.016551685527232934]
53;4;0.9416541593883189;[0.4542657088218589, 0.028146761077856162]
53;5;0.9099070060380483;[0.5377120213446106, 0.05324069995153241]
53;6;0.8438951025545426;[0.5206945397034028, 0.0963188048784249]
53;7;0.9173026482819236;[0.48438391363907907, 0.04366853943768186]
53;8;0.923039160069787;[0.5906927509698091, 0.04925057594727356]
53;9;0.7185943925708562;[0.23757456645365663, 0.09303553697855303]
54;0;0.9111797124237604;[0.4761396188588717, 0.046413300578204655]
54;1;0.8438951025545426;[0.46969141254232205, 0.0868841750165179]
54;2;0.8840392817460332;[0.561244404213718, 0.07361924472417192]
54;3;0.9124361557147439;[0.6542489440050623, 0.06278636844654227]
54;4;0.9230391685381604;[0.5074282384830683, 0.04230817117189218]
54;5;0.8577680904463333;[0.6252023312294934, 0.10366872167266568]
54;6;0.880797071719777;[0.4464414185547323, 0.06041927942992943]
54;7;0.8807970842359876;[0.6470786596006316, 0.08757256845368717]
54;8;0.9196425311777929;[0.7260614883521356, 0.06344254581020717]
54;9;0.9284088084787997;[0.5862617988655912, 0.045207650273072886]
55;0;0.9230391706552538;[0.610470434062015, 0.05089958518500117]
