id;iter;estimations
0;0;1.0
10;0;1.0
20;0;1.0
30;0;0.375
40;0;0.95
50;0;1.0
50;1;0.333
50;2;1.0
50;3;1.0
50;4;1.0
50;5;1.0
50;6;1.0
50;7;0.85
50;8;0.1
50;9;0.0909
51;0;0.99
51;1;0.95
51;2;1.0
51;3;1.0
51;4;1.0
51;5;1.0
51;6;0.95
51;7;1.0
51;8;1.0
51;9;1.0
52;0;1.0
52;1;0.1
52;2;1.0
52;3;1.0
52;4;1.0
52;5;1.0
52;6;1.0
52;7;1.0
52;8;1.0
52;9;1.0
53;0;1.0
53;1;1.0
53;2;1.0
53;3;1.0
53;4;1.0
53;5;0.95
53;6;1.0
53;7;1.0
53;8;1.0
53;9;
54;0;1.0
54;1;1.0
54;2;1.0
54;3;1.0
54;4;1.0
54;5;1.0
54;6;1.0
54;7;1.0
54;8;1.0
54;9;1.0
55;0;0.75
55;1;0.75
55;2;0.75
55;3;0.95
55;4;0.75
55;5;0.75
55;6;0.75
55;7;0.75
55;8;1.0
55;9;1.0
56;0;
56;1;1.0
56;2;1.0
56;3;1.0
56;4;0.9
56;5;0.95
56;6;1.0
56;7;1.0
56;8;1.0
56;9;1.0
57;0;0.99
57;1;0.0
57;2;1.0
57;3;1.0
57;4;1.0
57;5;0.99
57;6;0.0909
57;7;0.95
57;8;0.8
57;9;1.0
58;0;0.1098
58;1;0.6667
58;2;1.0
58;3;1.0
58;4;
58;5;1.0
58;6;1.0
58;7;1.0
58;8;1.0
58;9;1.0
59;0;1.0
59;1;1.0
59;2;1.0
59;3;1.0
59;4;1.0
39;6;1.0
39;7;0.95
39;8;1.0
39;9;1.0
40;1;0.0099
40;2;1.0
40;3;0.95
40;4;1.0
110;8;1.0
110;9;0.95
111;0;1.0
111;1;1.0
111;2;1.0
111;3;1.0
111;4;1.0
111;5;1.0
111;6;0.95
111;7;0.95
111;8;1.0
111;9;1.0
112;0;1.0
112;1;1.0
112;2;1.0
112;3;0.5652
112;4;1.0
112;5;0.0
112;6;1.0
112;7;0.95
112;8;1.0
112;9;1.0
113;0;1.0
113;1;1.0
113;2;1.0
113;3;1.0
113;4;1.0
113;5;1.0
113;6;1.0
113;7;1.0
113;8;1.0
113;9;1.0
114;0;1.0
114;1;1.0
114;2;1.0
114;3;1.0
114;4;1.0
114;5;
114;6;0.95
114;7;1.0
114;8;0.9606
114;9;1.0
115;0;1.0
115;1;1.0
115;2;0.95
115;3;0.1875
115;4;1.0
115;5;1.0
115;6;1.0
115;7;1.0
115;8;1.0
115;9;1.0
116;0;1.0
116;1;1.0
116;2;0.5
116;3;0.01
116;4;0.5
116;5;1.0
116;6;1.0
116;7;1.0
116;8;1.0
116;9;1.0
117;0;1.0
117;1;1.0
117;2;1.0
117;3;1.0
117;4;1.0
117;5;1.0
117;6;1.0
