extracted_number;id;correct_answer;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
72;0;72.0;225;0;1.0;True;0
72;0;72.0;184;0;1.0;True;1
72;0;72.0;188;0;1.0;True;2
72;0;72.0;233;0;1.0;True;3
72;0;72.0;222;0;1.0;True;4
72;0;72.0;169;0;1.0;True;5
72;0;72.0;193;0;1.0;True;6
72;0;72.0;204;0;1.0;True;7
72;0;72.0;218;0;1.0;True;8
72;0;72.0;232;0;1.0;True;9
10;1;10.0;245;0;1.0;True;0
10;1;10.0;217;0;1.0;True;1
10;1;10.0;295;0;1.0;True;2
10;1;10.0;284;0;1.0;True;3
10;1;10.0;190;0;1.0;True;4
10;1;10.0;226;0;1.0;True;5
10;1;10.0;288;0;1.0;True;6
10;1;10.0;280;0;1.0;True;7
10.0;1;10.0;263;0;1.0;True;8
10;1;10.0;202;0;1.0;True;9
5;2;5.0;320;0;1.0;True;0
5;2;5.0;313;0;1.0;True;1
5;2;5.0;353;0;1.0;True;2
5;2;5.0;304;0;1.0;True;3
5;2;5.0;262;0;1.0;True;4
5;2;5.0;255;0;1.0;True;5
5;2;5.0;266;0;1.0;True;6
5;2;5.0;251;0;1.0;True;7
5;2;5.0;324;0;1.0;True;8
5;2;5.0;275;0;1.0;True;9
42;3;42.0;312;0;1.0;True;0
42;3;42.0;242;0;1.0;True;1
42;3;42.0;253;0;1.0;True;2
42;3;42.0;278;0;1.0;True;3
42;3;42.0;236;0;1.0;True;4
42;3;42.0;257;0;1.0;True;5
42;3;42.0;247;0;1.0;True;6
42;3;42.0;369;0;1.0;True;7
42;3;42.0;240;0;1.0;True;8
42;3;42.0;318;0;1.0;True;9
624;4;624.0;259;0;0.8;True;0
1248;4;624.0;350;0;0.1;False;1
624;4;624.0;220;0;0.8;True;2
624;4;624.0;190;0;0.8;True;3
624;4;624.0;233;0;0.8;True;4
624;4;624.0;185;0;0.8;True;5
624;4;624.0;198;0;0.8;True;6
312;4;624.0;221;0;0.1;False;7
624;4;624.0;250;0;0.8;True;8
624;4;624.0;265;0;0.8;True;9
35;5;35.0;245;0;1.0;True;0
35;5;35.0;313;0;1.0;True;1
35;5;35.0;325;0;1.0;True;2
35;5;35.0;334;0;1.0;True;3
35;5;35.0;319;0;1.0;True;4
