extracted_number;id;correct_answer;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
72;0;72.0;114;0;1.0;True;0
72;0;72.0;115;0;1.0;True;1
72;0;72.0;124;0;1.0;True;2
72;0;72.0;102;0;1.0;True;3
72;0;72.0;99;0;1.0;True;4
72;0;72.0;101;0;1.0;True;5
72;0;72.0;101;0;1.0;True;6
72;0;72.0;108;0;1.0;True;7
72;0;72.0;124;0;1.0;True;8
72;0;72.0;105;0;1.0;True;9
10;1;10.0;170;0;1.0;True;0
10;1;10.0;189;0;1.0;True;1
10.0;1;10.0;136;0;1.0;True;2
10.0;1;10.0;134;0;1.0;True;3
10;1;10.0;113;0;1.0;True;4
10;1;10.0;165;0;1.0;True;5
10.0;1;10.0;208;0;1.0;True;6
10.0;1;10.0;236;0;1.0;True;7
10.0;1;10.0;201;0;1.0;True;8
10;1;10.0;111;0;1.0;True;9
5;2;5.0;155;0;1.0;True;0
5;2;5.0;178;0;1.0;True;1
5;2;5.0;194;0;1.0;True;2
5;2;5.0;165;0;1.0;True;3
5;2;5.0;167;0;1.0;True;4
5;2;5.0;192;0;1.0;True;5
5;2;5.0;187;0;1.0;True;6
5;2;5.0;201;0;1.0;True;7
5;2;5.0;176;0;1.0;True;8
5;2;5.0;174;0;1.0;True;9
42;3;42.0;119;0;1.0;True;0
42;3;42.0;142;0;1.0;True;1
42;3;42.0;214;0;1.0;True;2
42;3;42.0;141;0;1.0;True;3
42;3;42.0;136;0;1.0;True;4
42;3;42.0;227;0;1.0;True;5
42;3;42.0;247;0;1.0;True;6
42;3;42.0;153;0;1.0;True;7
42;3;42.0;168;0;1.0;True;8
42;3;42.0;127;0;1.0;True;9
624;4;624.0;104;0;0.9;True;0
624;4;624.0;108;0;0.9;True;1
624;4;624.0;184;0;0.9;True;2
1248;4;624.0;233;0;0.1;False;3
624;4;624.0;164;0;0.9;True;4
624;4;624.0;111;0;0.9;True;5
624;4;624.0;85;0;0.9;True;6
624;4;624.0;88;0;0.9;True;7
624;4;624.0;263;0;0.9;True;8
624;4;624.0;237;0;0.9;True;9
35;5;35.0;233;0;1.0;True;0
35;5;35.0;272;0;1.0;True;1
35;5;35.0;293;0;1.0;True;2
35;5;35.0;291;0;1.0;True;3
35;5;35.0;245;0;1.0;True;4
35;5;35.0;296;0;1.0;True;5
35;5;35.0;349;0;1.0;True;6
35;5;35.0;310;0;1.0;True;7
35;5;35.0;281;0;1.0;True;8
35;5;35.0;431;0;1.0;True;9
