extracted_number;id;answer_token_len;correct_answer;reasoning_token_len;frequency_of_answer;is_correct;iter
72;0;117;72.0;0;0.9;True;0
72;0;107;72.0;0;0.9;True;1
72;0;124;72.0;0;0.9;True;2
72;0;134;72.0;0;0.9;True;3
72;0;114;72.0;0;0.9;True;4
72;0;107;72.0;0;0.9;True;5
72;0;114;72.0;0;0.9;True;6
;0;264;72.0;0;0.0;False;7
72;0;130;72.0;0;0.9;True;8
72;0;73;72.0;0;0.9;True;9
;1;139;10.0;0;0.0;False;0
10;1;136;10.0;0;0.9;True;1
10;1;177;10.0;0;0.9;True;2
10;1;134;10.0;0;0.9;True;3
10.0;1;162;10.0;0;0.9;True;4
10;1;128;10.0;0;0.9;True;5
10;1;145;10.0;0;0.9;True;6
10;1;117;10.0;0;0.9;True;7
10.0;1;154;10.0;0;0.9;True;8
10.0;1;223;10.0;0;0.9;True;9
5;2;162;5.0;0;1.0;True;0
5;2;186;5.0;0;1.0;True;1
5;2;179;5.0;0;1.0;True;2
5;2;173;5.0;0;1.0;True;3
5;2;209;5.0;0;1.0;True;4
5;2;160;5.0;0;1.0;True;5
5;2;228;5.0;0;1.0;True;6
5;2;157;5.0;0;1.0;True;7
5;2;149;5.0;0;1.0;True;8
5;2;169;5.0;0;1.0;True;9
42;3;180;42.0;0;1.0;True;0
42;3;166;42.0;0;1.0;True;1
42;3;177;42.0;0;1.0;True;2
42;3;160;42.0;0;1.0;True;3
42;3;177;42.0;0;1.0;True;4
42;3;130;42.0;0;1.0;True;5
42;3;255;42.0;0;1.0;True;6
42;3;171;42.0;0;1.0;True;7
42;3;196;42.0;0;1.0;True;8
42;3;146;42.0;0;1.0;True;9
624;4;175;624.0;0;0.8;True;0
624;4;194;624.0;0;0.8;True;1
624;4;145;624.0;0;0.8;True;2
624;4;110;624.0;0;0.8;True;3
624;4;124;624.0;0;0.8;True;4
624;4;136;624.0;0;0.8;True;5
624;4;139;624.0;0;0.8;True;6
576;4;210;624.0;0;0.1;False;7
624;4;170;624.0;0;0.8;True;8
104;4;154;624.0;0;0.1;False;9
35;5;350;35.0;0;1.0;True;0
35;5;260;35.0;0;1.0;True;1
35;5;273;35.0;0;1.0;True;2
35;5;322;35.0;0;1.0;True;3
35;5;250;35.0;0;1.0;True;4
35;5;322;35.0;0;1.0;True;5
35;5;251;35.0;0;1.0;True;6
35;5;242;35.0;0;1.0;True;7
35;5;297;35.0;0;1.0;True;8
35;5;300;35.0;0;1.0;True;9
48;6;179;48.0;0;1.0;True;0
48;6;173;48.0;0;1.0;True;1
48;6;170;48.0;0;1.0;True;2
48;6;208;48.0;0;1.0;True;3
48;6;229;48.0;0;1.0;True;4
48;6;191;48.0;0;1.0;True;5
48;6;147;48.0;0;1.0;True;6
48;6;247;48.0;0;1.0;True;7
48;6;191;48.0;0;1.0;True;8
48;6;168;48.0;0;1.0;True;9
16;7;157;16.0;0;0.7;True;0
16;7;160;16.0;0;0.7;True;1
16;7;229;16.0;0;0.7;True;2
16;7;150;16.0;0;0.7;True;3
16;7;165;16.0;0;0.7;True;4
20;7;298;16.0;0;0.2;False;5
16;7;164;16.0;0;0.7;True;6
16;7;128;16.0;0;0.7;True;7
;7;315;16.0;0;0.0;False;8
20;7;233;16.0;0;0.2;False;9
41;8;229;41.0;0;0.8;True;0
41;8;199;41.0;0;0.8;True;1
41;8;211;41.0;0;0.8;True;2
41;8;194;41.0;0;0.8;True;3
41;8;284;41.0;0;0.8;True;4
41;8;214;41.0;0;0.8;True;5
41;8;211;41.0;0;0.8;True;6
57;8;253;41.0;0;0.2;False;7
41;8;249;41.0;0;0.8;True;8
57;8;176;41.0;0;0.2;False;9
990.0;9;264;990.0;0;0.8;True;0
990.0;9;315;990.0;0;0.8;True;1
414.0;9;261;990.0;0;0.1;False;2
990.0;9;322;990.0;0;0.8;True;3
630.0;9;347;990.0;0;0.1;False;4
990.0;9;278;990.0;0;0.8;True;5
990.0;9;340;990.0;0;0.8;True;6
990.0;9;332;990.0;0;0.8;True;7
990.0;9;365;990.0;0;0.8;True;8
990.0;9;384;990.0;0;0.8;True;9
121;10;174;121.0;0;0.9;True;0
121;10;226;121.0;0;0.9;True;1
106;10;206;121.0;0;0.1;False;2
121;10;221;121.0;0;0.9;True;3
121;10;274;121.0;0;0.9;True;4
121;10;200;121.0;0;0.9;True;5
121;10;426;121.0;0;0.9;True;6
121;10;221;121.0;0;0.9;True;7
121;10;234;121.0;0;0.9;True;8
121;10;185;121.0;0;0.9;True;9
5;11;420;5.0;0;0.9;True;0
5;11;327;5.0;0;0.9;True;1
5;11;342;5.0;0;0.9;True;2
5;11;316;5.0;0;0.9;True;3
5;11;287;5.0;0;0.9;True;4
5;11;366;5.0;0;0.9;True;5
7;11;382;5.0;0;0.1;False;6
5;11;295;5.0;0;0.9;True;7
5;11;426;5.0;0;0.9;True;8
5;11;318;5.0;0;0.9;True;9
85;12;127;85.0;0;1.0;True;0
85;12;107;85.0;0;1.0;True;1
85;12;172;85.0;0;1.0;True;2
85;12;127;85.0;0;1.0;True;3
85;12;119;85.0;0;1.0;True;4
85;12;179;85.0;0;1.0;True;5
85;12;168;85.0;0;1.0;True;6
85;12;153;85.0;0;1.0;True;7
85;12;151;85.0;0;1.0;True;8
85;12;152;85.0;0;1.0;True;9
22.5;13;190;35.0;0;0.6;False;0
22.5;13;293;35.0;0;0.6;False;1
35;13;190;35.0;0;0.2;True;2
32.5;13;190;35.0;0;0.1;False;3
22.5;13;225;35.0;0;0.6;False;4
35;13;194;35.0;0;0.2;True;5
22.5;13;194;35.0;0;0.6;False;6
22.5;13;198;35.0;0;0.6;False;7
45;13;273;35.0;0;0.1;False;8
22.5;13;177;35.0;0;0.6;False;9
5;14;207;5.0;0;1.0;True;0
5;14;198;5.0;0;1.0;True;1
5;14;193;5.0;0;1.0;True;2
5;14;198;5.0;0;1.0;True;3
5;14;172;5.0;0;1.0;True;4
5;14;179;5.0;0;1.0;True;5
5;14;219;5.0;0;1.0;True;6
5;14;194;5.0;0;1.0;True;7
5;14;179;5.0;0;1.0;True;8
5;14;216;5.0;0;1.0;True;9
748000;15;292;448000.0;0;0.1;False;0
448000;15;420;448000.0;0;0.2;True;1
450000;15;245;448000.0;0;0.3;False;2
450000;15;228;448000.0;0;0.3;False;3
90000;15;373;448000.0;0;0.1;False;4
710000.0;15;452;448000.0;0;0.1;False;5
448000;15;371;448000.0;0;0.2;True;6
450000;15;341;448000.0;0;0.3;False;7
447000;15;321;448000.0;0;0.1;False;8
688000;15;402;448000.0;0;0.1;False;9
0;16;266;800.0;0;0.1;False;0
800;16;141;800.0;0;0.9;True;1
800;16;237;800.0;0;0.9;True;2
800;16;236;800.0;0;0.9;True;3
800;16;240;800.0;0;0.9;True;4
800;16;232;800.0;0;0.9;True;5
800;16;165;800.0;0;0.9;True;6
800;16;202;800.0;0;0.9;True;7
800;16;169;800.0;0;0.9;True;8
800;16;224;800.0;0;0.9;True;9
49;17;290;43.0;0;0.3;False;0
43;17;289;43.0;0;0.6;True;1
49;17;254;43.0;0;0.3;False;2
49;17;258;43.0;0;0.3;False;3
43;17;217;43.0;0;0.6;True;4
43;17;302;43.0;0;0.6;True;5
43;17;254;43.0;0;0.6;True;6
43;17;290;43.0;0;0.6;True;7
19;17;238;43.0;0;0.1;False;8
43;17;304;43.0;0;0.6;True;9
16;18;252;16.0;0;0.8;True;0
12;18;270;16.0;0;0.1;False;1
16;18;278;16.0;0;0.8;True;2
16;18;265;16.0;0;0.8;True;3
16;18;311;16.0;0;0.8;True;4
16;18;258;16.0;0;0.8;True;5
8;18;190;16.0;0;0.1;False;6
16;18;210;16.0;0;0.8;True;7
16;18;295;16.0;0;0.8;True;8
16;18;221;16.0;0;0.8;True;9
16;19;354;16.0;0;1.0;True;0
16;19;262;16.0;0;1.0;True;1
16;19;313;16.0;0;1.0;True;2
16;19;203;16.0;0;1.0;True;3
16;19;221;16.0;0;1.0;True;4
16;19;277;16.0;0;1.0;True;5
16;19;289;16.0;0;1.0;True;6
16;19;246;16.0;0;1.0;True;7
16;19;225;16.0;0;1.0;True;8
16;19;230;16.0;0;1.0;True;9
38;20;265;38.0;0;1.0;True;0
38;20;166;38.0;0;1.0;True;1
38;20;141;38.0;0;1.0;True;2
38;20;253;38.0;0;1.0;True;3
38;20;196;38.0;0;1.0;True;4
38;20;232;38.0;0;1.0;True;5
38;20;124;38.0;0;1.0;True;6
38;20;147;38.0;0;1.0;True;7
38;20;138;38.0;0;1.0;True;8
38;20;111;38.0;0;1.0;True;9
1080;21;229;1080.0;0;1.0;True;0
1080;21;212;1080.0;0;1.0;True;1
1080;21;414;1080.0;0;1.0;True;2
1080;21;234;1080.0;0;1.0;True;3
1080;21;267;1080.0;0;1.0;True;4
1080;21;124;1080.0;0;1.0;True;5
1080;21;188;1080.0;0;1.0;True;6
1080;21;214;1080.0;0;1.0;True;7
1080;21;213;1080.0;0;1.0;True;8
1080;21;181;1080.0;0;1.0;True;9
7;22;238;7.0;0;0.6;True;0
7;22;122;7.0;0;0.6;True;1
