extracted_number;id;answer_token_len;correct_answer;reasoning_token_len;frequency_of_answer;is_correct;iter
72;0;186;72.0;0;1.0;True;0
72;0;185;72.0;0;1.0;True;1
72;0;185;72.0;0;1.0;True;2
72;0;185;72.0;0;1.0;True;3
72;0;182;72.0;0;1.0;True;4
72;0;182;72.0;0;1.0;True;5
72;0;173;72.0;0;1.0;True;6
72;0;164;72.0;0;1.0;True;7
72;0;139;72.0;0;1.0;True;8
72;0;186;72.0;0;1.0;True;9
10;1;257;10.0;0;1.0;True;0
10.0;1;203;10.0;0;1.0;True;1
10;1;259;10.0;0;1.0;True;2
10.0;1;223;10.0;0;1.0;True;3
10.0;1;249;10.0;0;1.0;True;4
10;1;208;10.0;0;1.0;True;5
10.0;1;256;10.0;0;1.0;True;6
10;1;205;10.0;0;1.0;True;7
10;1;242;10.0;0;1.0;True;8
10;1;239;10.0;0;1.0;True;9
5;2;319;5.0;0;1.0;True;0
5;2;237;5.0;0;1.0;True;1
5;2;252;5.0;0;1.0;True;2
5;2;288;5.0;0;1.0;True;3
5;2;330;5.0;0;1.0;True;4
5;2;276;5.0;0;1.0;True;5
5;2;260;5.0;0;1.0;True;6
5;2;308;5.0;0;1.0;True;7
5;2;279;5.0;0;1.0;True;8
5;2;236;5.0;0;1.0;True;9
42;3;182;42.0;0;1.0;True;0
42;3;181;42.0;0;1.0;True;1
42;3;174;42.0;0;1.0;True;2
42;3;228;42.0;0;1.0;True;3
42;3;192;42.0;0;1.0;True;4
42;3;182;42.0;0;1.0;True;5
42;3;206;42.0;0;1.0;True;6
42;3;249;42.0;0;1.0;True;7
42;3;218;42.0;0;1.0;True;8
42;3;167;42.0;0;1.0;True;9
624;4;166;624.0;0;1.0;True;0
624;4;170;624.0;0;1.0;True;1
624;4;166;624.0;0;1.0;True;2
624;4;163;624.0;0;1.0;True;3
624;4;168;624.0;0;1.0;True;4
624;4;170;624.0;0;1.0;True;5
624;4;164;624.0;0;1.0;True;6
624;4;181;624.0;0;1.0;True;7
624;4;170;624.0;0;1.0;True;8
624;4;174;624.0;0;1.0;True;9
35;5;396;35.0;0;1.0;True;0
35;5;325;35.0;0;1.0;True;1
35;5;323;35.0;0;1.0;True;2
35;5;319;35.0;0;1.0;True;3
35;5;340;35.0;0;1.0;True;4
35;5;300;35.0;0;1.0;True;5
35;5;380;35.0;0;1.0;True;6
35;5;321;35.0;0;1.0;True;7
35;5;331;35.0;0;1.0;True;8
35;5;368;35.0;0;1.0;True;9
48;6;170;48.0;0;1.0;True;0
48;6;172;48.0;0;1.0;True;1
48;6;162;48.0;0;1.0;True;2
48;6;167;48.0;0;1.0;True;3
48;6;151;48.0;0;1.0;True;4
48;6;174;48.0;0;1.0;True;5
48;6;166;48.0;0;1.0;True;6
48;6;167;48.0;0;1.0;True;7
48;6;176;48.0;0;1.0;True;8
48;6;174;48.0;0;1.0;True;9
16;7;287;16.0;0;1.0;True;0
16;7;326;16.0;0;1.0;True;1
16;7;266;16.0;0;1.0;True;2
16;7;252;16.0;0;1.0;True;3
16;7;523;16.0;0;1.0;True;4
16;7;290;16.0;0;1.0;True;5
16;7;277;16.0;0;1.0;True;6
16;7;190;16.0;0;1.0;True;7
16;7;682;16.0;0;1.0;True;8
16;7;261;16.0;0;1.0;True;9
41;8;344;41.0;0;1.0;True;0
41;8;272;41.0;0;1.0;True;1
41;8;296;41.0;0;1.0;True;2
41;8;337;41.0;0;1.0;True;3
41;8;410;41.0;0;1.0;True;4
41;8;378;41.0;0;1.0;True;5
41.0;8;268;41.0;0;1.0;True;6
41;8;345;41.0;0;1.0;True;7
41;8;291;41.0;0;1.0;True;8
41.0;8;307;41.0;0;1.0;True;9
990.0;9;312;990.0;0;1.0;True;0
990.0;9;291;990.0;0;1.0;True;1
990.0;9;319;990.0;0;1.0;True;2
990.0;9;311;990.0;0;1.0;True;3
990.0;9;345;990.0;0;1.0;True;4
990.0;9;319;990.0;0;1.0;True;5
990.0;9;334;990.0;0;1.0;True;6
990.0;9;298;990.0;0;1.0;True;7
990.0;9;309;990.0;0;1.0;True;8
990.0;9;393;990.0;0;1.0;True;9
121;10;320;121.0;0;1.0;True;0
121;10;314;121.0;0;1.0;True;1
121;10;454;121.0;0;1.0;True;2
121;10;375;121.0;0;1.0;True;3
121;10;303;121.0;0;1.0;True;4
121;10;432;121.0;0;1.0;True;5
121;10;438;121.0;0;1.0;True;6
121;10;375;121.0;0;1.0;True;7
121;10;283;121.0;0;1.0;True;8
121;10;412;121.0;0;1.0;True;9
5;11;380;5.0;0;1.0;True;0
5;11;331;5.0;0;1.0;True;1
5;11;252;5.0;0;1.0;True;2
5;11;465;5.0;0;1.0;True;3
5;11;286;5.0;0;1.0;True;4
5;11;334;5.0;0;1.0;True;5
5;11;321;5.0;0;1.0;True;6
5;11;252;5.0;0;1.0;True;7
5;11;429;5.0;0;1.0;True;8
5;11;308;5.0;0;1.0;True;9
85;12;206;85.0;0;1.0;True;0
85;12;211;85.0;0;1.0;True;1
85;12;195;85.0;0;1.0;True;2
85;12;194;85.0;0;1.0;True;3
85;12;211;85.0;0;1.0;True;4
85;12;202;85.0;0;1.0;True;5
85;12;213;85.0;0;1.0;True;6
85;12;199;85.0;0;1.0;True;7
85;12;198;85.0;0;1.0;True;8
85;12;206;85.0;0;1.0;True;9
35;13;266;35.0;0;1.0;True;0
35.0;13;268;35.0;0;1.0;True;1
35;13;292;35.0;0;1.0;True;2
35.0;13;266;35.0;0;1.0;True;3
35;13;273;35.0;0;1.0;True;4
35.0;13;264;35.0;0;1.0;True;5
35.0;13;265;35.0;0;1.0;True;6
35;13;253;35.0;0;1.0;True;7
35.0;13;269;35.0;0;1.0;True;8
35;13;283;35.0;0;1.0;True;9
5;14;246;5.0;0;1.0;True;0
5;14;249;5.0;0;1.0;True;1
5;14;230;5.0;0;1.0;True;2
5;14;253;5.0;0;1.0;True;3
5;14;249;5.0;0;1.0;True;4
5;14;254;5.0;0;1.0;True;5
5;14;237;5.0;0;1.0;True;6
5;14;254;5.0;0;1.0;True;7
5;14;257;5.0;0;1.0;True;8
5;14;249;5.0;0;1.0;True;9
448000;15;371;448000.0;0;1.0;True;0
448000;15;414;448000.0;0;1.0;True;1
448000;15;395;448000.0;0;1.0;True;2
448000;15;386;448000.0;0;1.0;True;3
448000;15;431;448000.0;0;1.0;True;4
448000;15;383;448000.0;0;1.0;True;5
448000;15;360;448000.0;0;1.0;True;6
448000;15;394;448000.0;0;1.0;True;7
448000;15;433;448000.0;0;1.0;True;8
448000;15;359;448000.0;0;1.0;True;9
800;16;310;800.0;0;1.0;True;0
800;16;325;800.0;0;1.0;True;1
800;16;318;800.0;0;1.0;True;2
800;16;293;800.0;0;1.0;True;3
800;16;275;800.0;0;1.0;True;4
800;16;270;800.0;0;1.0;True;5
800;16;282;800.0;0;1.0;True;6
800;16;254;800.0;0;1.0;True;7
800;16;323;800.0;0;1.0;True;8
800;16;337;800.0;0;1.0;True;9
43;17;293;43.0;0;1.0;True;0
43;17;250;43.0;0;1.0;True;1
43;17;379;43.0;0;1.0;True;2
43;17;291;43.0;0;1.0;True;3
43;17;291;43.0;0;1.0;True;4
43;17;284;43.0;0;1.0;True;5
43;17;271;43.0;0;1.0;True;6
43;17;286;43.0;0;1.0;True;7
43;17;353;43.0;0;1.0;True;8
43;17;313;43.0;0;1.0;True;9
16;18;281;16.0;0;1.0;True;0
16;18;277;16.0;0;1.0;True;1
16;18;260;16.0;0;1.0;True;2
16;18;288;16.0;0;1.0;True;3
16;18;254;16.0;0;1.0;True;4
16;18;244;16.0;0;1.0;True;5
16;18;269;16.0;0;1.0;True;6
16;18;267;16.0;0;1.0;True;7
16;18;305;16.0;0;1.0;True;8
16;18;289;16.0;0;1.0;True;9
16;19;278;16.0;0;1.0;True;0
16;19;246;16.0;0;1.0;True;1
16;19;286;16.0;0;1.0;True;2
16;19;259;16.0;0;1.0;True;3
16;19;256;16.0;0;1.0;True;4
16;19;276;16.0;0;1.0;True;5
16;19;272;16.0;0;1.0;True;6
16;19;368;16.0;0;1.0;True;7
16;19;265;16.0;0;1.0;True;8
16;19;249;16.0;0;1.0;True;9
38;20;198;38.0;0;1.0;True;0
38;20;245;38.0;0;1.0;True;1
38;20;262;38.0;0;1.0;True;2
38;20;200;38.0;0;1.0;True;3
38;20;262;38.0;0;1.0;True;4
38;20;228;38.0;0;1.0;True;5
38;20;181;38.0;0;1.0;True;6
38;20;263;38.0;0;1.0;True;7
38;20;225;38.0;0;1.0;True;8
38;20;262;38.0;0;1.0;True;9
1080;21;586;1080.0;0;1.0;True;0
1080;21;335;1080.0;0;1.0;True;1
1080;21;824;1080.0;0;1.0;True;2
1080;21;2764;1080.0;0;1.0;True;3
1080;21;479;1080.0;0;1.0;True;4
1080;21;727;1080.0;0;1.0;True;5
1080;21;3618;1080.0;0;1.0;True;6
1080;21;501;1080.0;0;1.0;True;7
1080;21;1180;1080.0;0;1.0;True;8
1080;21;483;1080.0;0;1.0;True;9
7;22;292;7.0;0;1.0;True;0
7;22;303;7.0;0;1.0;True;1
7;22;303;7.0;0;1.0;True;2
7;22;287;7.0;0;1.0;True;3
7;22;327;7.0;0;1.0;True;4
7;22;270;7.0;0;1.0;True;5
7;22;375;7.0;0;1.0;True;6
7;22;331;7.0;0;1.0;True;7
7;22;370;7.0;0;1.0;True;8
7;22;236;7.0;0;1.0;True;9
5;23;258;5.0;0;1.0;True;0
5;23;279;5.0;0;1.0;True;1
5.0;23;285;5.0;0;1.0;True;2
5;23;258;5.0;0;1.0;True;3
5.0;23;287;5.0;0;1.0;True;4
5;23;275;5.0;0;1.0;True;5
5.0;23;191;5.0;0;1.0;True;6
5;23;285;5.0;0;1.0;True;7
5;23;306;5.0;0;1.0;True;8
5;23;266;5.0;0;1.0;True;9
62;24;157;62.0;0;1.0;True;0
62;24;186;62.0;0;1.0;True;1
62;24;145;62.0;0;1.0;True;2
62;24;157;62.0;0;1.0;True;3
62;24;152;62.0;0;1.0;True;4
62;24;147;62.0;0;1.0;True;5
62;24;178;62.0;0;1.0;True;6
62;24;160;62.0;0;1.0;True;7
62.0;24;143;62.0;0;1.0;True;8
62;24;148;62.0;0;1.0;True;9
110;25;330;110.0;0;1.0;True;0
110;25;337;110.0;0;1.0;True;1
110;25;329;110.0;0;1.0;True;2
110;25;351;110.0;0;1.0;True;3
110;25;348;110.0;0;1.0;True;4
110;25;325;110.0;0;1.0;True;5
110;25;298;110.0;0;1.0;True;6
110;25;296;110.0;0;1.0;True;7
110;25;305;110.0;0;1.0;True;8
110;25;349;110.0;0;1.0;True;9
400;26;229;400.0;0;1.0;True;0
400;26;221;400.0;0;1.0;True;1
400;26;235;400.0;0;1.0;True;2
400;26;285;400.0;0;1.0;True;3
400;26;253;400.0;0;1.0;True;4
400;26;230;400.0;0;1.0;True;5
400;26;228;400.0;0;1.0;True;6
400;26;285;400.0;0;1.0;True;7
400;26;285;400.0;0;1.0;True;8
400;26;254;400.0;0;1.0;True;9
400;27;364;400.0;0;1.0;True;0
400;27;279;400.0;0;1.0;True;1
