extracted_number;id;answer_token_len;correct_answer;reasoning_token_len;frequency_of_answer;is_correct;iter
72;0;94;72.0;0;1.0;True;0
72;0;97;72.0;0;1.0;True;1
72;0;126;72.0;0;1.0;True;2
72;0;141;72.0;0;1.0;True;3
72;0;99;72.0;0;1.0;True;4
72;0;145;72.0;0;1.0;True;5
72;0;101;72.0;0;1.0;True;6
72;0;108;72.0;0;1.0;True;7
72;0;107;72.0;0;1.0;True;8
72;0;100;72.0;0;1.0;True;9
10;1;168;10.0;0;1.0;True;0
10;1;191;10.0;0;1.0;True;1
10;1;205;10.0;0;1.0;True;2
10;1;202;10.0;0;1.0;True;3
10;1;206;10.0;0;1.0;True;4
10;1;206;10.0;0;1.0;True;5
10;1;191;10.0;0;1.0;True;6
10.0;1;78;10.0;0;1.0;True;7
10.0;1;116;10.0;0;1.0;True;8
10;1;184;10.0;0;1.0;True;9
5;2;229;5.0;0;1.0;True;0
5;2;192;5.0;0;1.0;True;1
5;2;193;5.0;0;1.0;True;2
5;2;164;5.0;0;1.0;True;3
5;2;191;5.0;0;1.0;True;4
5;2;159;5.0;0;1.0;True;5
5;2;184;5.0;0;1.0;True;6
5;2;199;5.0;0;1.0;True;7
5;2;201;5.0;0;1.0;True;8
5;2;194;5.0;0;1.0;True;9
42;3;134;42.0;0;1.0;True;0
42;3;170;42.0;0;1.0;True;1
42;3;149;42.0;0;1.0;True;2
42;3;157;42.0;0;1.0;True;3
42;3;150;42.0;0;1.0;True;4
42;3;233;42.0;0;1.0;True;5
42;3;128;42.0;0;1.0;True;6
42;3;151;42.0;0;1.0;True;7
42;3;144;42.0;0;1.0;True;8
42;3;135;42.0;0;1.0;True;9
624;4;149;624.0;0;0.9;True;0
624;4;168;624.0;0;0.9;True;1
624;4;154;624.0;0;0.9;True;2
624;4;144;624.0;0;0.9;True;3
624;4;259;624.0;0;0.9;True;4
624;4;194;624.0;0;0.9;True;5
624;4;117;624.0;0;0.9;True;6
624;4;161;624.0;0;0.9;True;7
624;4;190;624.0;0;0.9;True;8
312;4;100;624.0;0;0.1;False;9
35;5;215;35.0;0;1.0;True;0
35;5;370;35.0;0;1.0;True;1
35;5;236;35.0;0;1.0;True;2
35;5;355;35.0;0;1.0;True;3
35;5;303;35.0;0;1.0;True;4
35;5;247;35.0;0;1.0;True;5
35;5;265;35.0;0;1.0;True;6
35;5;204;35.0;0;1.0;True;7
35;5;266;35.0;0;1.0;True;8
35;5;357;35.0;0;1.0;True;9
48;6;186;48.0;0;1.0;True;0
48;6;141;48.0;0;1.0;True;1
48;6;179;48.0;0;1.0;True;2
48;6;168;48.0;0;1.0;True;3
48;6;204;48.0;0;1.0;True;4
48;6;183;48.0;0;1.0;True;5
48;6;173;48.0;0;1.0;True;6
48;6;181;48.0;0;1.0;True;7
48;6;135;48.0;0;1.0;True;8
48;6;186;48.0;0;1.0;True;9
16;7;391;16.0;0;1.0;True;0
16;7;387;16.0;0;1.0;True;1
16;7;521;16.0;0;1.0;True;2
16;7;592;16.0;0;1.0;True;3
16;7;419;16.0;0;1.0;True;4
16;7;407;16.0;0;1.0;True;5
16;7;319;16.0;0;1.0;True;6
16;7;422;16.0;0;1.0;True;7
16;7;584;16.0;0;1.0;True;8
16;7;337;16.0;0;1.0;True;9
41.0;8;139;41.0;0;1.0;True;0
41.0;8;197;41.0;0;1.0;True;1
41.0;8;141;41.0;0;1.0;True;2
41.0;8;163;41.0;0;1.0;True;3
41.0;8;131;41.0;0;1.0;True;4
41.0;8;159;41.0;0;1.0;True;5
41.0;8;175;41.0;0;1.0;True;6
41.0;8;127;41.0;0;1.0;True;7
41.0;8;161;41.0;0;1.0;True;8
41.0;8;127;41.0;0;1.0;True;9
990.0;9;282;990.0;0;1.0;True;0
990.0;9;274;990.0;0;1.0;True;1
990.0;9;291;990.0;0;1.0;True;2
990.0;9;327;990.0;0;1.0;True;3
990.0;9;215;990.0;0;1.0;True;4
990.0;9;295;990.0;0;1.0;True;5
990.0;9;272;990.0;0;1.0;True;6
990.0;9;440;990.0;0;1.0;True;7
990.0;9;318;990.0;0;1.0;True;8
990.0;9;266;990.0;0;1.0;True;9
121;10;382;121.0;0;1.0;True;0
121;10;385;121.0;0;1.0;True;1
121;10;367;121.0;0;1.0;True;2
121;10;415;121.0;0;1.0;True;3
121;10;325;121.0;0;1.0;True;4
121;10;300;121.0;0;1.0;True;5
121;10;388;121.0;0;1.0;True;6
121;10;261;121.0;0;1.0;True;7
121;10;398;121.0;0;1.0;True;8
121;10;436;121.0;0;1.0;True;9
5;11;592;5.0;0;1.0;True;0
5;11;286;5.0;0;1.0;True;1
5;11;460;5.0;0;1.0;True;2
5;11;348;5.0;0;1.0;True;3
5;11;305;5.0;0;1.0;True;4
5;11;321;5.0;0;1.0;True;5
5;11;348;5.0;0;1.0;True;6
5;11;259;5.0;0;1.0;True;7
5;11;285;5.0;0;1.0;True;8
5;11;309;5.0;0;1.0;True;9
85;12;206;85.0;0;1.0;True;0
85;12;125;85.0;0;1.0;True;1
85;12;102;85.0;0;1.0;True;2
85;12;112;85.0;0;1.0;True;3
85;12;227;85.0;0;1.0;True;4
85;12;121;85.0;0;1.0;True;5
85;12;103;85.0;0;1.0;True;6
85;12;234;85.0;0;1.0;True;7
85;12;119;85.0;0;1.0;True;8
85;12;239;85.0;0;1.0;True;9
35.0;13;119;35.0;0;0.9;True;0
35.0;13;141;35.0;0;0.9;True;1
35.0;13;96;35.0;0;0.9;True;2
35.0;13;123;35.0;0;0.9;True;3
35.0;13;131;35.0;0;0.9;True;4
35.0;13;121;35.0;0;0.9;True;5
35.0;13;121;35.0;0;0.9;True;6
35;13;153;35.0;0;0.9;True;7
35.0;13;141;35.0;0;0.9;True;8
45.0;13;190;35.0;0;0.1;False;9
5;14;289;5.0;0;1.0;True;0
5;14;147;5.0;0;1.0;True;1
5;14;259;5.0;0;1.0;True;2
5;14;188;5.0;0;1.0;True;3
5;14;171;5.0;0;1.0;True;4
5;14;258;5.0;0;1.0;True;5
5;14;199;5.0;0;1.0;True;6
5;14;246;5.0;0;1.0;True;7
5;14;253;5.0;0;1.0;True;8
5;14;279;5.0;0;1.0;True;9
448000;15;341;448000.0;0;1.0;True;0
448000;15;372;448000.0;0;1.0;True;1
448000.0;15;336;448000.0;0;1.0;True;2
448000;15;358;448000.0;0;1.0;True;3
448000;15;358;448000.0;0;1.0;True;4
448000;15;349;448000.0;0;1.0;True;5
448000;15;346;448000.0;0;1.0;True;6
448000;15;320;448000.0;0;1.0;True;7
448000;15;318;448000.0;0;1.0;True;8
448000;15;355;448000.0;0;1.0;True;9
800;16;300;800.0;0;1.0;True;0
800;16;154;800.0;0;1.0;True;1
800;16;268;800.0;0;1.0;True;2
800;16;153;800.0;0;1.0;True;3
800;16;324;800.0;0;1.0;True;4
800;16;154;800.0;0;1.0;True;5
800;16;268;800.0;0;1.0;True;6
800;16;148;800.0;0;1.0;True;7
800;16;148;800.0;0;1.0;True;8
800;16;254;800.0;0;1.0;True;9
43;17;375;43.0;0;1.0;True;0
43;17;307;43.0;0;1.0;True;1
43;17;321;43.0;0;1.0;True;2
43;17;619;43.0;0;1.0;True;3
43;17;384;43.0;0;1.0;True;4
43;17;296;43.0;0;1.0;True;5
43;17;532;43.0;0;1.0;True;6
43;17;320;43.0;0;1.0;True;7
43;17;528;43.0;0;1.0;True;8
43;17;409;43.0;0;1.0;True;9
16;18;141;16.0;0;1.0;True;0
16;18;308;16.0;0;1.0;True;1
16;18;411;16.0;0;1.0;True;2
16;18;290;16.0;0;1.0;True;3
16;18;218;16.0;0;1.0;True;4
16;18;308;16.0;0;1.0;True;5
16;18;420;16.0;0;1.0;True;6
16;18;380;16.0;0;1.0;True;7
16;18;244;16.0;0;1.0;True;8
16;18;272;16.0;0;1.0;True;9
16;19;213;16.0;0;1.0;True;0
16;19;178;16.0;0;1.0;True;1
16;19;214;16.0;0;1.0;True;2
16;19;191;16.0;0;1.0;True;3
16;19;266;16.0;0;1.0;True;4
16;19;207;16.0;0;1.0;True;5
16;19;224;16.0;0;1.0;True;6
16;19;203;16.0;0;1.0;True;7
16;19;220;16.0;0;1.0;True;8
16;19;272;16.0;0;1.0;True;9
38;20;116;38.0;0;1.0;True;0
38;20;130;38.0;0;1.0;True;1
38;20;180;38.0;0;1.0;True;2
38;20;165;38.0;0;1.0;True;3
38;20;203;38.0;0;1.0;True;4
38;20;235;38.0;0;1.0;True;5
38;20;232;38.0;0;1.0;True;6
38;20;227;38.0;0;1.0;True;7
38;20;191;38.0;0;1.0;True;8
38;20;196;38.0;0;1.0;True;9
1080;21;534;1080.0;0;1.0;True;0
1080;21;182;1080.0;0;1.0;True;1
1080;21;268;1080.0;0;1.0;True;2
1080;21;158;1080.0;0;1.0;True;3
1080;21;166;1080.0;0;1.0;True;4
1080;21;198;1080.0;0;1.0;True;5
1080;21;403;1080.0;0;1.0;True;6
1080;21;113;1080.0;0;1.0;True;7
1080;21;540;1080.0;0;1.0;True;8
1080;21;97;1080.0;0;1.0;True;9
7;22;291;7.0;0;1.0;True;0
7;22;261;7.0;0;1.0;True;1
7;22;216;7.0;0;1.0;True;2
7;22;288;7.0;0;1.0;True;3
7;22;270;7.0;0;1.0;True;4
7;22;160;7.0;0;1.0;True;5
7;22;195;7.0;0;1.0;True;6
7;22;305;7.0;0;1.0;True;7
7;22;287;7.0;0;1.0;True;8
7;22;287;7.0;0;1.0;True;9
5;23;242;5.0;0;1.0;True;0
5;23;221;5.0;0;1.0;True;1
5;23;274;5.0;0;1.0;True;2
5;23;218;5.0;0;1.0;True;3
5;23;164;5.0;0;1.0;True;4
5;23;221;5.0;0;1.0;True;5
5.0;23;132;5.0;0;1.0;True;6
5;23;238;5.0;0;1.0;True;7
5;23;241;5.0;0;1.0;True;8
5;23;379;5.0;0;1.0;True;9
62;24;115;62.0;0;1.0;True;0
62;24;109;62.0;0;1.0;True;1
62;24;109;62.0;0;1.0;True;2
62;24;112;62.0;0;1.0;True;3
62;24;126;62.0;0;1.0;True;4
62;24;106;62.0;0;1.0;True;5
62;24;130;62.0;0;1.0;True;6
62;24;110;62.0;0;1.0;True;7
62;24;116;62.0;0;1.0;True;8
62;24;112;62.0;0;1.0;True;9
