id;iter;estimations;token_probs
0;0;0.9997388095901948;[0.985669465604837, 0.0002575146720165116]
0;1;0.9998601779910157;[0.8174135848951061, 0.00011430839244017209]
0;2;0.9996646499868481;[0.9964893757670926, 0.0003342848276906194]
0;3;0.9997965730670262;[0.9888024004190921, 0.0002011899670923612]
0;4;0.9859363744547287;[0.9680878437774321, 0.013809029956263225]
0;5;0.9994472213527859;[0.970120982260014, 0.0005365587624346632]
0;6;0.9999945777804745;[0.9859301236118184, 5.3459585539825904e-06]
0;7;0.9999980052710364;[0.9525713371733107, 1.9001254263634205e-06]
0;8;0.9990889486413557;[0.9982765863408276, 0.0009103105799793654]
0;9;0.9999646437597949;[0.9398703600445771, 3.32314571508038e-05]
1;0;0.9999991684722572;[0.851951630482638, 7.084220052382412e-07]
1;1;0.9933071478869498;[0.8742910972364021, 0.005890928128331097]
1;2;0.9999251537680285;[0.9625135704576333, 7.204590633476861e-05]
1;3;0.9968273166391214;[0.9368112584117771, 0.002981665371960059]
1;4;0.9999898700076606;[0.8807865995258696, 8.922451890210686e-06]
1;5;0.999999428499409;[0.9959291913229404, 5.691744467263424e-07]
1;6;0.9980732654548754;[0.9749630029269833, 0.0018821212459804873]
1;7;0.9999599363197103;[0.9706376771390054, 3.888887560558767e-05]
1;8;0.9999999468421827;[0.8519526714788971, 4.5287946816578874e-08]
1;9;0.9999989322974958;[0.851951630482638, 9.096318604667981e-07]
2;0;0.9999989322970857;[0.9933057374231793, 1.0605565629908365e-06]
2;1;0.9998766054635415;[0.9912932520820925, 0.0001223352668387353]
2;2;0.9998204720092556;[0.9911954479461397, 0.00017797927946714158]
2;3;0.9992903296299598;[0.9791714688433444, 0.0006953824709623653]
2;4;0.9982992772786442;[0.9674862582785746, 0.0016482290426367656]
2;5;0.9975273769536267;[0.87845008741161, 0.002177459968924233]
2;6;0.999954602116923;[0.9706306008345623, 4.4066575056872077e-05]
2;7;0.9994472213404371;[0.9810646499605976, 0.0005426115462330023]
2;8;0.9959298625257156;[0.9355120072130065, 0.0038232235235364184]
2;9;0.9999970976872579;[0.9046478772427954, 2.6255786814369364e-06]
3;0;0.9999646437426729;[0.9706455381529209, 3.431960683321288e-05]
3;1;0.999997739675799;[0.9914196647265048, 2.240934926837083e-06]
3;2;0.9999546021252095;[0.9524990832235911, 4.324339727657336e-05]
3;3;0.999954602113879;[0.9706212791387232, 4.406615480726755e-05]
3;4;0.9999982396570949;[0.9525684166760694, 1.6768500057747406e-06]
3;5;0.9999810748468542;[0.970659352936271, 1.8370224566046353e-05]
3;6;0.99966465001003;[0.9702879535739524, 0.00032549521031457313]
3;7;0.999999996149257;[0.9980732443617326, 3.8433235784498595e-09]
3;8;0.9999038976260256;[0.8806921851846801, 8.464474429780706e-05]
3;9;0.9999980052712194;[0.9959270626407933, 1.986608337958353e-06]
4;0;0.9999998874648459;[0.99330679572448, 1.1178194594675025e-07]
4;1;0.9959298629183345;[0.9362319128259793, 0.0038261652424655427]
4;2;0.999769493247959;[0.9972903439477755, 0.0002299351596319504]
4;3;0.9997388097948992;[0.9985642809947045, 0.000260883349535057]
4;4;0.9999970976878904;[0.9914157978216626, 2.877406426746735e-06]
4;5;0.9933071495369807;[0.9928484116669989, 0.006689759511779269]
4;6;0.9999974387190057;[0.9770180962396352, 2.5024242903177045e-06]
4;7;0.9890130579867247;[0.9877913920063489, 0.010973370530899453]
4;8;0.9998911031272912;[0.85186226188752, 9.277523923156653e-05]
4;9;0.9995121429825761;[0.9972944938303897, 0.0004867745936548467]
5;0;0.9999967112505302;[0.9626686512293798, 3.165986428421556e-06]
5;1;0.9999980052694462;[0.6791775427506548, 1.3547788983927385e-06]
5;2;0.9994472214531193;[0.9933992529635348, 0.0005494335105831872]
5;3;0.9986749772672954;[0.980708518964407, 0.0013011851817301236]
5;4;0.9986749774811148;[0.9938998307984807, 0.0013186869472245992]
5;5;0.9999989322971665;[0.9994461029641125, 1.0671125753631979e-06]
5;6;0.9999251538037153;[0.9577380217459468, 7.168841356996728e-05]
