id;iter;estimations
(7, 2);0;0.00024531076210265143
(7, 2);1;0.0006004086991296439
(7, 2);2;5.258281493986206e-31
(7, 2);3;4.328656839333899e-05
(7, 2);4;5.490999556625037e-18
(7, 2);5;9.735360439672188e-13
(7, 2);6;5.127402270336704e-06
(7, 2);7;3.4247927938793538e-09
(7, 2);8;7.572790962025954e-05
(7, 2);9;0.0004286159057160438
(7, 3);0;0.004393792883045151
(7, 3);1;1.1985303260371545e-05
(7, 3);2;2.5175649678800305e-09
(7, 3);3;1.0951996702618788e-07
(7, 3);4;3.1651276586175604e-11
(7, 3);5;5.244945568174989e-07
(7, 3);6;0.005896960828256122
(7, 3);7;1.7219806044506045e-08
(7, 3);8;0.0006012853746268322
(7, 3);9;4.909911283643818e-09
(8, 0);0;0.0014875883055496867
(8, 0);1;3.3524242366464545e-07
(8, 0);2;8.154480163265064e-05
(8, 0);3;4.859080704720727e-16
(8, 0);4;8.678382770623527e-08
(8, 0);5;0.00032365563879819333
(8, 0);6;1.0188710159174147e-06
(8, 0);7;0.0189550219313392
(8, 0);8;0.0011026707084016078
(8, 0);9;0.005660119026853115
(8, 1);0;0.00030274991766971815
(8, 1);1;0.003900092484540936
(8, 1);2;0.007339954935288075
(8, 1);3;1.467830883564678e-06
(8, 1);4;5.103600818920874e-05
(8, 1);5;4.2875710372641446e-07
(8, 1);6;0.006757448582830661
(8, 1);7;9.714661279883464e-07
(8, 1);8;2.1331701878315402e-14
(8, 1);9;4.870672219833251e-07
(8, 2);0;0.0006470713785071975
(8, 2);1;0.021389324883803042
(8, 2);2;0.13465737471479355
(8, 2);3;0.0030775288442859354
(8, 2);4;0.0002454089884516121
(8, 2);5;1.0974683799706278e-06
(8, 2);6;0.00017112972479494773
(8, 2);7;6.875355528994428e-11
(8, 2);8;0.00010842679723991904
(8, 2);9;4.182394397083555e-06
(8, 3);0;0.017540777966540407
(8, 3);1;0.05231743228455566
(8, 3);2;0.0011279779993074368
(8, 3);3;0.0069875114804888285
(8, 3);4;0.0011339819857225564
(8, 3);5;0.3983259806545508
(8, 3);6;6.060490115919954e-13
(8, 3);7;0.009858001283557702
(8, 3);8;5.980464234551489e-08
(8, 3);9;0.0018104244595129877
(9, 0);0;0.000772705828209787
(9, 0);1;4.800379869768335e-10
(9, 0);2;1.7870014343831055e-12
(9, 0);3;0.0038458908727617537
(9, 0);4;0.011978697731493172
(9, 0);5;0.01736627438344295
(9, 0);6;8.789795177153176e-09
(9, 0);7;0.010928778702833028
(9, 0);8;5.350019149758675e-06
(9, 0);9;1.2565183730515717e-16
(9, 1);0;2.718132651776901e-07
(9, 1);1;0.11316069627077993
(9, 1);2;7.228469803173592e-06
(9, 1);3;0.06314485225926193
(9, 1);4;0.0008031324874930854
(9, 1);5;0.006657417780591421
(9, 1);6;0.030448993029842056
(9, 1);7;0.0002010864187851817
(9, 1);8;0.005971749333424757
(9, 1);9;0.0001495843832591984
(9, 2);0;0.0020586891288874778
(9, 2);1;0.010476388917004417
(9, 2);2;9.57218257226776e-05
(9, 2);3;0.08836950315860401
(9, 2);4;0.0013827342877288163
(9, 2);5;0.0008374230170605781
(9, 2);6;0.000851033943583271
(9, 2);7;4.506100319901518e-06
