id;iter;estimations
(0, 0);0;0.9
(0, 0);1;0.95
(0, 0);2;0.9
(0, 0);3;0.95
(0, 0);4;0.9
(0, 0);5;0.95
(0, 0);6;0.95
(0, 0);7;0.95
(0, 0);8;0.95
(0, 0);9;0.95
(0, 1);0;0.95
(0, 1);1;0.9
(0, 1);2;0.95
(0, 1);3;0.95
(0, 1);4;0.95
(0, 1);5;0.95
(0, 1);6;0.95
(0, 1);7;0.95
(0, 1);8;0.95
(0, 1);9;0.95
(0, 2);0;0.95
(0, 2);1;0.95
(0, 2);2;0.95
(0, 2);3;0.95
(0, 2);4;0.95
(0, 2);5;0.99
(0, 2);6;0.95
(0, 2);7;0.95
(0, 2);8;0.95
(0, 2);9;0.9
(0, 3);0;0.98
(0, 3);1;0.95
(0, 3);2;0.85
(0, 3);3;0.9
(0, 3);4;0.95
(0, 3);5;0.95
(0, 3);6;0.95
(0, 3);7;0.95
(0, 3);8;0.95
(0, 3);9;0.8
(1, 0);0;0.95
(1, 0);1;0.95
(1, 0);2;0.95
(1, 0);3;0.9
(1, 0);5;0.9
(1, 0);7;0.9
(1, 0);8;0.9
(1, 0);9;0.9
(1, 1);4;0.9
(1, 1);7;1.0
(1, 1);9;0.95
(1, 2);0;0.95
(1, 2);1;0.8
(1, 2);2;0.95
(1, 2);3;0.9
(1, 2);4;0.8
(1, 2);5;0.95
(1, 2);6;0.9
(1, 2);7;0.95
(1, 2);8;0.95
(1, 3);1;0.85
(1, 3);2;0.9
(1, 3);3;0.95
(1, 3);6;0.95
(1, 3);9;0.9
(2, 0);0;0.95
(2, 0);1;0.95
(2, 0);2;0.95
(2, 0);3;0.95
(2, 0);4;0.9
(2, 0);5;0.95
(2, 0);6;0.95
(2, 0);7;0.95
(2, 0);8;0.95
(2, 0);9;0.95
(2, 1);0;0.95
(2, 1);1;0.95
(2, 1);2;0.85
(2, 1);3;0.9
(2, 1);4;0.9
(2, 1);5;0.9
(2, 1);6;0.9
(2, 1);7;0.9
(2, 1);8;0.9
(2, 1);9;0.95
(2, 2);0;0.95
(2, 2);1;0.9
(2, 2);2;0.95
(2, 2);3;0.9
(2, 2);4;0.95
(2, 2);5;0.9
(2, 2);6;0.95
(2, 2);7;0.95
(2, 2);8;0.95
(2, 2);9;0.95
(2, 3);0;0.9
(2, 3);1;0.9
