estimations;id;iter
5.622238693386789e-40;(0, 0);0
7.937251071524695e-35;(0, 0);1
4.1880785419213784e-29;(0, 0);2
3.2243603572712397e-35;(0, 0);3
1.415172797061833e-29;(0, 0);4
1.4528241280222792e-24;(0, 0);5
8.93894239276016e-33;(0, 0);6
7.480253321713653e-51;(0, 0);7
1.7728943019470668e-29;(0, 0);8
8.870769866664596e-23;(0, 0);9
3.264275747456201e-32;(0, 1);0
3.3221505007009494e-97;(0, 1);1
2.1952051621953316e-30;(0, 1);2
3.2128153884721187e-66;(0, 1);3
2.527108469438154e-35;(0, 1);4
9.950878793146817e-38;(0, 1);5
1.7539118130347476e-20;(0, 1);6
1.625870744087912e-29;(0, 1);7
4.453068299874122e-41;(0, 1);8
2.1584595707501195e-40;(0, 1);9
9.804065130933077e-37;(0, 2);0
1.6362979682996634e-41;(0, 2);1
1.1290077426352782e-56;(0, 2);2
4.138615607597625e-49;(0, 2);3
3.5737267163296687e-43;(0, 2);4
4.801214028800179e-38;(0, 2);5
1.5008682793381277e-54;(0, 2);6
6.2668230990812876e-83;(0, 2);7
1.59104471085484e-32;(0, 2);8
1.3336752252774447e-33;(0, 2);9
8.183787582203977e-39;(0, 3);0
2.0564014318276347e-32;(0, 3);1
2.568158667891882e-21;(0, 3);2
9.07961946486514e-44;(0, 3);3
1.088971909083229e-26;(0, 3);4
6.943750379012005e-29;(0, 3);5
7.083079736265851e-25;(0, 3);6
4.689746058921565e-25;(0, 3);7
1.4815258964603703e-66;(0, 3);8
4.374028059327031e-80;(0, 3);9
8.872746817880135e-114;(1, 0);0
8.183701228946707e-94;(1, 0);1
7.843561647530182e-67;(1, 0);2
3.3370037301075136e-87;(1, 0);3
5.12141733738957e-69;(1, 0);4
9.020149086536241e-148;(1, 0);5
7.507781569987443e-99;(1, 0);6
3.0304363460145315e-67;(1, 0);7
1.196961663763683e-83;(1, 0);8
1.2275231641412707e-122;(1, 0);9
6.791277931671148e-42;(3, 3);0
5.8798350380606147e-36;(3, 3);1
5.274722412866446e-72;(3, 3);2
1.773548543947561e-41;(3, 3);3
1.8315493046799179e-40;(3, 3);4
5.871496242472023e-42;(3, 3);5
2.0366433271916e-61;(3, 3);6
6.350471854876502e-47;(3, 3);7
3.5138168197424545e-57;(3, 3);8
3.215397917025068e-33;(3, 3);9
1.3086778673704054e-91;(4, 0);0
4.5604970928511356e-42;(4, 0);1
1.2415694843956362e-74;(4, 0);2
1.7521476303902046e-53;(4, 0);3
3.176371820336898e-73;(4, 0);4
4.9525183624784205e-54;(4, 0);5
1.8321272968581215e-29;(4, 0);6
6.116414895004987e-63;(4, 0);7
1.688355212757143e-39;(4, 0);8
3.1452126755070253e-06;(4, 0);9
1.4048886313320052e-53;(4, 1);0
2.9426849892106034e-47;(4, 1);1
5.843826325092971e-46;(4, 1);2
1.9613083597981097e-33;(4, 1);3
1.2752765718159392e-43;(4, 1);4
1.6244202614533437e-36;(4, 1);5
8.668789384998965e-40;(4, 1);6
3.4187754847244906e-29;(4, 1);7
7.105362723689739e-71;(4, 1);8
1.92507825053725e-111;(4, 1);9
1.0568074578857613e-49;(4, 2);0
1.3975550104291633e-67;(4, 2);1
9.401889422104229e-70;(4, 2);2
1.4839643992424048e-77;(4, 2);3
5.061486100981245e-109;(4, 2);4
7.536497313770033e-62;(4, 2);5
1.1123902479132932e-50;(4, 2);6
1.0203748836566483e-50;(4, 2);7
3.116958586832727e-75;(4, 2);8
1.352751228509991e-46;(4, 2);9
4.651948933960917e-116;(4, 3);0
9.870199278665114e-101;(4, 3);1
1.5170747545346246e-43;(4, 3);2
6.011166806556429e-66;(4, 3);3
9.27845128251634e-72;(4, 3);4
2.159999201669857e-46;(4, 3);5
2.573980643432018e-37;(4, 3);6
3.482614347953263e-80;(4, 3);7
4.510046416049384e-68;(4, 3);8
1.4164806687423926e-95;(4, 3);9
4.710393134470165e-40;(2, 2);0
2.5801005541496267e-29;(2, 2);1
7.825703038650203e-113;(2, 2);2
2.895471730678226e-61;(2, 2);3
4.1718360489659762e-47;(2, 2);4
5.3638424303498145e-09;(2, 2);5
5.146112437588355e-34;(2, 2);6
5.066865086867366e-61;(2, 2);7
3.167965893178436e-109;(2, 2);8
1.014328937019916e-52;(2, 2);9
1.785847248519249e-42;(2, 3);0
