estimations;id;iter
1.4840739818797012e-12;(0, 0);0
5.896030253089627e-23;(0, 0);1
9.967867671519389e-11;(0, 0);2
2.2025240267163728e-14;(0, 0);3
3.5751823738883816e-27;(0, 0);4
1.0255073979694636e-20;(0, 0);5
1.485427491433729e-14;(0, 0);6
4.008434802292335e-24;(0, 0);7
2.729814621983958e-26;(0, 0);8
2.3728464580529885e-24;(0, 0);9
4.138870587613295e-17;(0, 1);0
1.7198820561332367e-13;(0, 1);1
6.999220740688976e-22;(0, 1);2
2.4864810565556384e-15;(0, 1);3
2.923779573062263e-30;(0, 1);4
2.2295120075573933e-12;(0, 1);5
3.1219839104194205e-17;(0, 1);6
2.0427542001182338e-13;(0, 1);7
1.1052822574230848e-39;(0, 1);8
2.685950968822371e-19;(0, 1);9
4.882524517234997e-24;(0, 2);0
9.374969105966938e-18;(0, 2);1
3.325856085714371e-28;(0, 2);2
7.046097286352662e-22;(0, 2);3
2.200888425160016e-28;(0, 2);4
3.71464713484379e-33;(0, 2);5
1.3066189669497366e-14;(0, 2);6
3.827863397684671e-17;(0, 2);7
5.4004731339704144e-15;(0, 2);8
4.2605462409103673e-13;(0, 2);9
1.3442720957825974e-27;(0, 3);0
2.038278160332111e-17;(0, 3);1
4.553978610291028e-25;(0, 3);2
1.075103642422268e-20;(0, 3);3
1.69803289559018e-23;(0, 3);4
2.556196691204921e-16;(0, 3);5
2.8049285504548713e-33;(0, 3);6
6.319072856017787e-18;(0, 3);7
8.306316647214443e-27;(0, 3);8
9.369130659296933e-22;(0, 3);9
1.3841730630667914e-31;(1, 0);0
3.040448457563884e-58;(1, 0);1
1.2672827757998777e-98;(1, 0);2
4.328756604650483e-35;(1, 0);3
4.0884615287602606e-20;(1, 0);4
2.3508665829989285e-88;(1, 0);5
3.6330421656540844e-58;(1, 0);6
4.0273378438110425e-25;(1, 0);7
2.070383243208826e-18;(1, 0);8
2.939550451167777e-32;(1, 0);9
1.5520354478871284e-14;(5, 0);0
9.822133704814629e-46;(5, 0);1
1.7290719108562048e-14;(5, 0);2
8.380503747946747e-30;(5, 0);3
5.595767372143765e-61;(5, 0);4
1.0064010977914414e-26;(5, 0);5
3.832846645633686e-26;(5, 0);6
2.6782229468452858e-11;(5, 0);7
2.4915648168045637e-24;(5, 0);8
6.737859014583367e-24;(5, 0);9
1.867478056520272e-64;(5, 1);0
2.049721751241055e-59;(5, 1);1
1.4313270479331752e-25;(5, 1);2
1.4430098764539596e-25;(5, 1);3
5.149280396760781e-30;(5, 1);4
4.7534252803711555e-34;(5, 1);5
2.5855767101975693e-38;(5, 1);6
4.644458184580116e-41;(5, 1);7
5.897866845409628e-28;(5, 1);8
2.9644350608741336e-28;(5, 1);9
8.617342160269723e-25;(5, 2);0
1.4880194296352494e-19;(5, 2);1
2.2275273829556696e-32;(5, 2);2
2.5451808966948533e-26;(5, 2);3
1.3029121747528862e-33;(5, 2);4
1.0522382998982515e-12;(5, 2);5
4.2213258285367216e-18;(5, 2);6
1.0134309726899274e-26;(5, 2);7
8.716178867101189e-24;(5, 2);8
1.5713487391030763e-20;(5, 2);9
9.34210803504202e-45;(5, 3);0
2.330167536113546e-19;(5, 3);1
6.317746439711616e-33;(5, 3);2
1.2899862163035422e-38;(5, 3);3
1.489073065154341e-46;(5, 3);4
1.0371952295129296e-36;(5, 3);5
8.344700148871463e-18;(5, 3);6
4.4468867832684386e-33;(5, 3);7
1.1290125899582596e-20;(5, 3);8
7.318157539013273e-43;(5, 3);9
7.618459356293166e-43;(6, 0);0
7.168208608161122e-24;(6, 0);1
4.2742543772707594e-18;(6, 0);2
1.4947534413799612e-27;(6, 0);3
2.1516262575967583e-18;(6, 0);4
8.260291426837664e-35;(6, 0);5
2.137558824718642e-18;(6, 0);6
7.187413848917161e-14;(6, 0);7
5.62017790570118e-11;(6, 0);8
1.5141673455494684e-37;(6, 0);9
9.338618703342114e-34;(3, 3);0
7.748564523929562e-23;(3, 3);1
7.126128543265772e-20;(3, 3);2
6.744680211891859e-29;(3, 3);3
2.4894082136200998e-27;(3, 3);4
5.551804124645746e-25;(3, 3);5
5.554479230928323e-27;(3, 3);6
7.270894277369785e-21;(3, 3);7
1.8538085999205554e-16;(3, 3);8
1.6492292363579227e-28;(3, 3);9
5.682472660869112e-13;(4, 0);0
4.9962929116773894e-17;(4, 0);1
4.674794520200242e-27;(4, 0);2
1.3041687570271513e-11;(4, 0);3
8.670023583430632e-13;(4, 0);4
3.4726151670194247e-12;(4, 0);5
3.787381504356548e-12;(4, 0);6
2.2513627716748538e-26;(4, 0);7
7.8235593083564e-18;(4, 0);8
6.867954592608775e-28;(4, 0);9
2.1370014172883716e-28;(4, 1);0
1.0507748614873414e-24;(4, 1);1
9.395497544728637e-38;(4, 1);2
1.5735430712810867e-40;(4, 1);3
1.0695319334632005e-22;(4, 1);4
2.764544426963516e-41;(4, 1);5
2.1866290550468932e-33;(4, 1);6
2.4618234388912895e-20;(4, 1);7
7.997219028897894e-30;(4, 1);8
7.068618216793327e-30;(4, 1);9
7.979368757080443e-23;(4, 2);0
9.325397141434755e-33;(4, 2);1
3.088139558059716e-17;(4, 2);2
3.027637964521742e-29;(4, 2);3
6.422198831494155e-15;(4, 2);4
8.408753835867251e-23;(4, 2);5
7.768274250164167e-11;(4, 2);6
3.2732996570219086e-19;(4, 2);7
4.099990641934072e-21;(4, 2);8
1.4139816400306314e-26;(4, 2);9
6.409189394627242e-13;(4, 3);0
3.4668659621277083e-23;(4, 3);1
1.4041335723668665e-25;(4, 3);2
1.1149310402998244e-20;(4, 3);3
1.1391325271349636e-26;(4, 3);4
2.5294163981821185e-13;(4, 3);5
5.5126852237600335e-27;(4, 3);6
1.2153122074652487e-20;(4, 3);7
1.2309096362123044e-23;(4, 3);8
1.0238831884348312e-23;(4, 3);9
5.918401912969856e-26;(6, 1);0
4.1389742492864723e-32;(6, 1);1
2.3566557006760974e-23;(6, 1);2
2.2252000666963594e-32;(6, 1);3
6.912741036694847e-20;(6, 1);4
1.0863297467828302e-22;(6, 1);5
9.045654875205863e-22;(6, 1);6
5.1221267953538096e-76;(6, 1);7
8.628835984590681e-19;(6, 1);8
1.4379793375688216e-33;(6, 1);9
4.005476411934743e-26;(6, 2);0
3.982366532440705e-25;(6, 2);1
5.305106210840295e-38;(6, 2);2
1.7151202240883803e-10;(6, 2);3
9.490970567284545e-26;(6, 2);4
6.74937930733941e-17;(6, 2);5
4.626787815730154e-22;(6, 2);6
8.629376029316728e-26;(6, 2);7
9.339374815357882e-36;(6, 2);8
1.073314736414852e-34;(6, 2);9
1.6340128427356185e-30;(6, 3);0
2.7315173769490594e-26;(6, 3);1
1.751033730947858e-19;(6, 3);2
4.428704990788814e-25;(6, 3);3
4.036805124181354e-30;(6, 3);4
1.41480804070233e-38;(6, 3);5
2.2968218794936892e-48;(6, 3);6
3.9599240240558324e-27;(6, 3);7
8.708787934443232e-25;(6, 3);8
1.2284475317630012e-27;(6, 3);9
1.58416419300996e-11;(7, 0);0
1.3602011405365443e-19;(7, 0);1
5.291358246842006e-22;(7, 0);2
5.028245350702567e-10;(7, 0);3
2.62825448995131e-12;(7, 0);4
9.318658227967727e-20;(7, 0);5
1.4750203499650975e-14;(7, 0);6
1.103637978528775e-14;(7, 0);7
4.761791579134063e-11;(7, 0);8
6.6361204352318454e-18;(7, 0);9
4.5593780061731745e-11;(7, 1);0
1.2902986308703155e-09;(7, 1);1
3.055415174768489e-14;(7, 1);2
5.815792997509957e-13;(7, 1);3
3.741396132341944e-26;(7, 1);4
3.689515713783758e-29;(7, 1);5
8.00013294270044e-27;(7, 1);6
5.907424894843501e-20;(7, 1);7
1.2253709372889403e-35;(7, 1);8
1.7687893160196347e-23;(7, 1);9
3.5628608002525336e-47;(1, 1);0
6.3709512704527785e-52;(1, 1);1
8.999789180550332e-47;(1, 1);2
1.745651305072848e-53;(1, 1);3
4.618248410701011e-42;(1, 1);4
1.1596654112579202e-33;(1, 1);5
4.191883480252089e-45;(1, 1);6
4.629998458938482e-42;(1, 1);7
8.562275421427652e-60;(1, 1);8
9.37061798518192e-127;(1, 1);9
4.756481084856421e-64;(1, 2);0
2.825372898960095e-60;(1, 2);1
