estimations;id;iter
4.797150171953618e-33;(1, 1);0
1.920168897903271e-43;(1, 1);1
6.163934499889973e-35;(1, 1);2
2.9168298452254584e-35;(1, 1);3
3.0652833654365153e-41;(1, 1);4
8.856438660894696e-44;(1, 1);5
6.837427589344255e-47;(1, 1);6
7.268326642202878e-33;(1, 1);7
4.451567527238886e-33;(1, 1);8
1.1197857938493985e-32;(1, 1);9
1.061671289992185e-42;(1, 2);0
1.4789136297024343e-39;(1, 2);1
2.163019007273217e-33;(1, 2);2
1.5622339368011385e-22;(1, 2);3
3.4206814618573787e-43;(1, 2);4
6.035469416326588e-42;(1, 2);5
3.5638250366468866e-18;(1, 2);6
8.225122431356813e-33;(1, 2);7
1.377901844897642e-35;(1, 2);8
3.374893462455197e-27;(1, 2);9
2.502847454350569e-21;(1, 3);0
6.566961132578599e-31;(1, 3);1
3.905255252400956e-43;(1, 3);2
2.2056719276997736e-59;(1, 3);3
1.6842250640508664e-22;(1, 3);4
5.6558431705950716e-21;(1, 3);5
4.6144848676413405e-23;(1, 3);6
3.4169198838668864e-34;(1, 3);7
8.701420265985785e-34;(1, 3);8
3.2475815355232423e-37;(1, 3);9
2.8099679023385244e-12;(2, 0);0
4.750344362246476e-15;(2, 0);1
5.312066001446326e-16;(2, 0);2
8.135097549121284e-07;(2, 0);3
7.311093267629256e-12;(2, 0);4
1.456413973593465e-22;(2, 0);5
1.3916486760140863e-08;(2, 0);6
2.40652448126151e-09;(2, 0);7
2.7773877090402514e-08;(2, 0);8
7.1227997159797474e-12;(2, 0);9
2.295437581820384e-10;(2, 1);0
2.2728503311801783e-15;(2, 1);1
1.9062608531120926e-14;(2, 1);2
5.794941168467871e-13;(2, 1);3
6.797260989215524e-23;(2, 1);4
6.67922049924586e-24;(2, 1);5
1.179929473245661e-16;(2, 1);6
3.847594620019099e-15;(2, 1);7
2.4431800311942912e-12;(2, 1);8
4.8522960568821963e-20;(2, 1);9
3.774548917201047e-14;(0, 0);0
1.1409520709642227e-09;(0, 0);1
7.831562684091797e-07;(0, 0);2
1.298259262521699e-07;(0, 0);3
2.7373539271235914e-20;(0, 0);4
7.89193776812392e-11;(0, 0);5
3.108712301664671e-11;(0, 0);6
3.261547958364271e-12;(0, 0);7
6.826087725814716e-11;(0, 0);8
3.341033725833465e-20;(0, 0);9
1.8379512543645664e-09;(0, 1);0
2.2948323380020742e-11;(0, 1);1
1.7465914925042292e-12;(0, 1);2
5.880119425919517e-09;(0, 1);3
6.286292055737636e-10;(0, 1);4
3.3234922248112866e-15;(0, 1);5
1.474651518121312e-12;(0, 1);6
3.9735983706246226e-10;(0, 1);7
1.99439033451634e-16;(0, 1);8
1.1104275844806837e-10;(0, 1);9
3.4641518147004096e-11;(0, 2);0
2.668059508207125e-12;(0, 2);1
2.7192046589158927e-10;(0, 2);2
5.962449861384631e-40;(0, 2);3
5.465895611239918e-09;(0, 2);4
6.78949045202128e-08;(0, 2);5
9.060291496775793e-30;(0, 2);6
2.446207113776376e-21;(0, 2);7
8.99844024016467e-28;(0, 2);8
4.2749926242368645e-17;(0, 2);9
2.356506675287213e-13;(0, 3);0
1.875113749363092e-09;(0, 3);1
2.6651418560633585e-18;(0, 3);2
1.5685258060477283e-13;(0, 3);3
5.446204120158631e-12;(0, 3);4
1.0725349857648252e-14;(0, 3);5
1.6364101697460905e-10;(0, 3);6
2.524254505870629e-10;(0, 3);7
2.328350952852364e-19;(0, 3);8
8.316225510334916e-12;(0, 3);9
7.577704702416306e-20;(1, 0);0
3.451001374785904e-24;(1, 0);1
3.3852726468065055e-43;(1, 0);2
1.3534940560793184e-23;(1, 0);3
9.721246241624505e-40;(1, 0);4
2.6265816295151342e-36;(1, 0);5
2.8136486537487996e-45;(1, 0);6
1.3213434241124275e-41;(1, 0);7
3.456552644177303e-35;(1, 0);8
6.568732516834089e-30;(1, 0);9
5.0889688995076565e-14;(5, 0);0
2.695338697261504e-16;(5, 0);1
4.1089571408669745e-13;(5, 0);2
4.8899078901208855e-12;(5, 0);3
1.7499562108038584e-20;(5, 0);4
2.3510634205876386e-13;(5, 0);5
5.680665737872006e-12;(5, 0);6
7.491289007204235e-12;(5, 0);7
9.594981165225413e-26;(5, 0);8
5.643204084315567e-13;(5, 0);9
1.6165034370099038e-12;(5, 1);0
4.013961554727639e-24;(5, 1);1
6.224299340395467e-15;(5, 1);2
3.0962166734284544e-38;(5, 1);3
1.0907084350615908e-17;(5, 1);4
1.835355967566426e-06;(5, 1);5
2.0491117941034436e-21;(5, 1);6
5.249864467801955e-19;(5, 1);7
5.927863932343881e-19;(5, 1);8
6.58768227347302e-10;(5, 1);9
5.811443802220161e-17;(5, 2);0
4.061836304917009e-09;(5, 2);1
9.944142269714057e-17;(5, 2);2
1.1406881005079911e-27;(5, 2);3
4.156913735457675e-15;(5, 2);4
3.88752821122831e-18;(5, 2);5
1.2200311093536716e-22;(5, 2);6
4.2774822480657786e-08;(5, 2);7
5.6969680537368296e-11;(5, 2);8
5.732722898879228e-10;(5, 2);9
3.4416686302971006e-11;(5, 3);0
1.4202431267756807e-10;(5, 3);1
7.154623306167873e-09;(5, 3);2
