id;iter;estimations;token_probs
0;0;0.49218813572079556;[0.40676098898211943, 0.41967296881011684]
0;1;0.7718434978390746;[0.37207028853288565, 0.10998376721101642]
0;2;0.3849121444839335;[0.09839043794075893, 0.1572274721479829]
0;3;0.3849121444839335;[0.15460176767891762, 0.24705292130523523]
0;4;0.2674081661882255;[0.004525343684588048, 0.012397638695100055]
0;5;0.6297746074044134;[0.10536312018239698, 0.06193978302077622]
0;6;0.2173375413247925;[0.07975904120446956, 0.28722330670603907]
0;7;0.7154239957834733;[0.5628727002770848, 0.22389529128388194]
0;8;0.20307458960492503;[0.016976077264556754, 0.0666192031571994]
0;9;0.7606506526772883;[0.44229576578707525, 0.13917453760425372]
1;0;0.8397339676722394;[0.13134394832720986, 0.025067431209214185]
1;1;0.34158249943831703;[0.04919857350054673, 0.09483273249857989]
1;2;0.9724147177732101;[0.39413482943840544, 0.011180744497947665]
1;3;0.6548947290421275;[0.2391152805765496, 0.12600489824408034]
1;4;0.7248702880639792;[0.41384161721139323, 0.15707655121940658]
1;5;0.6513548646660543;[0.2026023330086126, 0.10844521418747016]
1;6;0.9173026550642018;[0.6554023970347178, 0.05908631987502044]
1;7;0.42250463481418826;[0.09375120796847798, 0.12814270808219086]
1;8;0.523420348936324;[0.1830662863970727, 0.16668375058389948]
1;9;0.46879062662624366;[0.24543563513095198, 0.2781150102761123]
2;0;0.585101154203231;[0.10050207506362827, 0.0712666427754063]
2;1;0.727975472512658;[0.30071786198015993, 0.11237004185018658]
2;2;0.9241418199787564;[0.1879503487149853, 0.015427904115630867]
2;3;0.9059898203834277;[0.44443849457347256, 0.046117231963697464]
2;4;0.6757646271386136;[0.2038430654652686, 0.097804960014254]
2;5;0.6370307944803831;[0.45606817364817076, 0.2598598122511278]
2;6;0.8723473746782093;[0.3512770643255266, 0.05140319186840686]
2;7;0.7853085909370423;[0.5786706399155117, 0.1581997402047835]
2;8;0.7248702286282042;[0.0443399675411358, 0.016829557416521652]
2;9;0.6406358822844458;[0.18211980331054917, 0.1021599386563346]
3;0;0.7662936217370421;[0.4040923506470226, 0.1232412186067864]
3;1;0.5851011542032312;[0.3543756176830409, 0.25128994140411615]
3;2;0.69264200851309;[0.1607778806035085, 0.07134474353338723]
3;3;0.5312093733737563;[0.09695570051281809, 0.08556310539048162]
3;4;0.37754066879814546;[0.009971273115623144, 0.016439850081688214]
3;5;0.5350984286266115;[0.40795162257386747, 0.3544345119190328]
3;6;0.6513548917374945;[0.1693761234723958, 0.0906604949992696]
3;7;0.5156199157230157;[0.06999193969795016, 0.06575134244390746]
3;8;0.5156199157230156;[0.0389875267216713, 0.036625391889127466]
3;9;0.3007455538718056;[0.13450497922519955, 0.3127334836334501]
4;0;0.6992544461281944;[0.25035707701905563, 0.10767722423608095]
4;1;0.6513548646660543;[0.2082336197069994, 0.11145942475004866]
4;2;0.8175744673038222;[0.5140721040136409, 0.1147049977333544]
4;3;0.480478678047907;[0.3237278123943389, 0.3500332246397769]
4;4;0.8933093975331751;[0.7864736349705529, 0.09393088908612522]
4;5;0.5;[0.1879800606601491, 0.1879800606601491]
4;6;0.7057850154599563;[0.3804786009108526, 0.15860708747387]
4;7;0.8175744673038222;[0.41542880963715795, 0.09269470234964526]
4;8;0.6297746074044134;[0.39123518543413605, 0.22999530057512618]
4;9;0.6442250928250375;[0.3779512365140386, 0.20872450884797086]
5;0;0.42250463481418826;[0.06481027197069818, 0.0885851387073429]
5;1;0.5312093733737562;[0.3624866017722152, 0.3198933032923956]
5;2;0.8128673223709251;[0.71405175719703, 0.16438404351190306]
5;3;0.8128673269042767;[0.6207785692981295, 0.14291133279487522]
5;4;0.8824278911901606;[0.11024856230038944, 0.014689195675158495]
5;5;0.39233683016710835;[0.12098517642725763, 0.18738550693613273]
5;6;0.8723473879530492;[0.2129416034069952, 0.031160237611477574]
5;7;0.7981867585368343;[0.49309435478782027, 0.12467379222042804]
5;8;0.41869690935568665;[0.14772906409258685, 0.20510149374439426]
5;9;0.7662936430859598;[0.24520857949726163, 0.07478439148678073]
6;0;0.9458012640659995;[0.3343599851850189, 0.019160355597362108]
6;1;0.6224593312018546;[0.2546787546737268, 0.15447047308704745]
6;2;0.8080672135527632;[0.18775740265639998, 0.04459629207018387]
6;3;0.6224593312018546;[0.11072025947364952, 0.0671552320221066]
6;4;0.7185943925708561;[0.5555150205440739, 0.2175428077485369]
6;5;0.6654105587468141;[0.296376435158443, 0.14902743056412213]
6;6;0.39233683016710835;[0.23597985749193134, 0.3654927531508682]
6;7;0.8438950947024555;[0.3881207218467081, 0.07179511873955995]
6;8;0.8031737963569016;[0.4547937876673722, 0.11145201085128145]
6;9;0.5583269943353744;[0.4898585788714884, 0.3875100309959425]
7;0;0.6442251064863697;[0.3408345602752182, 0.18822672101222487]
7;1;0.2120687844377551;[0.06306400488283623, 0.23431123141152904]
7;2;0.523420348936324;[0.18346280632252537, 0.16704478608451778]
7;3;0.3380771241500058;[0.21090228353994578, 0.4129266255298315]
7;4;0.5964331462646254;[0.22428445483166473, 0.15175845330703588]
7;5;0.8479677737461006;[0.2858858098524875, 0.05125649520177004]
7;6;0.8175744939732855;[0.40157976216842944, 0.08960454596331513]
7;7;0.8577681049901037;[0.47506734952827934, 0.07877388887234915]
7;8;0.9688561663178392;[0.816891565227867, 0.02625893907503978]
7;9;0.7057850773452281;[0.04224431791798439, 0.017610047488668977]
8;0;0.9637799425745086;[0.849065381056597, 0.03190894051780818]
8;1;0.6619229025267656;[0.23836612572602375, 0.1217454897145451]
8;2;0.6959583250334527;[0.06905068319250066, 0.030166009400668055]
8;3;0.734119503631954;[0.23348233628219695, 0.08456170849127059]
8;4;0.7490872243177518;[0.4935136151167106, 0.16530634482345438]
8;5;0.7185943925708561;[0.26777987491133237, 0.10486410572608715]
8;6;0.7718434978390747;[0.17604960128991964, 0.05204016273971149]
8;7;0.47657965106367595;[0.1449220590234986, 0.1591657439283222]
8;8;0.523420348936324;[0.23591718996618952, 0.21480504589187738]
8;9;0.7371581626286834;[0.4461373966334468, 0.15907518765448206]
9;0;0.6370307944803831;[0.13533447657786843, 0.07711126034801881]
9;1;0.8479677276412722;[0.058614081673165126, 0.010508928274639723]
9;2;0.6477982043529716;[0.49401163877360393, 0.2685894852400518]
9;3;0.6926419831347361;[0.3101528804106767, 0.13762950639613664]
9;4;0.7371581684030623;[0.7069885474155597, 0.25208452227196704]
9;5;0.8519527982093666;[0.6944530449337235, 0.12067784775578237]
9;6;0.600188359260205;[0.10908398301694675, 0.07266559831682684]
9;7;0.6723316860482762;[0.5441073144936566, 0.2651767424451493]
9;8;0.3486451353339458;[0.34119685300504016, 0.6374396413152624]
9;9;0.8519528057272543;[0.7481728183582966, 0.13001293715386728]
10;0;0.9124361700013356;[0.8142373713165392, 0.07813997855917579]
10;1;0.8031738057795403;[0.6687071770860655, 0.16387373164642874]
10;2;0.9697854140241782;[0.9354379388117517, 0.029144457751731686]
10;3;0.7057850278370112;[0.21158852892208874, 0.08820322150726641]
10;4;0.9263037302939515;[0.6290766506009253, 0.05004902926791779]
10;5;0.16451646289656316;[0.10312613530347245, 0.5237177287559633]
10;6;0.47657965106367595;[0.18500755483667966, 0.2031910483218105]
10;7;0.9433475778774729;[0.7494714902208507, 0.04500925875945376]
10;8;0.4186969093556867;[0.10404611185401122, 0.1444537206719154]
10;9;0.3486451353339458;[0.031061356441676166, 0.05803025360452282]
11;0;0.9362850093037731;[0.5569892661564675, 0.03790359298548106]
11;1;0.8175744761936437;[0.3520927393914351, 0.07856250932751029]
