id;iter;estimations;token_probs
0;0;0.9099070133672954;[0.7156320408624242, 0.07085716116502547]
20;0;0.9219218262741297;[0.6227539110050923, 0.052741443651929315]
20;2;0.8757869916479466;[0.34412943996827633, 0.04880793321733873]
20;3;0.9005297967961707;[0.500788175788092, 0.05531577276503099]
20;4;0.88720460564669;[0.6117345292797741, 0.07777330846851645]
20;5;0.7826624789529376;[0.2443467849540762, 0.06785265161654938]
20;6;0.9425067276593031;[0.44733968946444524, 0.027287892850435962]
20;7;0.9136765234137296;[0.5604231379425052, 0.0529483601546777]
20;8;0.9785492708245106;[0.34024892628471254, 0.007458579539724917]
20;9;0.960951711746926;[0.1625733567825128, 0.0066061709660446095]
21;0;0.7931059316231899;[0.4885292559985964, 0.12744048589800064]
21;1;0.9136765234137297;[0.5463899681166429, 0.051622516734330284]
21;2;0.931462514578343;[0.6744219525752613, 0.049624310178061105]
21;3;0.8933093946927838;[0.21519285137876887, 0.02570112405375797]
21;4;0.9525741254760639;[0.7708194240277705, 0.03837684050706707]
21;5;0.9263037302939515;[0.6897484926345934, 0.054876051213146336]
21;6;0.9196425333801889;[0.6456074464373093, 0.056412548292979134]
21;7;0.9481545377452443;[0.7534325546133883, 0.04119798779279591]
21;8;0.9046505299595162;[0.595429802279024, 0.06275784318189216]
21;9;0.9184802484881363;[0.5269338534963236, 0.04676803542690883]
22;0;0.9294404077216355;[0.5443463858521749, 0.04132471401591359]
22;1;0.9019206870747658;[0.5991318014610686, 0.06515255308041101]
22;2;0.7718434978390747;[0.5034048319938939, 0.1488061841036352]
22;3;0.9539660962919971;[0.6799957135872873, 0.03281338542617397]
22;4;0.9184802350995702;[0.15343233468982456, 0.013617895490894925]
22;5;0.9566341913452482;[0.20802664598440837, 0.009430191609776869]
22;6;0.8080672135527632;[0.642366237874802, 0.15257535497929087]
22;7;0.9678992905050947;[0.7233911574236149, 0.023991514017456028]
22;8;0.9353465116437761;[0.6338210337446539, 0.04381129379861997]
22;9;0.9334308147331958;[0.5319781783258631, 0.0379389166844612]
23;0;0.9496693674025232;[0.7395675727142892, 0.03919564541193999]
23;1;0.9425067244294588;[0.4600159091455541, 0.028061148791642253]
23;2;0.9196425355825848;[0.6692159593058757, 0.058475435353173844]
23;3;0.9073122263731811;[0.7035718126176245, 0.07187438127973701]
23;4;0.953275045356249;[0.7474518487076721, 0.03663649216391905]
23;5;0.9416541561135441;[0.759280315751886, 0.04704577628771886]
23;6;0.9449947078337557;[0.7831529382430159, 0.045584970817093645]
23;7;0.9381240194661945;[0.7609420770007133, 0.050189565736352415]
23;8;0.9518632275178339;[0.6743760271460592, 0.034103938935437686]
23;9;0.9496693688269984;[0.7344859429026764, 0.038926327738304914]
24;0;0.9465966717067253;[0.6898897892281117, 0.03892091743139096]
24;1;0.955981353272333;[0.8113354319644507, 0.037358351849681296]
24;2;0.8962513731336204;[0.3471130521148438, 0.04018125227345577]
24;3;0.953966101527047;[0.7375171625880919, 0.03558909496919692]
24;4;0.9572778048911612;[0.5763685803659212, 0.025722659419432525]
24;5;0.9425067179697694;[0.5779389871588925, 0.03525450646820512]
24;6;0.931462503162843;[0.6396853693710661, 0.04706838314067955]
24;7;0.9073122163480667;[0.6096245709728275, 0.062277074335738404]
24;8;0.8577681049901036;[0.03335498704353466, 0.005530799044209284]
24;9;0.9653811591688146;[0.5195857261309424, 0.01863249078381649]
25;0;0.9381240142763573;[0.6489610473192718, 0.04280362072396368]
25;1;0.8976952811593495;[0.5516244256062399, 0.06286518705367257]
25;2;0.9575961665275712;[0.36884177224051307, 0.016332881891619324]
25;3;0.9304582632076909;[0.6445458349894662, 0.04817286124462252]
25;4;0.9284088025362857;[0.7595762386451339, 0.05857222846340241]
25;5;0.8397339676722393;[0.598606294156632, 0.1142460105035946]
25;6;0.8740772417253256;[0.49906570596773464, 0.071897227448353]
25;7;0.9572778073288128;[0.19760510929226116, 0.008818885685391445]
25;8;0.9263037221561135;[0.6057048589600074, 0.048189586751747636]
25;9;0.9416541561135442;[0.7594483269612176, 0.047056186432172846]
26;0;0.9433475762847495;[0.6759990392664897, 0.04059689659081445]
26;1;0.9136765234137297;[0.45448052917779713, 0.04293898148199455]
26;2;0.9263037262250327;[0.5717717911952495, 0.04548988551784349]
26;3;0.918480252950991;[0.7730007524964286, 0.06860770888621912]
26;4;0.9367494850696642;[0.13798730895802636, 0.009317078348644576]
26;5;0.9324533051062237;[0.6519481631729064, 0.04722696935411851]
26;6;0.2751297238231752;[0.041930033045547745, 0.11047092335746167]
26;7;0.9230391685381604;[0.49302238218269456, 0.0411070448095598]
26;8;0.8807970842359877;[0.7718504394797157, 0.10445859161707387]
26;9;0.9399133498259924;[0.6241568806683301, 0.03990101443857655]
27;0;0.9284088025362858;[0.755312367877258, 0.05824343406456771]
27;1;0.9086178771365949;[0.1559790744836221, 0.015687231461372374]
27;2;0.9252299509069106;[0.6999574050376968, 0.05656523493045211]
27;3;0.8175744761936437;[0.22106503945490671, 0.04932627765679229]
27;4;0.8418256472515683;[0.18629897238244247, 0.035004539800490016]
27;5;0.8333245953120234;[0.20283369702813905, 0.04056929163823007]
27;6;0.8670357598021707;[0.584441745053639, 0.08962704443549295]
27;7;0.9118099743710838;[0.08619180118921826, 0.00833644878816174]
27;8;0.8539127529517043;[0.09628918562505283, 0.016473137331492547]
27;9;0.8365545588915282;[0.17234941135264115, 0.03367350672339176]
28;0;0.8558511322604133;[0.6026154313560742, 0.10149701138205601]
28;1;0.9314624993576759;[0.5389938213546294, 0.039659448880417524]
28;2;0.8670357735451835;[0.4428608193537171, 0.06791489817281988]
28;3;0.9149009549929797;[0.5608729337940948, 0.052169309448944004]
28;4;0.9746286826300761;[0.3075895015970137, 0.0080071015800759]
28;5;0.9294404038127071;[0.5866574276547272, 0.04453681056449426]
28;6;0.9099069962657176;[0.5983810548191809, 0.05924775480087102]
28;7;0.9099070133672955;[0.6754162152468307, 0.06687525555667041]
28;8;0.9284087965937711;[0.5301957994182039, 0.0408843124500092]
28;9;0.9385759530727794;[0.20272586023672376, 0.013267165765087617]
29;0;0.9511422269175634;[0.5736384421443803, 0.029466357443177254]
29;1;0.8740772220439509;[0.4719700119378723, 0.06799373501141083]
29;2;0.9481545274901876;[0.16834901418942763, 0.00920539208974281]
29;3;0.96036116089903;[0.2175638664640702, 0.008979933225205584]
29;4;0.9755769156265969;[0.12027425102392146, 0.0030110062401573013]
29;5;0.9407897625396759;[0.08534416935606313, 0.005371283505238513]
29;6;0.957596181049316;[0.1308221238330826, 0.005793003108766897]
29;7;0.952574116051477;[0.09929688055072142, 0.004943701759364595]
29;8;0.8732148004256526;[0.11894893642229087, 0.017270624176440017]
29;9;0.9653811611608242;[0.810170554536127, 0.02905294301165618]
30;0;0.9425067276593032;[0.7039651577896698, 0.04294214497086683]
30;1;0.9046505351008906;[0.6608006557974452, 0.06964787671102214]
30;2;0.890294223211224;[0.6987151063781306, 0.08609859695908532]
30;3;0.9111797148356994;[0.6170332650267362, 0.06014737780396745]
30;4;0.9343951607140232;[0.6997567154659705, 0.04913063421941053]
30;5;0.9241418116217418;[0.18252932990181064, 0.014982921579914626]
30;6;0.907312213841788;[0.6503412036891894, 0.06643654245784117]
30;7;0.8976952975813454;[0.5476213910647187, 0.06240897507418335]
30;8;0.8774767938900121;[0.5323976551119002, 0.07433936496550367]
30;9;0.8354835371034368;[0.6023892579717575, 0.11861747791223017]
31;0;0.9294403959948494;[0.1832785090130482, 0.013913812089879045]
31;1;0.837619947119304;[0.5982144451105277, 0.11596917380622997]
31;2;0.9005297861178929;[0.5402362992824683, 0.059673118052166345]
31;3;0.9489172594314058;[0.8337249727047179, 0.04488163331727451]
31;4;0.9353465170505205;[0.7593479548032294, 0.05248802358660091]
31;5;0.9385759462002284;[0.08143663544271805, 0.005329529588902088]
31;6;0.9818752792555314;[0.29633329936138514, 0.005470102376224864]
31;7;0.9579122732859021;[0.7499651664620743, 0.032951168756690484]
31;8;0.8991213826762113;[0.5860492036301246, 0.06575289442004568]
31;9;0.9136765210631689;[0.7611305078311053, 0.07191104493358812]
