extracted_number;id;correct_answer;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
145;0;145;239;0;1.0;True;0
145;0;145;156;0;1.0;True;1
145;0;145;182;0;1.0;True;2
145;0;145;169;0;1.0;True;3
145;0;145;800;0;1.0;True;4
145;0;145;211;0;1.0;True;5
145;0;145;231;0;1.0;True;6
145;0;145;220;0;1.0;True;7
145;0;145;191;0;1.0;True;8
145;0;145;219;0;1.0;True;9
19;1;19;220;0;1.0;True;0
19;1;19;236;0;1.0;True;1
19;1;19;228;0;1.0;True;2
19;1;19;211;0;1.0;True;3
19;1;19;215;0;1.0;True;4
19;1;19;225;0;1.0;True;5
19;1;19;185;0;1.0;True;6
19;1;19;207;0;1.0;True;7
19;1;19;326;0;1.0;True;8
19;1;19;262;0;1.0;True;9
3;2;3;313;0;1.0;True;0
3;2;3;265;0;1.0;True;1
3;2;3;195;0;1.0;True;2
3;2;3;291;0;1.0;True;3
3;2;3;323;0;1.0;True;4
3;2;3;268;0;1.0;True;5
3;2;3;300;0;1.0;True;6
3;2;3;188;0;1.0;True;7
3;2;3;316;0;1.0;True;8
3;2;3;302;0;1.0;True;9
198;3;198;217;0;1.0;True;0
198;3;198;1191;0;1.0;True;1
198;3;198;322;0;1.0;True;2
198;3;198;247;0;1.0;True;3
198;3;198;296;0;1.0;True;4
198;3;198;254;0;1.0;True;5
198;3;198;295;0;1.0;True;6
198;3;198;325;0;1.0;True;7
198;3;198;194;0;1.0;True;8
198;3;198;250;0;1.0;True;9
63;4;63;155;0;1.0;True;0
63;4;63;108;0;1.0;True;1
63;4;63;145;0;1.0;True;2
63;4;63;129;0;1.0;True;3
63;4;63;150;0;1.0;True;4
63;4;63;166;0;1.0;True;5
63;4;63;147;0;1.0;True;6
63;4;63;160;0;1.0;True;7
63;4;63;103;0;1.0;True;8
63;4;63;203;0;1.0;True;9
322;5;322;202;0;0.9;True;0
322;5;322;216;0;0.9;True;1
85.88;5;322;1343;0;0.1;False;2
322;5;322;290;0;0.9;True;3
322;5;322;220;0;0.9;True;4
322;5;322;192;0;0.9;True;5
322;5;322;195;0;0.9;True;6
322;5;322;265;0;0.9;True;7
322;5;322;346;0;0.9;True;8
322;5;322;396;0;0.9;True;9
30;6;30;173;0;1.0;True;0
30;6;30;160;0;1.0;True;1
30;6;30;133;0;1.0;True;2
30;6;30;152;0;1.0;True;3
30;6;30;201;0;1.0;True;4
30;6;30;137;0;1.0;True;5
30;6;30;137;0;1.0;True;6
30;6;30;120;0;1.0;True;7
30;6;30;160;0;1.0;True;8
30;6;30;154;0;1.0;True;9
192;7;192;234;0;1.0;True;0
192;7;192;245;0;1.0;True;1
192;7;192;249;0;1.0;True;2
192;7;192;359;0;1.0;True;3
192;7;192;161;0;1.0;True;4
192;7;192;208;0;1.0;True;5
192;7;192;220;0;1.0;True;6
192;7;192;224;0;1.0;True;7
192;7;192;189;0;1.0;True;8
192;7;192;643;0;1.0;True;9
26;8;26;185;0;1.0;True;0
26;8;26;177;0;1.0;True;1
26;8;26;168;0;1.0;True;2
26;8;26;712;0;1.0;True;3
26;8;26;717;0;1.0;True;4
26;8;26;186;0;1.0;True;5
26;8;26;217;0;1.0;True;6
26;8;26;182;0;1.0;True;7
26;8;26;180;0;1.0;True;8
26;8;26;178;0;1.0;True;9
17;9;17;198;0;1.0;True;0
17;9;17;159;0;1.0;True;1
17;9;17;200;0;1.0;True;2
17;9;17;215;0;1.0;True;3
17;9;17;152;0;1.0;True;4
17;9;17;186;0;1.0;True;5
17;9;17;198;0;1.0;True;6
17;9;17;198;0;1.0;True;7
17;9;17;206;0;1.0;True;8
17;9;17;196;0;1.0;True;9
1;10;1;243;0;1.0;True;0
1;10;1;269;0;1.0;True;1
1;10;1;295;0;1.0;True;2
1;10;1;244;0;1.0;True;3
1;10;1;259;0;1.0;True;4
1;10;1;300;0;1.0;True;5
1;10;1;234;0;1.0;True;6
1;10;1;238;0;1.0;True;7
1;10;1;256;0;1.0;True;8
1;10;1;203;0;1.0;True;9
20;11;20;282;0;1.0;True;0
20;11;20;348;0;1.0;True;1
20;11;20;274;0;1.0;True;2
20;11;20;238;0;1.0;True;3
20;11;20;405;0;1.0;True;4
20;11;20;331;0;1.0;True;5
20;11;20;303;0;1.0;True;6
20;11;20;247;0;1.0;True;7
20;11;20;339;0;1.0;True;8
20;11;20;351;0;1.0;True;9
4;12;4;216;0;1.0;True;0
4;12;4;211;0;1.0;True;1
4;12;4;256;0;1.0;True;2
4;12;4;195;0;1.0;True;3
4;12;4;216;0;1.0;True;4
4;12;4;257;0;1.0;True;5
4;12;4;242;0;1.0;True;6
4;12;4;148;0;1.0;True;7
4;12;4;276;0;1.0;True;8
4;12;4;219;0;1.0;True;9
2;13;2;158;0;1.0;True;0
2;13;2;120;0;1.0;True;1
2;13;2;154;0;1.0;True;2
2;13;2;104;0;1.0;True;3
2;13;2;170;0;1.0;True;4
2;13;2;170;0;1.0;True;5
2;13;2;165;0;1.0;True;6
2;13;2;252;0;1.0;True;7
2;13;2;201;0;1.0;True;8
