estimations;id;iter
0.95;60;0
0.95;60;1
0.95;60;2
0.95;60;3
0.95;60;4
0.95;60;5
0.95;60;6
0.95;60;7
0.95;60;8
0.95;60;9
1.0;61;0
1.0;61;1
1.0;61;2
1.0;61;3
1.0;61;4
1.0;61;5
1.0;61;6
1.0;61;7
1.0;61;8
1.0;61;9
0.0;62;0
0.0;62;1
0.95;62;2
0.0;62;3
1.0;62;4
0.0;62;5
0.9;62;6
1.0;62;7
0.0;62;8
1.0;62;9
1.0;63;0
0.5;63;1
1.0;63;2
1.0;63;3
1.0;63;4
1.0;63;5
1.0;63;6
1.0;63;7
1.0;63;8
1.0;63;9
1.0;64;0
1.0;64;1
1.0;64;2
1.0;64;3
1.0;64;4
0.9;64;5
0.95;64;6
1.0;64;7
1.0;64;8
1.0;64;9
1.0;65;0
1.0;65;1
1.0;65;2
1.0;65;3
1.0;65;4
0.95;65;5
1.0;65;6
1.0;65;7
1.0;65;8
1.0;65;9
1.0;66;0
0.5;66;1
1.0;66;2
0.5;66;3
1.0;66;4
1.0;66;5
1.0;66;6
1.0;66;7
1.0;66;8
1.0;66;9
0.999;67;0
0.999;67;1
0.999;67;2
1.0;67;3
1.0;67;4
0.99;67;5
0.999;67;6
0.999;67;7
0.999;67;8
0.999;67;9
1.0;68;0
1.0;68;1
1.0;68;2
1.0;68;3
1.0;68;4
1.0;68;5
1.0;68;6
1.0;68;7
1.0;68;8
1.0;68;9
1.0;69;0
0.9;69;1
1.0;69;2
1.0;69;3
1.0;69;4
0.95;69;5
1.0;69;6
0.95;69;7
0.95;69;8
0.95;69;9
1.0;70;0
1.0;70;1
1.0;70;2
1.0;70;3
1.0;70;4
1.0;70;5
1.0;70;6
1.0;70;7
1.0;70;8
1.0;70;9
0.95;71;0
1.0;71;1
1.0;71;2
1.0;71;3
1.0;71;4
1.0;71;5
1.0;71;6
0.95;71;7
1.0;71;8
1.0;71;9
0.9;72;0
1.0;72;1
1.0;72;2
1.0;72;3
0.99;72;4
1.0;72;5
1.0;72;6
