id;iter;answer_token_len;correct_answer;extracted_number;finish_reasons;finish_reasons_post;frequency_of_answer;is_correct;reasoning_token_len
0;0;233;145;145;stop;stop;1.0;True;401
0;1;162;145;145;stop;stop;1.0;True;463
0;2;186;145;145;stop;stop;1.0;True;469
0;3;220;145;145;stop;stop;1.0;True;496
0;4;157;145;145;stop;stop;1.0;True;479
0;5;165;145;145;stop;stop;1.0;True;410
0;6;157;145;145;stop;stop;1.0;True;526
0;7;140;145;145;stop;stop;1.0;True;474
0;8;178;145;145;stop;stop;1.0;True;390
0;9;164;145;145;stop;stop;1.0;True;469
1;0;117;19;19;stop;stop;1.0;True;577
1;1;81;19;19;stop;stop;1.0;True;384
1;2;181;19;19;stop;stop;1.0;True;244
1;3;113;19;19;stop;stop;1.0;True;311
1;4;190;19;19;stop;stop;1.0;True;192
1;5;78;19;19;stop;stop;1.0;True;515
1;6;75;19;19;stop;stop;1.0;True;347
1;7;113;19;19;stop;stop;1.0;True;298
1;8;117;19;19;stop;stop;1.0;True;424
1;9;113;19;19;stop;stop;1.0;True;437
2;0;108;3;3;stop;stop;0.9;True;309
2;1;102;3;3;stop;stop;0.9;True;333
2;2;117;3;3;stop;stop;0.9;True;518
2;3;129;3;3;stop;stop;0.9;True;397
2;4;122;3;;stop;stop;0.0;False;397
2;5;116;3;3;stop;stop;0.9;True;398
2;6;128;3;3;stop;stop;0.9;True;415
2;7;122;3;3;stop;stop;0.9;True;587
2;8;119;3;3;stop;stop;0.9;True;439
2;9;131;3;3;stop;stop;0.9;True;345
3;0;251;198;198;stop;stop;1.0;True;371
3;1;328;198;198;stop;stop;1.0;True;453
3;2;254;198;198;stop;stop;1.0;True;407
3;3;390;198;198;stop;stop;1.0;True;372
3;4;312;198;198;stop;stop;1.0;True;464
3;5;284;198;198;stop;stop;1.0;True;367
3;6;280;198;198;stop;stop;1.0;True;410
3;7;296;198;198;stop;stop;1.0;True;493
3;8;311;198;198;stop;stop;1.0;True;377
3;9;304;198;198;stop;stop;1.0;True;455
4;0;57;63;63;stop;stop;0.9;True;327
4;1;103;63;63;stop;stop;0.9;True;410
4;2;65;63;;stop;stop;0.0;False;288
4;3;119;63;63;stop;stop;0.9;True;321
4;4;66;63;63;stop;stop;0.9;True;267
4;5;179;63;63;stop;stop;0.9;True;408
4;6;66;63;63;stop;stop;0.9;True;282
4;7;96;63;63;stop;stop;0.9;True;603
4;8;101;63;63;stop;stop;0.9;True;311
4;9;110;63;63;stop;stop;0.9;True;305
5;0;182;322;322;stop;stop;1.0;True;473
5;1;243;322;322;stop;stop;1.0;True;1006
5;2;167;322;322;stop;stop;1.0;True;1133
5;3;118;322;322;stop;stop;1.0;True;707
5;4;150;322;322;stop;stop;1.0;True;609
5;5;249;322;322;stop;stop;1.0;True;764
5;6;114;322;322;stop;stop;1.0;True;788
5;7;174;322;322;stop;stop;1.0;True;1224
5;8;252;322;322;stop;stop;1.0;True;833
5;9;123;322;322;stop;stop;1.0;True;794
6;0;87;30;30;stop;stop;1.0;True;328
6;1;88;30;30;stop;stop;1.0;True;323
6;2;87;30;30;stop;stop;1.0;True;387
6;3;88;30;30;stop;stop;1.0;True;354
6;4;87;30;30;stop;stop;1.0;True;383
6;5;88;30;30;stop;stop;1.0;True;252
6;6;125;30;30;stop;stop;1.0;True;348
6;7;88;30;30;stop;stop;1.0;True;370
6;8;87;30;30;stop;stop;1.0;True;278
6;9;90;30;30;stop;stop;1.0;True;298
7;0;103;192;192;stop;stop;1.0;True;466
7;1;98;192;192;stop;stop;1.0;True;529
7;2;105;192;192;stop;stop;1.0;True;491
7;3;99;192;192;stop;stop;1.0;True;511
7;4;98;192;192;stop;stop;1.0;True;444
7;5;103;192;192;stop;stop;1.0;True;458
7;6;100;192;192;stop;stop;1.0;True;358
7;7;99;192;192;stop;stop;1.0;True;373
7;8;108;192;192;stop;stop;1.0;True;410
7;9;119;192;192;stop;stop;1.0;True;499
8;0;100;26;26;stop;stop;1.0;True;315
8;1;70;26;26;stop;stop;1.0;True;424
8;2;99;26;26;stop;stop;1.0;True;349
8;3;142;26;26;stop;stop;1.0;True;371
8;4;131;26;26;stop;stop;1.0;True;456
8;5;112;26;26;stop;stop;1.0;True;476
8;6;167;26;26;stop;stop;1.0;True;424
8;7;97;26;26;stop;stop;1.0;True;358
8;8;155;26;26;stop;stop;1.0;True;285
8;9;210;26;26;stop;stop;1.0;True;304
9;0;105;17;17;stop;stop;1.0;True;579
9;1;74;17;17;stop;stop;1.0;True;251
9;2;136;17;17;stop;stop;1.0;True;260
9;3;73;17;17;stop;stop;1.0;True;230
9;4;87;17;17;stop;stop;1.0;True;258
9;5;91;17;17;stop;stop;1.0;True;220
9;6;73;17;17;stop;stop;1.0;True;234
9;7;84;17;17;stop;stop;1.0;True;242
9;8;176;17;17;stop;stop;1.0;True;338
9;9;73;17;17;stop;stop;1.0;True;401
32;0;196;7;7;stop;stop;1.0;True;442
32;1;267;7;7;stop;stop;1.0;True;386
32;2;270;7;7;stop;stop;1.0;True;240
32;3;226;7;7;stop;stop;1.0;True;482
32;4;182;7;7;stop;stop;1.0;True;472
32;5;153;7;7;stop;stop;1.0;True;329
32;6;193;7;7;stop;stop;1.0;True;497
32;7;247;7;7;stop;stop;1.0;True;380
32;8;217;7;7;stop;stop;1.0;True;442
32;9;205;7;7;stop;stop;1.0;True;295
33;0;178;12;12;stop;stop;1.0;True;2364
33;1;218;12;12;stop;stop;1.0;True;2639
33;2;132;12;12;stop;stop;1.0;True;2135
33;3;107;12;12;stop;stop;1.0;True;2205
33;4;160;12;12;stop;stop;1.0;True;1160
33;5;104;12;12;stop;stop;1.0;True;1066
33;6;154;12;12;stop;stop;1.0;True;2756
33;7;259;12;12;stop;stop;1.0;True;2384
33;8;144;12;12;stop;stop;1.0;True;2860
33;9;334;12;12;stop;stop;1.0;True;2780
34;0;148;21;21;stop;stop;1.0;True;294
34;1;186;21;21;stop;stop;1.0;True;500
34;2;161;21;21;stop;stop;1.0;True;468
34;3;185;21;21;stop;stop;1.0;True;583
34;4;209;21;21;stop;stop;1.0;True;433
34;5;147;21;21;stop;stop;1.0;True;384
34;6;204;21;21;stop;stop;1.0;True;361
34;7;152;21;21;stop;stop;1.0;True;475
34;8;198;21;21;stop;stop;1.0;True;366
34;9;135;21;21;stop;stop;1.0;True;323
35;0;290;14;14;stop;stop;0.8;True;485
35;1;291;14;14;stop;stop;0.8;True;623
35;2;292;14;;stop;stop;0.0;False;629
35;3;290;14;14;stop;stop;0.8;True;1184
35;4;263;14;14;stop;stop;0.8;True;1096
35;5;296;14;14;stop;stop;0.8;True;726
35;6;257;14;;stop;stop;0.0;False;576
35;7;305;14;14;stop;stop;0.8;True;968
35;8;299;14;14;stop;stop;0.8;True;671
35;9;321;14;14;stop;stop;0.8;True;1273
36;0;196;2;2;stop;stop;1.0;True;260
36;1;207;2;2;stop;stop;1.0;True;314
36;2;209;2;2;stop;stop;1.0;True;542
36;3;156;2;2;stop;stop;1.0;True;634
36;4;222;2;2;stop;stop;1.0;True;315
36;5;228;2;2;stop;stop;1.0;True;493
36;6;212;2;2;stop;stop;1.0;True;727
36;7;180;2;2;stop;stop;1.0;True;289
36;8;223;2;2;stop;stop;1.0;True;510
36;9;268;2;2;stop;stop;1.0;True;460
37;0;64;51;51;stop;stop;1.0;True;298
37;1;54;51;51;stop;stop;1.0;True;187
37;2;62;51;51;stop;stop;1.0;True;292
37;3;80;51;51;stop;stop;1.0;True;200
37;4;62;51;51;stop;stop;1.0;True;190
37;5;61;51;51;stop;stop;1.0;True;373
37;6;79;51;51;stop;stop;1.0;True;316
37;7;64;51;51;stop;stop;1.0;True;179
37;8;82;51;51;stop;stop;1.0;True;171
37;9;62;51;51;stop;stop;1.0;True;268
38;0;75;2;2;stop;stop;1.0;True;214
38;1;71;2;2;stop;stop;1.0;True;189
38;2;74;2;2;stop;stop;1.0;True;201
38;3;71;2;2;stop;stop;1.0;True;221
38;4;69;2;2;stop;stop;1.0;True;265
38;5;188;2;2;stop;stop;1.0;True;196
38;6;71;2;2;stop;stop;1.0;True;233
38;7;101;2;2;stop;stop;1.0;True;361
38;8;69;2;2;stop;stop;1.0;True;235
38;9;86;2;2;stop;stop;1.0;True;192
40;0;126;20;20;stop;stop;1.0;True;386
40;1;103;20;20;stop;stop;1.0;True;390
40;2;125;20;20;stop;stop;1.0;True;318
40;3;118;20;20;stop;stop;1.0;True;386
