id;iter;estimations;token_probs
0;0;0.9149009619539554;[0.7961898776706107, 0.07405718816500362]
21;0;0.9273632916317103;[0.849990408571953, 0.06657639565897742]
0;1;0.9702399073448233;[0.7814602091181386, 0.02396966776323723]
0;2;0.9553191335436404;[0.8753828171962463, 0.04094219552397414]
0;3;0.9637799430946808;[0.8622485167219849, 0.032404378785800485]
0;4;0.951863227517834;[0.8381729061896444, 0.04238732763233133]
0;5;0.9763105259435195;[0.8448691643297395, 0.02050014377358821]
0;6;0.9740426403532982;[0.918049550294951, 0.024465194195046128]
0;7;0.9481545388440002;[0.9141379567107213, 0.049985421135729464]
0;8;0.9372107905260642;[0.8104044926439231, 0.0542937170182132]
0;9;0.9294403999037782;[0.6654513125491585, 0.05051854696851505]
1;0;0.93812402119614;[0.8804303217026002, 0.05807066730311951]
1;1;0.9362850075259039;[0.6821328142095386, 0.04641971918202726]
1;2;0.9155072368037073;[0.5704719164976314, 0.05264922724046616]
1;3;0.9473810436809827;[0.8523277541108926, 0.047339554830853545]
1;4;0.9465966702001757;[0.6311451676459923, 0.03560677382505124]
1;5;0.9059898127684335;[0.7366727896720437, 0.07644097749162045]
1;6;0.8976953003183444;[0.729308655005657, 0.08311473046492149]
1;7;0.9481545348152283;[0.8891682496989036, 0.048620071771478236]
1;8;0.8856314798554445;[0.6833020292643841, 0.08824013562785163]
1;9;0.9585377296574669;[0.9048080037215424, 0.03913815064097319]
2;0;0.9559813507641096;[0.8122539572456189, 0.03740064804180615]
2;1;0.9511422193004231;[0.8427634616738677, 0.04329063683280013]
2;2;0.9597620579518497;[0.878754219035945, 0.03684169534227396]
2;3;0.9539660976007596;[0.6684318544866968, 0.032255367174339036]
2;4;0.9603611643025386;[0.9051972787633509, 0.03736195042075458]
2;5;0.9099070048165069;[0.8339946055995161, 0.08257664968794111]
2;6;0.9314625079193014;[0.8292673401669434, 0.06101791889233816]
2;7;0.9314625045897805;[0.8829384069859219, 0.06496706707797638]
2;8;0.9353465080392795;[0.8462091981341643, 0.058492097974836635]
2;9;0.9572778024535095;[0.8221644460223998, 0.036692245227712555]
3;0;0.9753900731624962;[0.8303212745335435, 0.020949716816001617]
3;1;0.947381041452505;[0.8513715364808103, 0.047286447191213644]
3;2;0.9111797003640646;[0.8525909272809863, 0.08310916232848485]
3;3;0.9724147197717786;[0.9045591070574921, 0.025660364805077086]
3;4;0.9496693624168593;[0.8585738210587706, 0.04550275025837155]
3;5;0.9615338112885303;[0.7511448246725853, 0.030049571046055774]
3;6;0.9814534325042455;[0.8481382385779721, 0.01602730457356529]
3;7;0.9099070060380482;[0.8169485229627613, 0.08088885771633662]
3;8;0.9235923124432799;[0.6538026669153236, 0.054088312802499885]
3;9;0.9252299632771662;[0.6438228888233601, 0.05202886087888502]
4;0;0.9594592615365183;[0.5006911749543501, 0.021156072788636238]
4;1;0.9443823821340145;[0.5227219494550365, 0.030784722571018483]
4;2;0.9099070133672955;[0.6342071549466909, 0.06279500640568585]
4;3;0.9582261192116938;[0.752992337092938, 0.032826711246512444]
4;4;0.9334308184368928;[0.6032198864798323, 0.04301963611271926]
4;5;0.9230391558355999;[0.7310607136094545, 0.0609541310345378]
4;6;0.9032942093072239;[0.6812634440354957, 0.07293539507583498]
4;7;0.8652240895276223;[0.6550798578993856, 0.10204175467272039]
4;8;0.9241418283357703;[0.6132155184177226, 0.05033578898497815]
4;9;0.9591542870089901;[0.7894873701622883, 0.033620424751720626]
5;0;0.9817357197778257;[0.8859241911719742, 0.016481795820600144]
5;1;0.9362850039701653;[0.8684240349511183, 0.05909699899549669]
5;2;0.9449947086083139;[0.8704477772070859, 0.05066613938720636]
5;3;0.9559813488829418;[0.860549667287258, 0.03962445043251222]
5;4;0.9273632856092016;[0.821239461718565, 0.06432445315981851]
5;5;0.9674102559386726;[0.8835921211828126, 0.029766111023923975]
5;6;0.9648551543571473;[0.9042800341155135, 0.032938397098658666]
5;7;0.942506716354847;[0.8499723219390226, 0.051848648871984496]
5;8;0.8947894548800271;[0.6967859937858378, 0.08192903239790567]
5;9;0.9553191316354952;[0.8730394215710566, 0.04083259528725057]
6;0;0.9637799482964025;[0.8735433521400136, 0.03282884794996245]
6;1;0.8539127380808498;[0.5430608875841147, 0.09290677440981704]
6;2;0.9525741221101401;[0.8829785558968862, 0.04396091831527692]
6;3;0.9161096170250074;[0.8371652024641077, 0.07666125116786554]
6;4;0.9799765579795495;[0.9101949611023827, 0.01859762448656456]
6;5;0.9621075771731112;[0.8221020040021344, 0.0323783301177312]
6;6;0.9686195732046103;[0.7611278765546677, 0.024658305771309036]
6;7;0.9683812327313546;[0.7651738063040014, 0.024983809768132532]
6;8;0.9394706030185549;[0.7288595072875627, 0.04695987965835055]
