id;iter;estimations;token_probs
0;0;0.9241418137109956;[0.881209252004028, 0.07233406670528676]
0;1;0.9984988174173002;[0.9956951294000039, 0.0014969674073330586]
0;2;0.9999151889240782;[0.9913076607843312, 8.408100028075469e-05]
0;3;0.9984988174337031;[0.9963139766501633, 0.0014978977903541868]
0;4;0.9995694429888681;[0.9983554749434294, 0.00043003410353712964]
0;5;0.9986749777996872;[0.9727123411378056, 0.0012905754876982672]
0;6;0.9840936093378261;[0.9813337825026079, 0.01586178221904983]
0;7;0.9959298618008805;[0.8323896381025403, 0.003401786604195443]
0;8;0.9968273175698731;[0.9961931743594927, 0.0031706640915578265]
0;9;0.995929863175047;[0.9729137165529103, 0.003976075114988253]
1;0;0.9997965730013456;[0.9973236616858219, 0.00020292383937133295]
1;1;0.9982992776265142;[0.9690474830407905, 0.0016508884382807172]
1;2;0.992422757583584;[0.9744826722048443, 0.007440268153333837]
1;3;0.9997040429777974;[0.9992147894195976, 0.00029581218130985494]
1;4;0.9241418236349501;[0.9166678436273786, 0.07524467475840994]
1;5;0.99979657302024;[0.9984628974997415, 0.00020315561897474513]
1;6;0.9992903297360466;[0.9989536040269491, 0.000709431130024262]
1;7;0.982013793459441;[0.9723868191849137, 0.017809882390312334]
1;8;0.9997965730498839;[0.997866186724599, 0.000203034177612902]
1;9;0.998299277215395;[0.9449888090613193, 0.0016099019957725085]
2;0;0.9984988174249781;[0.9917276897936091, 0.00149100259419858]
2;1;0.9964063976386751;[0.9953688089228322, 0.0035898602323419858]
2;2;0.999664649778523;[0.9987350034850866, 0.00033503835980371076]
2;3;0.9984988178884455;[0.9510923634535011, 0.0014299093968601392]
2;4;0.9984988175045494;[0.9975790127967639, 0.0014997996247828405]
2;5;0.9997040429815516;[0.9856080861178018, 0.0002917839860445539]
2;6;0.9997388096284819;[0.9991113698447256, 0.00026102644747252613]
2;7;0.999964643751168;[0.9706531768486366, 3.43198686720324e-05]
2;8;0.9796676442828175;[0.8005493885857051, 0.016614874475938735]
2;9;0.9997388096431795;[0.9989323106804852, 0.0002609796520345014]
3;0;0.8933094046341532;[0.8780381654989171, 0.10486670591963655]
3;1;0.9993736658698723;[0.9573239977970738, 0.0005999804816636204]
3;2;0.9990889490192221;[0.9950140222232573, 0.0009073351293937583]
3;3;0.9947798755348471;[0.9745169730446451, 0.0051137945366677385]
3;4;0.9994472212936147;[0.9948286416028075, 0.0005502242418248041]
3;5;0.9980732648898294;[0.9971561475575241, 0.0019249646568116371]
3;6;0.9988304897066587;[0.9729014172766616, 0.0011391504701119236]
3;7;0.999373665837227;[0.9392948052357417, 0.0005886811365411996]
3;8;0.9992903297118572;[0.9317578001313694, 0.0006617104227249016]
3;9;0.9947798736390401;[0.9881351101405059, 0.005185257837761766]
4;0;0.9997694933552724;[0.9945430953403589, 0.00022930164749726905]
4;1;0.9991959140296702;[0.9984857160079126, 0.0008035144505133334]
4;2;0.9959298631939228;[0.9939868629456438, 0.004062196209939829]
4;3;0.9982992775284781;[0.9753683843166318, 0.0016616569465282534]
4;4;0.9996646499045015;[0.9944347459316125, 0.00033359565835104486]
4;5;0.9999038976059791;[0.9946729330842392, 9.559963749129282e-05]
4;6;0.998967768775017;[0.9515675013207354, 0.0009832526316107047]
4;7;0.9989677688314375;[0.9979353941690206, 0.001031164418125324]
4;8;0.9989677691245835;[0.9569293243430103, 0.000988792656487632]
4;9;0.9995121429495948;[0.9985992291810037, 0.0004874114616031344]
5;0;0.9971990732500842;[0.9956821294789951, 0.0027966659673894475]
5;1;0.9999339478420587;[0.9977478556683674, 6.590775229744735e-05]
5;2;0.9980732650814615;[0.9975680986318467, 0.0019257597177468914]
5;3;0.9964063969683851;[0.9944757719805334, 0.0035866401098288004]
5;4;0.9953904282201709;[0.994833597034479, 0.004606993140084423]
5;5;0.9840936080549317;[0.9793726709985557, 0.015830085103369362]
5;6;0.9626731162701729;[0.9561449855635716, 0.037073760658516516]
5;7;0.9947798751092578;[0.9895744771629221, 0.005192809473466676]
5;8;0.9859363733699887;[0.9807129907654941, 0.013989119080964991]
5;9;0.9984988174640658;[0.9031794610492958, 0.0013578756529578984]
6;0;0.9996200154255522;[0.9974353690420144, 0.0003791541269642022]
6;1;0.9959298627711025;[0.9873836392004492, 0.0040352107706983845]
6;2;0.9959298625898936;[0.9942114019064768, 0.00406311445459701]
6;3;0.9988304896902039;[0.9982633998956814, 0.001168846315887126]
6;4;0.999569442946532;[0.9954974448928217, 0.000428803070794637]
6;5;0.995929862204825;[0.9931120572078308, 0.004058622069968868]
6;6;0.9770226274974266;[0.9514949690538915, 0.02237701944966822]
6;7;0.9706877694606353;[0.9612532326545212, 0.02902733221614123]
6;8;0.9399133544545811;[0.9213732818472073, 0.058901418454149305]
6;9;0.9740426405416754;[0.9619966596652858, 0.02563634491273679]
7;0;0.9986749774546184;[0.9927568794203937, 0.001317170527960302]
7;1;0.9626731113172399;[0.9159546899216651, 0.035515418834515554]
7;2;0.9993736657145152;[0.9989889363630888, 0.0006260931652795537]
7;3;0.9996646497497212;[0.9974670359784039, 0.0003346130327244609]
7;4;0.9999485577755266;[0.6513194730506179, 3.350704621352023e-05]
7;5;0.9875683495127004;[0.9508428985010987, 0.011969345299825771]
7;6;0.9959298631901476;[0.8773384094779195, 0.0035854807523043645]
7;7;0.8807970889295664;[0.873147925884727, 0.11816770953121718]
7;8;0.9980732655560645;[0.9961356821298532, 0.0019229940284229239]
7;9;0.9982992774913192;[0.9958249135065463, 0.0016965071329728522]
8;0;0.9997694932762899;[0.8930970682103686, 0.0002059123433279469]
8;1;0.9995121428349836;[0.9898012319298999, 0.0004831173151828386]
8;2;0.9890130560335714;[0.9793720981924642, 0.010879842585979984]
8;3;0.9890130578551651;[0.9297547409474552, 0.010328641736873376]
8;4;0.9924227587531493;[0.9864602042065089, 0.00753171658122916]
8;5;0.9993736658413076;[0.9965555511630106, 0.0006245679709825509]
8;6;0.9525741281688026;[0.9372323319349636, 0.04666204879598114]
8;7;0.9982992773972362;[0.9906279776879287, 0.001687653623246755]
8;8;0.9999974387166825;[0.9399091131204861, 2.4073796974512013e-06]
8;9;0.9989677688056281;[0.9984794170344221, 0.0010317265815627562]
9;0;0.006692851815858792;[0.0060541440657342445, 0.8985145259575402]
9;1;0.8933094103149354;[0.875452071702032, 0.10455783482452317]
9;2;0.9986749774447594;[0.9566443863718292, 0.0012692571836838017]
9;3;0.8354835350552604;[0.8225325423442854, 0.1619662632364633]
9;4;0.9626731134590489;[0.9624585754446686, 0.03731856799957967]
9;5;0.9706877674467155;[0.9701336601927042, 0.029295499963018386]
9;6;0.9796676472509721;[0.9784762493180107, 0.020307626074522033]
9;7;0.9859363739252722;[0.9848185973865875, 0.014047681849835571]
9;8;0.9959298619216863;[0.8774046546992808, 0.0035857526033916984]
9;9;0.977022628417363;[0.9767210728596765, 0.022970279675141564]
10;0;0.9796676446538367;[0.9730502712544552, 0.02019501612898208]
10;1;0.6791786926816161;[0.673433047075239, 0.318107256429143]
10;2;0.9953904276155118;[0.9774751881142328, 0.004526608362557293]
10;3;0.9914225144278903;[0.9825740450715548, 0.008500931310798591]
10;4;0.9940889306950054;[0.9894845981673145, 0.005883690940912648]
10;5;0.9975273770145003;[0.9923102710441556, 0.0024596910736170248]
10;6;0.9978172839370038;[0.9937451191125729, 0.0021738082401749174]
10;7;0.9971990723812634;[0.995484331663171, 0.0027961112638389745]
10;8;0.9994472213731098;[0.9988924623781443, 0.0005524717983665101]
10;9;0.9989677688326378;[0.9810084305426435, 0.0010136738231649248]
11;0;0.9997694932591197;[0.9146825925431291, 0.0002108891147095642]
11;1;0.9859363696508799;[0.977422797359622, 0.013942190733602935]
11;2;0.9324533046369554;[0.9254273065387963, 0.06703773373376234]
11;3;0.9998601779096806;[0.999831108961281, 0.00013981802526987066]
11;4;0.996406397126787;[0.9959749521328035, 0.0035920468394756914]
11;5;0.9875683506332269;[0.9862561966789679, 0.012415131788152694]
11;6;0.9971990734575347;[0.9967947552520912, 0.0027997908960097633]
11;7;0.9989677690937324;[0.9985315935871343, 0.0010317802072036075]
11;8;0.9770226284591782;[0.9766819535627164, 0.022969359634605276]
11;9;0.998830489477924;[0.997811112349242, 0.0011683169539075612]
12;0;0.9953904271625514;[0.972349398462269, 0.004502871690697071]
