estimations;id;iter
0.0;0;0
0.0;0;1
0.0;0;2
0.0;0;3
0.0;0;4
0.0;0;5
0.0;0;6
0.0;0;7
0.0;0;8
0.0;0;9
1.0;1;0
0.0;1;1
1.0;1;2
0.0;1;3
0.0;1;4
0.0;1;5
0.0;1;6
0.0;1;7
1.0;1;8
1.0;1;9
0.999;2;0
0.999;2;1
0.0;2;2
0.0;2;3
0.999;2;4
0.987;2;5
0.8;2;6
0.0;2;7
0.0;2;8
0.995;2;9
0.0;3;0
0.0;3;1
1.0;3;2
1.0;3;3
1.0;3;4
1.0;3;5
0.0;3;6
1.0;3;7
1.0;3;8
1.0;3;9
1.0;4;0
1.0;4;1
1.0;4;2
1.0;4;3
1.0;4;4
1.0;4;5
1.0;4;6
1.0;4;7
1.0;4;8
1.0;4;9
1.0;5;0
1.0;5;1
1.0;5;2
1.0;5;3
1.0;5;4
1.0;5;5
1.0;5;6
1.0;5;7
1.0;5;8
1.0;5;9
1.0;6;0
1.0;6;1
1.0;6;2
1.0;6;3
1.0;6;4
0.0;6;5
1.0;6;6
1.0;6;7
1.0;6;8
1.0;6;9
0.8;7;0
0.8;7;1
0.987654321;7;2
0.0;7;3
1.0;7;4
0.0;7;5
0.0;7;6
0.999;7;7
0.0;7;8
0.0;7;9
0.0;8;0
0.0;8;1
0.0;8;2
0.8;8;3
0.0;8;4
0.0;8;5
0.8;8;6
0.0;8;7
0.0;8;8
0.05;8;9
0.0;9;0
0.0;9;1
0.0;9;2
0.0;9;3
0.0;9;4
0.0;9;5
0.0;9;6
0.0;9;7
0.0;9;8
0.0;9;9
0.995;10;0
0.0;10;1
0.0;10;2
1.0;10;3
0.0;10;4
0.0;10;5
0.0;10;6
0.8;10;7
1.0;10;8
0.0;10;9
1.0;11;0
0.999;11;1
0.995;11;2
0.999;11;3
0.98;11;4
0.0;11;5
0.0;11;6
0.0;11;7
0.8;11;8
0.0;11;9
1.0;12;0
1.0;12;1
1.0;12;2
1.0;12;3
1.0;12;4
0.999;12;5
1.0;12;6
1.0;12;7
1.0;12;8
1.0;12;9
1.0;13;0
1.0;13;1
0.0;13;2
0.995;13;3
1.0;13;4
0.8;13;5
0.995;13;6
0.995;13;7
1.0;13;8
1.0;13;9
1.0;14;0
1.0;14;1
1.0;14;2
1.0;14;3
1.0;14;4
1.0;14;5
1.0;14;6
1.0;14;7
1.0;14;8
1.0;14;9
0.0;15;0
0.995;15;1
0.0;15;2
0.8;15;3
0.0;15;4
0.8;15;5
0.0;15;6
0.0;15;7
0.0;15;8
0.0;15;9
1.0;16;0
1.0;16;1
1.0;16;2
1.0;16;3
1.0;16;4
1.0;16;5
1.0;16;6
1.0;16;7
0.0;16;8
1.0;16;9
1.0;17;0
0.0;17;1
0.0;17;2
1.0;17;3
1.0;17;4
0.0;17;5
1.0;17;6
0.0;17;7
1.0;17;8
1.0;17;9
0.8;18;0
0.0;18;1
0.0;18;2
0.0;18;3
0.0;18;4
0.0;18;5
0.0;18;6
0.8;18;7
0.0;18;8
0.0;18;9
0.8;19;0
0.0;19;1
0.999999;19;2
0.0;19;3
0.8;19;4
0.0;19;5
0.5;19;6
0.0;19;7
0.0;19;8
0.0;19;9
0.5;40;0
0.5;40;1
0.0;40;2
0.5;40;3
0.5;40;4
0.5;40;5
0.0;40;6
0.5;40;7
0.8;40;8
0.5;40;9
1.0;41;0
1.0;41;1
1.0;41;2
1.0;41;3
1.0;41;4
1.0;41;5
1.0;41;6
1.0;41;7
1.0;41;8
1.0;41;9
0.0;42;0
0.0;42;1
0.0;42;2
0.0;42;3
0.0;42;4
0.0;42;5
0.0;42;6
0.0;42;7
0.0;42;8
0.0;42;9
0.0;43;0
1.0;43;1
1.0;43;2
1.0;43;3
1.0;43;4
0.0;43;5
1.0;43;6
1.0;43;7
1.0;43;8
1.0;43;9
1.0;44;0
0.995;44;1
0.995;44;2
1.0;44;3
0.995;44;4
1.0;44;5
0.0;44;6
0.0;44;7
0.995;44;8
0.0;44;9
0.0;45;0
1.0;45;1
0.0;45;2
0.0;45;3
1.0;45;4
0.0;45;5
0.0;45;6
1.0;45;7
1.0;45;8
0.0;45;9
0.0;46;0
0.0;46;1
0.0;46;2
0.0;46;3
0.0;46;4
0.0;46;5
0.0;46;6
0.0;46;7
0.0;46;8
0.0;46;9
1.0;47;0
1.0;47;1
1.0;47;2
1.0;47;3
1.0;47;4
1.0;47;5
1.0;47;6
1.0;47;7
1.0;47;8
1.0;47;9
0.0;48;0
0.0;48;1
0.0;48;2
0.0;48;3
0.0;48;4
0.0;48;5
0.0;48;6
0.0;48;7
0.0;48;8
0.0;48;9
1.0;49;0
1.0;49;1
1.0;49;2
1.0;49;3
1.0;49;4
1.0;49;5
1.0;49;6
1.0;49;7
1.0;49;8
1.0;49;9
1.0;50;0
0.0;50;1
1.0;50;2
0.0;50;3
0.0;50;4
1.0;50;5
1.0;50;6
0.0;50;7
1.0;50;8
0.0;50;9
0.0;51;0
