estimations;id;iter
3.776005973348661e-13;0;0
8.646986740900126e-33;0;1
3.6586833040002994e-20;0;2
3.3129260802507946e-15;0;3
4.219210818472079e-16;0;4
2.3538031068873993e-30;0;5
1.4459710424661795e-20;0;6
2.5225227553177675e-08;0;7
2.0335338607169632e-11;0;8
8.398917465982109e-15;0;9
2.136199970468452e-62;1;0
7.5101077143746495e-25;1;1
1.1162685526336238e-17;1;2
4.471163822074244e-66;1;3
7.595329869433559e-30;1;4
7.08988171287409e-85;1;5
3.659553844627886e-53;1;6
3.4099087634523944e-36;1;7
1.0120085174248996e-27;1;8
3.3350810249855235e-20;1;9
9.689746107805127e-185;2;0
5.342681012117003e-188;2;1
6.60527936779177e-142;2;2
3.515192458124637e-170;2;3
2.179699167354326e-69;2;4
9.60744081486132e-21;2;5
2.874442583667361e-116;2;6
7.4034479368444e-68;2;7
9.755442386831923e-84;2;8
5.958804563301496e-107;2;9
1.7325864231939073e-252;3;0
3.857984200979351e-106;3;1
5.919192937099569e-07;3;2
1.0377633007524747e-13;3;3
5.3459933151490805e-20;3;4
3.667498491957833e-99;3;5
2.786058848921049e-112;3;6
1.3144249853907245e-84;3;7
1.4442078536084327e-27;3;8
6.021521170853568e-26;3;9
6.761053057421322e-26;4;0
5.450384488601249e-126;4;1
8.867872812788245e-128;4;2
1.7791322752694814e-29;4;3
9.625402660771383e-71;4;4
8.40710716878215e-63;4;5
1.0849069593022287e-47;4;6
2.1148074488092917e-13;4;7
4.3066942609440826e-51;4;8
9.564734762214569e-32;4;9
5.647163273421752e-202;15;0
6.128024658610557e-153;15;1
8.133715067123737e-130;15;2
2.1035131078291825e-129;15;3
1.0327423563864072e-159;15;4
2.824898402034718e-129;15;5
3.0136087614763465e-212;15;6
3.140639581719434e-239;15;7
4.303444347243752e-158;15;8
1.311056706884315e-180;15;9
3.3712962217409772e-136;16;0
5.984792143511884e-18;16;1
1.2166877047890365e-88;16;2
3.7740685926632755e-17;16;3
1.6613781127619711e-99;16;4
2.5064070015539433e-39;16;5
6.874706883413854e-11;16;6
1.705102248434904e-20;16;7
4.0479959220126004e-58;16;8
1.4969803325568804e-55;16;9
8.858389269623754e-84;17;0
2.0861797142199365e-134;17;1
5.3534911120810505e-15;17;2
1.7965193758823364e-82;17;3
1.0261661237747594e-124;17;4
2.576308255183367e-19;17;5
1.906753670054541e-14;17;6
7.190823296008923e-86;17;7
2.4759217135369176e-27;17;8
2.278991994078385e-67;17;9
1.8527619703062062e-67;18;0
4.298234905462267e-154;18;1
3.039011025007122e-155;18;2
1.0392293232204278e-83;18;3
9.536987433617294e-92;18;4
1.0728720567939234e-141;18;5
1.7581751045955423e-193;18;6
8.554963328419919e-204;18;7
3.9414929562190132e-84;18;8
3.244217610353261e-205;18;9
1.258589770291812e-170;19;0
3.957840813350069e-204;19;1
3.348688099051305e-145;19;2
2.1319818013569e-198;19;3
9.4350529015522e-190;19;4
3.580974772738597e-191;19;5
7.870371687117285e-96;19;6
3.085664225372403e-118;19;7
2.1025981677158874e-99;19;8
4.0266582594816906e-171;19;9
4.88604756583933e-177;20;0
5.0041393419223304e-152;20;1
9.09207021939816e-68;20;2
1.1709665481251551e-188;20;3
3.45312400127244e-142;20;4
5.440165370053106e-152;20;5
5.482608944399082e-107;20;6
1.8231585881313419e-174;20;7
8.219719251694163e-58;20;8
2.14789780938018e-29;20;9
2.2672303486308068e-15;21;0
9.691795566749408e-11;21;1
9.42207437075347e-62;21;2
3.3613799483074586e-11;21;3
1.5657651688105042e-11;21;4
2.1146147422789408e-24;21;5
1.9901701211847307e-63;21;6
7.430911621161571e-175;21;7
4.526338297025836e-186;21;8
1.585319025460866e-57;21;9
2.2824531898011068e-64;22;0
3.5536588440352794e-49;22;1
5.0171164018815384e-61;22;2
6.361201475873483e-76;22;3
7.764664745308073e-22;22;4
3.398703884488933e-31;22;5
3.4966944037377943e-25;22;6
2.9834913511509466e-94;22;7
1.9832777238945524e-212;22;8
3.1642179548103073e-58;22;9
4.118727173087811e-13;23;0
1.1515227023901958e-152;23;1
1.7307297485517706e-145;23;2
5.4394196989257016e-11;23;3
2.0598600540715196e-13;23;4
4.030572984687063e-30;23;5
1.4786478832964686e-66;23;6
2.3173961884817985e-35;23;7
2.415456544059564e-97;23;8
1.0912923397323197e-144;23;9
3.243020634338437e-137;24;0
1.6084660033915848e-73;24;1
6.283371208450882e-253;24;2
7.182166090286564e-78;24;3
5.742816307004978e-155;24;4
2.909302019858197e-24;24;5
3.954469304693994e-134;24;6
3.060426255068396e-209;24;7
7.750085364842348e-152;24;8
2.769740008142184e-234;24;9
3.2045537680450745e-19;10;0
6.719366496476362e-73;10;1
1.14e-322;10;2
2.7353169404726607e-134;10;3
4.793883409722938e-223;10;4
9.10136726235372e-103;10;5
3.4123003972585865e-139;10;6
2.5608901337310485e-49;10;7
1.5956424377492093e-174;10;8
3.062269332684639e-256;10;9
4.383883919556773e-258;11;0
4.451899804055012e-241;11;1
5.967989693025992e-90;11;2
3.5102229017109766e-197;11;3
1.3977107200273213e-246;11;4
2.434702243568457e-249;11;5
8.75052458980471e-255;11;6
1.6007703580636786e-224;11;7
1.3901056509224782e-189;11;8
1.4238804796777078e-107;11;9
1.097518424024316e-18;12;0
1.1944306915443275e-61;12;1
4.3314008244658795e-63;12;2
1.343738478723975e-33;12;3
1.2921505731283287e-123;12;4
1.3812688638384574e-144;12;5
6.683205756661179e-52;12;6
2.1884229739247188e-197;12;7
2.1283914370646935e-79;12;8
1.072281298085172e-251;12;9
6.804845364311448e-43;13;0
1.649116289311736e-83;13;1
3.835058652937905e-73;13;2
8.029286652629139e-159;13;3
6.735573629520757e-90;13;4
2.1300512740878743e-196;13;5
6.965256076059577e-103;13;6
4.37061896370379e-173;13;7
2.606728873901066e-244;13;8
3.1859734824914604e-139;13;9
2.6941290737528862e-39;14;0
1.8874300305733712e-70;14;1
3.322204727177913e-11;14;2
3.823398576596994e-14;14;3
8.397366513464198e-55;14;4
4.0386896826966063e-54;14;5
8.173676810858383e-24;14;6
2.897271915153904e-118;14;7
4.076516416043113e-16;14;8
5.598050458881519e-115;14;9
3.8811625937152076e-126;5;0
8.697180804553093e-125;5;1
8.950478345421099e-223;5;2
2.0958574484857143e-80;5;3
9.471326250448753e-59;5;4
3.1573842396485996e-170;5;5
3.888245615484816e-111;5;6
2.535899835028633e-33;5;7
9.069689687708824e-127;5;8
5.30101993745984e-140;5;9
3.2851422400987915e-264;6;0
2.768965706680289e-238;6;1
0.0;6;2
1.1962076658406728e-144;6;3
6.653140998803848e-178;6;4
3.1499355005887007e-201;6;5
2.518561646723495e-232;6;6
3.4021491991675306e-308;6;7
4.64162867363434e-289;6;8
3.5070217864558305e-194;6;9
1.9828295510775947e-35;7;0
5.903549923689234e-42;7;1
1.541691597581164e-113;7;2
5.304169702313075e-17;7;3
2.2144994658034088e-127;7;4
1.316010955586621e-15;7;5
1.232733904847528e-51;7;6
3.767596242426547e-79;7;7
3.1798387630887654e-155;7;8
7.644295977476495e-135;7;9
7.483760526733453e-134;8;0
1.6932849409916475e-96;8;1
1.2126129215318238e-127;8;2
5.990521433710081e-228;8;3
4.324119077741938e-250;8;4
8.64452815551365e-114;8;5
8.985088914120197e-51;8;6
1.5532476344607108e-179;8;7
3.689145657651647e-148;8;8
3.691157516821194e-231;8;9
8.585150816042187e-173;9;0
2.0712502992372415e-26;9;1
4.281496046135357e-105;9;2
1.7076549641082538e-113;9;3
1.0475761221086883e-64;9;4
8.514571106481327e-24;9;5
2.767619560769455e-47;9;6
4.340945237611066e-27;9;7
1.0743159192954424e-136;9;8
2.831074729038323e-200;9;9
1.039404925913875e-116;25;0
5.743830394022408e-146;25;1
1.3870633536897566e-171;25;2
2.4112586700450287e-124;25;3
1.2081513575676408e-110;25;4
3.932490206426665e-14;25;5
2.4908415005059044e-69;25;6
1.32698314884958e-16;25;7
3.9446345358328184e-72;25;8
4.161499993961935e-194;25;9
3.1021123376196464e-262;26;0
1.1639875176141176e-138;26;1
3.3113247970808666e-193;26;2
1.0645225093543518e-160;26;3
9.503724010211559e-140;26;4
4.1852429289462846e-220;26;5
4.815460370817042e-206;26;6
5.8529179920785e-160;26;7
4.623929709865149e-120;26;8
7.387127151552606e-177;26;9
5.320813325561908e-22;27;0
1.0027312299486522e-06;27;1
8.322574718456206e-13;27;2
1.0671899864499626e-34;27;3
1.716660793759434e-28;27;4
8.86466581916766e-09;27;5
4.9580556839733e-14;27;6
2.2483860265404993e-18;27;7
7.283307174499551e-12;27;8
1.8700835732797278e-25;27;9
1.7573720998024625e-186;28;0
8.09645155449399e-121;28;1
1.4406879285711587e-133;28;2
1.6975467696522945e-177;28;3
2.2860326572354962e-148;28;4
6.543325315444583e-126;28;5
1.305882095056482e-89;28;6
5.652160068474653e-205;28;7
2.612957242834009e-116;28;8
9.767105516757613e-177;28;9
8.353297180145508e-12;29;0
8.749451748766869e-23;29;1
1.2762113094839217e-14;29;2
1.3066651890494e-88;29;3
7.515588956301013e-18;29;4
1.95587907750003e-15;29;5
6.1823288562113635e-21;29;6
3.652688088578576e-17;29;7
1.7344962809934776e-08;29;8
7.01426159333147e-126;29;9
1.0745467269785348e-166;30;0
4.1926173276294614e-146;30;1
1.1084108090019761e-235;30;2
1.8890548345301096e-222;30;3
1.0856291629218465e-113;30;4
1.2041323323854154e-72;30;5
4.698943977253616e-191;30;6
5.748477471785965e-220;30;7
1.593992591964739e-193;30;8
2.7410489585646787e-257;30;9
9.601082494705423e-141;31;0
4.489212486150312e-44;31;1
1.7115903273129978e-169;31;2
3.622658226523753e-38;31;3
1.9984499831968014e-112;31;4
1.2617421993427452e-67;31;5
1.0126195258201872e-105;31;6
3.796151637771701e-122;31;7
3.4569442515681715e-58;31;8
1.9533530204388053e-120;31;9
7.19314691404108e-20;32;0
2.5637071036584704e-17;32;1
4.7814121413790505e-15;32;2
4.0985910019600086e-16;32;3
1.645978289885033e-10;32;4
3.7239158064380465e-23;32;5
3.9413466465151536e-12;32;6
8.983708795258727e-19;32;7
3.1655510842187745e-10;32;8
1.3805024294907032e-57;32;9
1.888040923392347e-159;33;0
2.054781925825193e-124;33;1
1.21294701911256e-127;33;2
2.91853783705046e-159;33;3
2.5666376132513827e-171;33;4
3.1128887745556366e-183;33;5
5.479392156679318e-45;33;6
5.7532556994181106e-208;33;7
3.9706217300027395e-176;33;8
3.1623932805029602e-52;33;9
1.7459660078365573e-22;34;0
1.8962296242035683e-136;34;1
3.2413913177109466e-141;34;2
7.041118193549691e-159;34;3
9.852697169252584e-99;34;4
3.2926058260582545e-147;34;5
4.235764523386247e-213;34;6
2.1365545686979587e-130;34;7
2.4121869399090568e-155;34;8
9.322013273947105e-113;34;9
1.6598255410730473e-79;40;0
1.771838508264017e-18;40;1
1.1393277243451558e-20;40;2
4.806334173573583e-114;40;3
8.048530944086326e-118;40;4
9.680521586110442e-55;40;5
2.446638911057539e-49;40;6
5.748481678082485e-35;40;7
1.3739865062267597e-18;40;8
8.605887113854463e-21;40;9
