estimations;id;iter
5.062947179500345e-89;10;0
3.5684045359372123e-88;10;1
1.6411462427988963e-284;10;2
1.070022281975637e-164;10;3
8.555861619007893e-151;10;4
1.560325850474199e-71;10;5
1.9663354620514735e-68;10;6
4.0704684276298933e-88;10;7
4.404133983245488e-108;10;8
1.5189803762482766e-149;10;9
5.532351821512618e-80;11;0
2.1946953430794076e-228;11;1
8.87537847995298e-109;11;2
1.3521598932143823e-287;11;3
5.594694090657564e-156;11;4
0.0;11;5
7.926372842335573e-134;11;6
5.729590064077976e-82;11;7
1.2156626098453119e-119;11;8
2.4389873564056238e-142;11;9
1.6538321597108788e-50;12;0
2.1589609069362343e-24;12;1
7.875606199585084e-41;12;2
3.8128017590760655e-94;12;3
1.4102716661563262e-58;12;4
1.281711431037865e-47;12;5
5.857146606922593e-71;12;6
3.091011139046412e-41;12;7
7.155212751796673e-82;12;8
9.346382951451444e-148;12;9
3.7206773690402456e-114;13;0
6.551749310913614e-79;13;1
2.700371923478487e-55;13;2
2.195081715306461e-144;13;3
0.0;13;4
2.382320625998199e-125;13;5
2.040921434303634e-133;13;6
2.0485121327803772e-129;13;7
2.5123974693027953e-163;13;8
2.6305511302443144e-79;13;9
1.7685447798607127e-38;14;0
7.337995908114698e-23;14;1
1.3864944567803308e-86;14;2
2.6919141616342257e-198;14;3
2.5841599681884645e-46;14;4
1.613831862145167e-56;14;5
3.9413061114162225e-17;14;6
6.085352817564336e-53;14;7
1.7569096277266286e-43;14;8
5.190020488013174e-29;14;9
0.0;15;0
0.0;15;1
5.306231469585762e-246;15;2
4.674631348004379e-138;15;3
1.1135907451675292e-158;15;4
2.8643773298631617e-134;15;5
2.820880415985235e-241;15;6
5.37345438733547e-122;15;7
1.6540458817090262e-152;15;8
2.4423446070921045e-78;15;9
5.684815776989172e-143;16;0
3.65637331956117e-44;16;1
1.3836717055450928e-58;16;2
7.467771711552978e-53;16;3
2.7014456934620115e-102;16;4
4.179152355591299e-55;16;5
2.925042996874273e-53;16;6
1.7618534020082978e-152;16;7
9.668993047575304e-138;16;8
1.8143046288613648e-50;16;9
3.441092740939075e-39;17;0
6.780410427903169e-50;17;1
3.0787335616718758e-49;17;2
2.0504453240983495e-51;17;3
2.8901069313047407e-56;17;4
1.2704982203293126e-66;17;5
5.377499985769426e-22;17;6
4.704587727728999e-69;17;7
3.748360057360342e-46;17;8
2.7891678662870067e-54;17;9
2.436978278837831e-101;18;0
8.818381082846735e-176;18;1
2.8667398598134556e-74;18;2
2.3030000134880797e-134;18;3
2.2537789308029382e-90;18;4
1.3583930888645593e-273;18;5
0.0;18;6
1.627491118049686e-118;18;7
2.609371294970885e-109;18;8
3.4993159297756767e-96;18;9
1.7953978594708037e-122;19;0
6.423511180591684e-101;19;1
1.3597442915358091e-76;19;2
2.4503784877293478e-197;19;3
6.81501862588635e-107;19;4
2.48915648023626e-124;19;5
1.5697468950576607e-75;19;6
5.173272981981627e-120;19;7
2.382952968688661e-95;19;8
1.0791389168088083e-240;19;9
8.542341784954001e-100;5;0
1.6100731000014163e-35;5;1
3.4760778868780857e-90;5;2
2.3649697325547548e-29;5;3
1.5493933337636417e-33;5;4
7.064706966995533e-63;5;5
1.9162204851813821e-63;5;6
2.7336723387945275e-87;5;7
1.9075528174859855e-143;5;8
8.893087194088206e-166;5;9
2.7970342426243083e-120;6;0
8.74498057755547e-133;6;1
7.57303973003312e-114;6;2
2.17601317933351e-151;6;3
6.252599205845968e-94;6;4
1.0244379219214435e-101;6;5
6.063977220509585e-79;6;6
7.645041e-317;6;7
3.8542337678121525e-146;6;8
3.8190766647139535e-249;6;9
1.3019094241241e-72;7;0
8.642697579834094e-59;7;1
1.3202192927541076e-92;7;2
3.921250606224472e-139;7;3
1.254692928750886e-87;7;4
5.527835525789556e-87;7;5
7.206714826130922e-78;7;6
8.837018307059988e-111;7;7
2.947685257699413e-44;7;8
1.40766895795262e-69;7;9
3.478044030930175e-130;8;0
2.51326033839555e-93;8;1
1.5612122561939757e-79;8;2
2.0002839987980978e-72;8;3
7.219173249466342e-103;8;4
1.1116684750459703e-79;8;5
7.029112511136436e-92;8;6
4.753056745309954e-83;8;7
8.003865847108064e-234;8;8
3.2895704226008433e-96;8;9
1.5919650345111213e-88;9;0
8.398684723750752e-302;9;1
0.0;9;2
1.4289764313503708e-160;9;3
5.050366293158194e-162;9;4
1.2360928326925992e-43;9;5
3.3803753812706925e-115;9;6
2.3285473713068394e-58;9;7
2.4355530601124864e-101;9;8
3.80090618787052e-134;9;9
4.1526405217406683e-66;0;0
9.742040943794985e-52;0;1
2.0751924032347855e-38;0;2
1.9884896625704067e-33;0;3
3.0011411642451123e-35;0;4
5.194002937994422e-41;0;5
3.586206382430825e-105;0;6
4.2212839178658316e-39;0;7
3.9158072802991533e-50;0;8
2.5017893616548577e-61;0;9
1.3649387539027335e-27;1;0
2.3312981306286785e-148;1;1
1.1843933083111564e-53;1;2
1.0695233328356103e-66;1;3
5.263609645607758e-62;1;4
5.4394795038579405e-34;1;5
1.320617324522666e-24;1;6
4.345682383857503e-33;1;7
1.5497035757882932e-110;1;8
3.469888805085748e-44;1;9
4.335064844099091e-70;2;0
1.451630184775086e-50;2;1
1.5732426413649205e-89;2;2
