estimations;id;iter
0.7;20;0
0.9;20;1
0.6;20;2
0.7;20;3
0.6;20;4
0.7;20;5
0.7;20;6
0.7;20;7
0.7;20;8
0.7;20;9
0.95;21;0
0.95;21;1
0.95;21;2
0.95;21;3
0.95;21;4
0.95;21;5
0.95;21;6
0.95;21;7
0.95;21;8
0.95;21;9
0.95;22;0
0.95;22;1
0.95;22;2
0.95;22;3
0.95;22;4
0.95;22;5
0.95;22;6
0.95;22;7
0.95;22;8
0.95;22;9
0.95;23;0
0.95;23;1
0.95;23;2
0.95;23;3
0.95;23;4
0.95;23;5
0.95;23;6
0.95;23;7
0.9;23;8
0.95;23;9
0.6;24;0
0.7;24;1
0.6;24;2
0.9;24;3
0.7;24;4
0.7;24;5
0.7;24;6
0.6;24;7
0.6;24;8
0.7;24;9
0.95;25;0
0.95;25;1
0.95;25;2
0.95;25;3
0.95;25;4
0.95;25;5
0.95;25;6
0.95;25;7
0.95;25;8
0.95;25;9
0.6;26;0
0.0;26;1
0.95;26;2
0.9;26;3
0.95;26;4
0.9;26;5
0.9;26;6
0.9;26;7
0.9;26;8
0.95;26;9
0.95;27;0
0.95;27;1
0.95;27;2
0.95;27;3
0.95;27;4
0.95;27;5
0.95;27;6
0.95;27;7
0.95;27;8
0.95;27;9
0.95;28;0
0.95;28;1
0.95;28;2
0.9;28;3
0.6;28;4
0.95;28;5
0.95;28;6
0.95;28;7
0.9;28;8
0.95;28;9
0.95;29;0
0.95;29;1
0.9;29;2
0.95;29;3
0.9;29;4
0.95;29;5
0.95;29;6
0.95;29;7
0.9;29;8
0.95;29;9
0.95;30;0
0.95;30;1
0.95;30;2
0.95;30;3
0.95;30;4
0.95;30;5
0.95;30;6
0.95;30;7
0.95;30;8
0.95;30;9
0.95;31;0
0.95;31;1
0.9;31;2
0.95;31;3
0.95;31;4
0.6;31;5
0.95;31;6
0.9;31;7
0.9;31;8
0.9;31;9
0.95;32;0
0.95;32;1
0.95;32;2
0.95;32;3
0.95;32;4
0.95;32;5
0.95;32;6
0.95;32;7
0.95;32;8
0.95;32;9
0.95;33;0
0.95;33;1
0.95;33;2
0.95;33;3
0.95;33;4
0.95;33;5
0.95;33;6
0.95;33;7
0.95;33;8
0.9;33;9
0.95;34;0
0.95;34;1
0.95;34;2
0.9;34;3
0.95;34;4
0.95;34;5
0.6;34;6
0.95;34;7
0.95;34;8
0.95;34;9
0.9;35;0
0.95;35;1
0.9;35;2
0.95;35;3
0.95;35;4
0.95;35;5
0.9;35;6
0.95;35;7
0.9;35;8
0.9;35;9
0.95;36;0
0.9;36;1
0.9;36;2
0.95;36;3
0.9;36;4
0.95;36;5
0.9;36;6
0.9;36;7
0.9;36;8
0.9;36;9
0.6;37;0
0.7;37;1
0.9;37;2
0.7;37;3
0.7;37;4
0.7;37;5
0.7;37;6
0.7;37;7
0.7;37;8
0.7;37;9
0.9;38;0
0.95;38;1
0.0;38;2
0.9;38;3
0.9;38;4
