estimations;id;iter
0.95;20;0
0.95;20;1
0.95;20;2
0.95;20;3
0.95;20;4
0.95;20;5
0.85;20;6
0.95;20;7
0.95;20;8
0.95;20;9
0.0;21;0
1.0;21;1
1e-10;21;2
0.0;21;3
0.0;21;4
0.0;21;5
0.0;21;6
0.0001;21;7
0.01;21;8
0.0001;21;9
1.0;22;0
1.0;22;1
0.95;22;2
0.95;22;3
0.0;22;4
0.0;22;5
1.0;22;6
0.01;22;7
0.95;22;8
0.0;22;9
0.95;23;0
0.95;23;1
0.0;23;2
0.95;23;3
0.95;23;4
0.0;23;5
0.95;23;6
0.0;23;7
0.0;23;8
0.01;23;9
0.95;24;0
0.95;24;1
0.95;24;2
0.95;24;3
0.95;24;4
0.95;24;5
0.95;24;6
0.95;24;7
0.95;24;8
0.95;24;9
0.0;25;0
0.0;25;1
0.0;25;2
0.0;25;3
0.0;25;4
0.0;25;5
0.0;25;6
0.0;25;7
0.0;25;8
0.0;25;9
0.95;26;0
0.95;26;1
0.95;26;2
0.95;26;3
0.95;26;4
0.95;26;5
0.0;26;6
0.0;26;7
0.95;26;8
0.95;26;9
1.0;27;0
1.0;27;1
1.0;27;2
1.0;27;3
0.95;27;4
1.0;27;5
1.0;27;6
0.88;27;7
1.0;27;8
0.95;27;9
0.0;28;0
0.95;28;1
0.95;28;2
0.0;28;3
0.1;28;4
0.01;28;5
0.95;28;6
0.0;28;7
0.0001;28;8
0.95;28;9
1.0;29;0
1.0;29;1
1.0;29;2
1.0;29;3
0.95;29;4
0.0;29;5
0.95;29;6
1.0;29;7
0.95;29;8
1.0;29;9
1.0;30;0
1.0;30;1
1.0;30;2
1.0;30;3
1.0;30;4
1.0;30;5
1.0;30;6
1.0;30;7
1.0;30;8
1.0;30;9
0.85;31;0
0.85;31;1
0.85;31;2
0.95;31;3
0.95;31;4
0.95;31;5
0.95;31;6
0.1;31;7
0.95;31;8
0.85;31;9
0.95;32;0
1e-05;32;1
0.0;32;2
0.3839;32;3
0.95;32;4
0.95;32;5
0.3839;32;6
0.0;32;7
0.0;32;8
0.0;32;9
0.95;33;0
0.95;33;1
0.95;33;2
0.95;33;3
0.95;33;4
0.95;33;5
0.95;33;6
0.95;33;7
0.999;33;8
0.95;33;9
0.95;34;0
0.95;34;1
0.95;34;2
0.05;34;3
0.0;34;4
0.95;34;5
0.95;34;6
0.95;34;7
0.95;34;8
0.0;34;9
0.95;35;0
0.95;35;1
0.95;35;2
0.85;35;3
0.85;35;4
0.95;35;5
0.85;35;6
0.95;35;7
0.05;35;8
0.95;35;9
0.0;36;0
0.95;36;1
0.05;36;2
0.95;36;3
0.95;36;4
0.0;36;5
0.95;36;6
0.95;36;7
0.95;36;8
0.0;36;9
0.1;37;0
0.0;37;1
0.0;37;2
0.0001;37;3
0.0;37;4
0.0;37;5
0.0;37;6
0.0;37;7
0.0;37;8
0.1;37;9
0.95;38;0
0.0;38;1
0.0;38;2
0.0;38;3
0.95;38;4
0.0;38;5
0.95;38;6
1e-10;38;7
0.0;38;8
0.0;38;9
0.0;39;0
0.95;39;1
0.95;39;2
0.95;39;3
0.95;39;4
0.95;39;5
0.95;39;6
0.95;39;7
0.95;39;8
0.95;39;9
0.95;60;0
0.05;60;1
0.0;60;2
0.0;60;3
1e-10;60;4
0.0;60;5
0.95;60;6
0.0;60;7
0.95;60;8
0.95;60;9
0.95;61;0
0.85;61;1
0.85;61;2
0.95;61;3
0.95;61;4
0.95;61;5
0.95;61;6
0.95;61;7
0.85;61;8
0.95;61;9
0.95;62;0
0.95;62;1
0.95;62;2
0.95;62;3
0.95;62;4
0.95;62;5
0.95;62;6
0.95;62;7
0.95;62;8
0.95;62;9
0.95;63;0
0.95;63;1
0.95;63;2
0.0;63;3
0.95;63;4
0.0;63;5
0.95;63;6
0.95;63;7
0.0;63;8
0.95;63;9
0.0;64;0
0.0;64;1
0.95;64;2
0.0;64;3
0.95;64;4
0.0;64;5
0.95;64;6
0.95;64;7
0.0;64;8
0.0;64;9
0.0;65;0
0.95;65;1
0.0;65;2
0.95;65;3
0.95;65;4
0.0;65;5
0.0;65;6
0.95;65;7
0.95;65;8
0.0;65;9
0.95;66;0
0.95;66;1
0.95;66;2
0.85;66;3
0.95;66;4
0.95;66;5
0.85;66;6
0.0;66;7
0.95;66;8
0.85;66;9
0.0;67;0
0.95;67;1
0.0;67;2
0.95;67;3
0.0;67;4
0.0;67;5
0.95;67;6
0.0;67;7
0.0;67;8
0.0;67;9
1.0;68;0
1.0;68;1
1.0;68;2
1.0;68;3
1.0;68;4
1.0;68;5
1.0;68;6
1.0;68;7
1.0;68;8
1.0;68;9
0.95;69;0
0.05;69;1
0.95;69;2
0.0;69;3
0.0;69;4
0.0;69;5
0.0;69;6
0.95;69;7
0.01;69;8
0.0001;69;9
0.0;70;0
0.95;70;1
0.95;70;2
0.95;70;3
0.95;70;4
0.0;70;5
0.0;70;6
0.95;70;7
0.95;70;8
0.0;70;9
0.95;71;0
0.95;71;1
0.95;71;2
0.95;71;3
0.95;71;4
0.95;71;5
0.95;71;6
0.0;71;7
0.95;71;8
0.95;71;9
0.95;72;0
0.95;72;1
0.0;72;2
1e-10;72;3
0.95;72;4
0.0;72;5
0.95;72;6
0.01;72;7
0.95;72;8
0.95;72;9
0.0;73;0
0.0;73;1
0.95;73;2
0.0;73;3
0.95;73;4
0.0;73;5
0.0;73;6
0.05;73;7
0.95;73;8
0.0;73;9
0.95;74;0
0.95;74;1
0.95;74;2
0.95;74;3
0.95;74;4
0.95;74;5
0.95;74;6
0.95;74;7
0.05;74;8
0.95;74;9
1e-10;75;0
0.95;75;1
1e-10;75;2
1e-10;75;3
1e-10;75;4
0.0;75;5
0.0;75;6
0.0;75;7
0.0;75;8
0.0;75;9
0.0;76;0
0.95;76;1
0.95;76;2
0.0;76;3
1e-10;76;4
0.0;76;5
0.0;76;6
0.95;76;7
0.0;76;8
0.0;76;9
0.95;77;0
0.95;77;1
0.95;77;2
0.95;77;3
0.95;77;4
0.95;77;5
0.95;77;6
0.95;77;7
0.95;77;8
0.95;77;9
0.0;78;0
0.95;78;1
0.95;78;2
0.95;78;3
0.0;78;4
0.95;78;5
0.0;78;6
0.95;78;7
0.95;78;8
0.95;78;9
0.95;79;0
0.95;79;1
0.95;79;2
0.99;79;3
0.95;79;4
0.95;79;5
0.95;79;6
0.0;79;7
0.0;79;8
0.0;79;9
0.95;40;0
0.95;40;1
0.95;40;2
0.95;40;3
0.95;40;4
0.95;40;5
0.95;40;6
0.95;40;7
0.95;40;8
0.95;40;9
0.5;41;0
0.0;41;1
0.5;41;2
0.0;41;3
0.0;41;4
0.0;41;5
0.0;41;6
0.05;41;7
0.0;41;8
0.5;41;9
0.0;42;0
0.95;42;1
0.0;42;2
0.0;42;3
0.0;42;4
0.0;42;5
0.0;42;6
0.0;42;7
0.0;42;8
0.0;42;9
0.0;43;0
0.95;43;1
0.95;43;2
0.95;43;3
