id;iter;estimations;token_probs
0;0;0.8807970842359876;[0.8131082737391133, 0.11004223196948776]
1;1;0.7490872131147276;[0.6353418604785407, 0.21281286617440778]
1;3;0.7122321964553657;[0.6350547622667075, 0.2565853031884143]
1;6;0.7606506526772883;[0.646145618590775, 0.20331873974049575]
1;7;0.7826624840223698;[0.6803572237107884, 0.1889283720599457]
1;9;0.787931185683219;[0.7072763576151389, 0.19036086054098228]
3;0;0.9173026550642018;[0.7566311218019554, 0.06821236646746305]
4;0;0.7549149868676284;[0.5649744853073396, 0.1834203606495415]
4;1;0.7057850278370112;[0.5446772689921275, 0.2270552664250325]
4;2;0.8633916117313211;[0.7970034502860941, 0.1261042559468844]
4;3;0.9073122288794594;[0.7292425833200824, 0.07449681322779064]
4;4;0.6723317123102956;[0.5545477230989477, 0.2702649593095417]
4;5;0.7772998611746912;[0.7324889140270775, 0.20986158751566908]
4;6;0.7549149868676283;[0.5366060844924151, 0.17421048932996563]
4;7;0.8840392741081574;[0.820523578822246, 0.10762927914892523]
4;8;0.7606506635289836;[0.6240067860289439, 0.196352435290748]
4;9;0.672331699179286;[0.5688550679119193, 0.2772378183915519]
6;0;0.5621765008857982;[0.5117786025148972, 0.3985735763977912]
6;1;0.7826624738835051;[0.6686729199663751, 0.18568376925685612]
6;2;0.8976952866333484;[0.7353475982977121, 0.08380296342073769]
6;3;0.7931059462938815;[0.6735090760295795, 0.17569534511595813]
6;5;0.6370308082623217;[0.5507867368026258, 0.3138288040140726]
6;6;0.6297746074044134;[0.4951734160285545, 0.291097434219582]
6;7;0.6992544210587585;[0.579320513205428, 0.24916264794250498]
12;3;0.8705972583359805;[0.6632363423133677, 0.09858129030937582]
14;6;0.9111797075998823;[0.7320860454422375, 0.07136253812050303]
16;0;0.8031737869342623;[0.6960164424449335, 0.17056617487584394]
16;7;0.909907001151883;[0.7594637177774053, 0.07519709570790001]
17;8;0.9390248123094437;[0.7585480094845458, 0.04925600116664018]
21;1;0.7826624840223698;[0.692815045252388, 0.19238778405888146]
21;2;0.8887587934924569;[0.6743011261650915, 0.08439868204199816]
21;4;0.9241418178895029;[0.8344335481002866, 0.06849447868884152]
21;5;0.8840392756357326;[0.7454965237557788, 0.09778786903285082]
21;7;0.9046505248181418;[0.8499856715594626, 0.08958784135076514]
21;8;0.9005297847831081;[0.8039044608335479, 0.088797229235668]
21;9;0.8902942144788076;[0.7763091376156513, 0.09566006648629265]
22;2;0.9207896748041438;[0.8384459391065605, 0.07212675957720982]
22;3;0.8558511414521923;[0.8179137803106489, 0.1377591640787551]
22;4;0.9334308119554228;[0.8162696344855687, 0.05821364165097137]
22;5;0.9294404018582427;[0.7175615340344996, 0.0544745562837921]
22;8;0.8872046011730965;[0.7888692817575712, 0.10029346685137144]
23;7;0.8311430562234877;[0.46423918138651127, 0.09431590478108712]
24;0;0.8479677660619633;[0.6197858054367289, 0.11112146514864785]
25;0;0.7718434978390747;[0.5444109239223351, 0.160927561724715]
25;2;0.8479677660619633;[0.40994788294251333, 0.0734996009711114]
25;3;0.9124361604769414;[0.8502885894996343, 0.08159971823159178]
25;6;0.7931059462938815;[0.7034756386360644, 0.18351259026746086]
25;8;0.9032941988938413;[0.8430759287872751, 0.09025889149574173]
26;1;0.9489172587090975;[0.8543616496697858, 0.04599256122532995]
26;4;0.9273632876167045;[0.6963072149988452, 0.054539000607051406]
26;5;0.9353465053359071;[0.8293148914444132, 0.05732432376982957]
26;6;0.90192066862062;[0.6684698844169736, 0.07269273406400494]
26;9;0.9284087985746093;[0.7070010630473039, 0.05451806961577099]
