estimations;id;iter
9.3964480794656e-16;5;0
5.2356592658548055e-11;5;1
6.70305408443166e-13;5;2
4.172656483947909e-13;5;3
1.0704788009841177e-08;5;4
2.0998923750005873e-12;5;5
2.3216797504648604e-10;5;6
1.7565943205663747e-12;5;7
1.4648765182749841e-15;5;8
3.4364483446838586e-09;5;9
1.7952178586951074e-52;6;0
1.703871511614172e-66;6;1
2.5324556864498585e-72;6;2
1.1733668011999496e-54;6;3
6.272595320053763e-44;6;4
3.033173715103377e-32;6;5
2.6892343222419342e-39;6;6
3.053351534325691e-83;6;7
1.1935657239791765e-72;6;8
8.561910605890484e-61;6;9
2.071615362222889e-17;7;0
2.9222610019371734e-11;7;1
7.414658277048937e-14;7;2
2.7890587387771767e-15;7;3
1.3179230038585475e-14;7;4
1.4112231144367022e-14;7;5
1.9507423187099835e-11;7;6
1.2724066255324275e-20;7;7
6.4241079536528515e-25;7;8
1.0720660309805053e-34;7;9
1.1351518473857391e-79;8;0
7.247608348436492e-78;8;1
2.5460691855599777e-116;8;2
5.569733780274523e-124;8;3
1.2831782973261881e-80;8;4
2.112661370996403e-63;8;5
3.91446773617804e-68;8;6
1.8048678115840766e-55;8;7
2.1011036667176304e-74;8;8
8.767270897208058e-82;8;9
2.250862627372969e-19;9;0
5.8558004017639865e-12;9;1
1.2966098355659918e-10;9;2
5.993626299084359e-13;9;3
2.273193680210786e-24;9;4
9.444025702237457e-08;9;5
3.599613017486576e-11;9;6
2.5103189192347223e-08;9;7
5.376916278639116e-13;9;8
7.574002086732234e-15;9;9
2.6892320897609233e-36;15;0
4.454823048089674e-24;15;1
3.843835119227658e-24;15;2
6.080855497004625e-51;15;3
8.177187382566432e-19;15;4
4.574777128597641e-18;15;5
6.109498134132286e-70;15;6
7.506620508805585e-62;15;7
2.7267108799418505e-32;15;8
9.704324023493237e-35;15;9
2.1526751183825453e-109;16;0
3.5589683397319787e-07;16;1
8.804965760214444e-70;16;2
6.795120424284578e-60;16;3
3.1669569692668053e-52;16;4
7.544064641204141e-57;16;5
7.244575429511456e-17;16;6
5.4680112126954565e-18;16;7
2.5539559543927105e-09;16;8
3.883952132453699e-124;16;9
2.6026527055697525e-13;17;0
2.2965322134575405e-28;17;1
1.2095574272999613e-09;17;2
1.1170198518209505e-09;17;3
2.595840883879569e-11;17;4
3.7484629957921666e-07;17;5
3.237565944545283e-27;17;6
1.2843345244604997e-28;17;7
1.8083623743087068e-09;17;8
3.743685130047095e-11;17;9
1.536126846237955e-12;18;0
9.475029748486707e-18;18;1
5.1135458189599166e-33;18;2
1.3519281362345157e-16;18;3
1.6653304845880338e-26;18;4
1.4736970213594538e-27;18;5
3.422467597282999e-28;18;6
1.057652748564297e-11;18;7
5.931298267876936e-20;18;8
2.549291936410441e-16;18;9
3.6007902782349816e-42;19;0
5.790446590292515e-29;19;1
1.4499586690071185e-26;19;2
5.065284080577073e-78;19;3
9.428067705725538e-49;19;4
1.0143178656583401e-48;19;5
5.71738000501249e-75;19;6
1.3684808755576618e-101;19;7
4.4024970035651654e-32;19;8
1.164107222639893e-59;19;9
1.391710319622451e-89;10;0
2.116144387478602e-113;10;1
1.3891853370732672e-63;10;2
1.4078216736445962e-72;10;3
1.6935978382982464e-71;10;4
4.045611697219697e-19;10;5
5.059022857743255e-26;10;6
