id;iter;estimations
0;0;0.93
0;1;0.93
0;2;0.97
0;3;0.86
0;4;0.93
0;5;0.93
0;6;0.93
0;7;0.97
0;8;0.86
0;9;0.97
1;0;0.71
1;1;0.32
1;2;0.62
1;3;0.66
1;4;0.45
1;5;0.71
1;6;0.27
1;7;0.42
1;8;0.71
1;9;0.27
2;0;0.78
2;1;0.86
2;2;0.86
2;3;0.86
2;4;0.86
2;5;0.93
2;6;0.78
2;7;0.93
2;8;0.78
2;9;0.93
3;0;0.97
3;1;0.78
3;2;0.93
3;3;0.86
3;4;0.97
3;5;0.86
3;6;0.86
3;7;0.93
3;8;0.93
3;9;0.93
4;0;0.95
4;1;0.95
4;2;0.97
4;3;0.95
4;4;0.86
4;5;0.93
4;6;0.86
4;7;0.96
4;8;0.97
4;9;0.97
5;0;0.93
5;1;0.86
5;2;0.93
5;3;0.93
5;4;0.97
5;5;0.97
5;6;0.93
5;7;0.86
5;8;0.86
5;9;0.86
6;0;0.78
6;1;0.92
6;2;0.92
6;3;0.92
6;4;0.86
6;5;0.86
6;6;0.86
6;7;0.62
6;8;0.88
6;9;0.92
7;0;0.97
7;1;0.92
7;2;0.86
7;3;0.85
7;4;0.86
7;5;0.78
7;6;0.93
7;7;0.86
7;8;0.93
7;9;0.92
8;0;0.2
8;1;0.42
8;2;0.62
8;3;0.27
8;4;0.22
8;5;0.15
8;6;0.2
8;7;0.27
8;8;0.42
8;9;0.45
9;0;0.78
9;1;0.71
9;2;0.78
9;3;0.78
9;4;0.66
9;5;0.62
9;6;0.78
9;7;0.85
9;8;0.78
9;9;0.78
10;0;0.71
10;1;0.78
10;2;0.78
10;3;0.78
10;4;0.78
10;5;0.55
10;6;0.71
10;7;0.66
10;8;0.71
10;9;0.71
11;0;0.78
11;1;0.71
11;2;0.78
11;3;0.71
11;4;0.75
11;5;0.71
11;6;0.71
11;7;0.78
11;8;0.78
11;9;0.78
12;0;0.78
12;1;0.78
12;2;0.78
12;3;0.78
12;4;0.73
12;5;0.86
12;6;0.78
12;7;0.78
12;8;0.86
12;9;0.78
13;0;0.86
13;1;0.97
13;2;0.86
13;3;0.86
13;4;0.93
13;5;0.86
13;6;0.78
13;7;0.85
13;8;0.78
13;9;0.78
14;0;0.93
14;1;0.93
14;2;0.75
14;3;0.97
14;4;0.86
14;5;0.86
14;6;0.93
14;7;0.95
14;8;0.86
14;9;0.93
15;0;0.71
15;1;0.75
15;2;0.78
15;3;0.78
15;4;0.71
15;5;0.71
15;6;0.62
15;7;0.66
15;8;0.78
15;9;0.78
16;0;0.78
16;1;0.71
16;2;0.75
16;3;0.75
16;4;0.86
16;5;0.62
16;6;0.71
16;7;0.78
16;8;0.78
16;9;0.65
17;0;0.86
17;1;0.93
17;2;0.86
17;3;0.93
17;4;0.93
17;5;0.97
17;6;0.93
17;7;0.86
17;8;0.78
17;9;0.78
18;0;0.78
18;1;0.78
18;2;0.78
18;3;0.78
18;4;0.62
18;5;0.78
18;6;0.71
18;7;0.78
18;8;0.78
18;9;0.78
19;0;0.92
19;1;0.62
19;4;0.78
19;6;0.65
19;8;0.78
19;9;0.75
20;0;0.71
20;1;0.42
20;2;0.71
20;3;0.42
40;9;0.73
41;0;0.97
41;1;0.97
41;2;0.97
41;3;0.97
41;4;0.97
41;5;0.97
41;6;0.97
41;7;0.97
41;8;0.86
41;9;0.97
42;0;0.78
42;1;0.93
42;2;0.93
42;3;0.78
42;4;0.78
42;5;0.93
42;6;0.78
42;7;0.78
