id;iter;estimations;token_probs
20;0;0.6791787056691697;[0.6522555142372368, 0.3081036795843561]
20;1;0.9999785550547945;[0.9889871738808775, 2.1209230583570473e-05]
20;2;0.9997694933119179;[0.9986001802411191, 0.00023023709145502815]
20;3;0.9993736657952542;[0.9908004449295739, 0.000620961137937183]
20;4;0.999512142826355;[0.9041986431129596, 0.0004413351029385976]
20;5;0.9994472212972165;[0.9985365857143759, 0.0005522750444157155]
20;6;0.9996200155418488;[0.8172652165878659, 0.0003106661287916429]
20;7;0.0006263340881549695;[0.0005840300791103409, 0.9318737271391722]
20;8;0.00048785702469004625;[0.00045491227487119213, 0.9320155695434749]
20;9;0.999195914000488;[0.9991091089189664, 0.0008040161445919396]
21;0;0.9997694932119019;[0.9463834975507208, 0.00021819811647650914]
21;1;0.003593602341316217;[0.0035363775502771197, 0.9805395480519592]
21;2;0.9992903297620523;[0.9519200609208535, 0.0006760290938687296]
21;3;0.9902915226231317;[0.9677041186678679, 0.009487038239713013]
21;4;0.9914225154416355;[0.9588234167899603, 0.00829544712130178]
21;5;0.9988304899220664;[0.9785288678678862, 0.0011457393262092545]
21;6;0.9980732649605721;[0.9895179802093427, 0.001910219451363182]
21;7;0.9997388097509428;[0.880587060412938, 0.0002300608432748655]
21;8;0.9993736658652088;[0.9620749957369197, 0.0006029580632760749]
21;9;0.99781728360435;[0.9953516839612249, 0.002177322918452702]
22;0;0.9997965729529967;[0.9973234246019823, 0.00020292383937133295]
22;1;0.9947798746159612;[0.9576527396051087, 0.005025300071573032]
22;2;0.9770226290864075;[0.8619825294782701, 0.02027188696681378]
22;3;0.9999599363180499;[0.9987898230529711, 4.0016801026183376e-05]
22;4;0.9999339478797501;[0.851894783862193, 5.627317366639297e-05]
22;5;0.9999885212360047;[0.9975134130080006, 1.1450352485934018e-05]
22;6;0.999999789756646;[0.9990886418330229, 2.1005179103772252e-07]
22;7;0.9990889486292758;[0.9038674954919671, 0.000824220628054015]
22;8;0.9999038975777661;[0.9963093618014388, 9.575694543781038e-05]
22;9;0.9998911030624794;[0.9993304923453833, 0.00010883588208157636]
23;0;0.9999957771671196;[0.9978128926266803, 4.213614884765331e-06]
23;1;0.9999251537444349;[0.9979979621604987, 7.470200169449763e-05]
23;2;0.9997965730268696;[0.9900807897103827, 0.00020145011859315097]
23;3;0.9999151889380575;[0.7057327812142293, 5.985902332967504e-05]
23;4;0.9994472214792317;[0.9986407184948344, 0.0005523324566669542]
23;5;0.9999417087360759;[0.8669833977520239, 5.0540504125975896e-05]
23;6;0.9991959142200091;[0.8347357870258943, 0.0006717393124260284]
23;7;0.9999785550501561;[0.9977955646195339, 2.1398134719657807e-05]
23;8;0.999993037741114;[0.9988225274021179, 6.954109433162449e-06]
23;9;0.9999546021414338;[0.996359063366773, 4.523462139487179e-05]
24;0;0.9975273767767489;[0.990846320747548, 0.0024560625406290447]
24;1;0.9989677689440383;[0.9948999063928077, 0.001028027743114952]
24;2;0.9988304896946916;[0.9952381990813521, 0.001165304165292405]
24;3;0.999915188971229;[0.9819105336628451, 8.32839059146745e-05]
24;4;0.9902915241542557;[0.9900883849502845, 0.009706484339195909]
24;5;0.9992903296979875;[0.9956959570275141, 0.0007071176709474717]
24;6;0.9990889489683596;[0.9315787865695895, 0.0008494897430653517]
24;7;0.00015843628785238266;[0.0001537923523821325, 0.9705351480841863]
24;8;0.0004305571839332368;[0.00024208065895421944, 0.5620076459459026]
24;9;0.9989677689017828;[0.6507198186511123, 0.0006723872921108175]
25;0;0.8807970842359877;[0.722302248352488, 0.0977529735366947]
25;1;0.9997694932693413;[0.9980687318613696, 0.00023011460331891692]
25;2;0.9998911030451262;[0.9967119681631568, 0.00010855071906205122]
25;3;0.99408893066217;[0.8885014666107112, 0.005283223275005393]
25;4;0.9997040430011157;[0.8517038968546877, 0.00025214235254513904]
25;5;0.9968273166391215;[0.9213295611905549, 0.002932390515270198]
25;6;9.610244664330318e-05;[9.328529254085944e-05, 0.9705926420605893]
25;7;0.9978172834004981;[0.9445528640689262, 0.00206620114705176]
25;8;0.9859363742997659;[0.9634775652043077, 0.013743268025008023]
25;9;0.9770226316789552;[0.9409153998994327, 0.022128207680594033]
26;0;0.9999724642962493;[0.996799374669985, 2.744832808874704e-05]
26;1;0.9999982396568391;[0.9770167295422398, 1.7198877455079135e-06]
26;2;0.999860177958205;[0.9705478368527213, 0.00013572295726948039]
26;3;0.0011695103912539504;[0.0011140495424116171, 0.9514636707950126]
26;4;0.9990889487242193;[0.6786303436161443, 0.0006188308269494113]
26;5;0.009708475908421799;[0.007556102089219794, 0.7707434127362857]
26;6;0.9998766054089538;[0.9991581380819032, 0.00012330592512320012]
26;7;0.9980732650143007;[0.9650539562771191, 0.001862992713886544]
26;8;0.9997388097426743;[0.9965557878322826, 0.0002603586658102942]
26;9;0.9996646498042807;[0.9950520269823668, 0.00033380283284474533]
27;0;0.9988304897697579;[0.7763566368973271, 0.0009090201375181423]
27;1;0.9902915224798686;[0.9764698073796804, 0.009572974178646845]
27;2;0.9997388097073511;[0.9965604049825876, 0.00026035990730011735]
27;3;0.9669140203003503;[0.9575775282296859, 0.03276650249626816]
27;4;0.9997694932659879;[0.9146904706203866, 0.000210890924793123]
27;5;0.9998415638528192;[0.9989300505669433, 0.00015829170764320358]
27;6;0.9998204720747856;[0.9147413390087397, 0.00016425110235962533]
27;7;0.9999417087342304;[0.9958686555111548, 5.805382850126888e-05]
27;8;0.999512142881759;[0.9909323504377484, 0.0004836693623976208]
27;9;0.9999038975898701;[0.9839971297479296, 9.457358447903306e-05]
28;0;0.987568347317383;[0.7472929054937656, 0.009407030792874025]
28;1;0.9995121429741747;[0.99544204119102, 0.0004858704288993685]
28;2;0.999447221264801;[0.9958537594472262, 0.0005507912472793981]
28;3;0.9964063966048945;[0.9672006918078785, 0.0034882711528873]
28;4;0.9998415637667345;[0.7771869668023534, 0.0001231540876330253]
28;5;0.9998204720072497;[0.966732322544699, 0.00017358667706104402]
28;6;0.015906393227962633;[0.01503472935525942, 0.9301656777885253]
28;7;0.9984988174975694;[0.8920154689410245, 0.0013410912365701701]
28;8;0.984093604906009;[0.9795770418641901, 0.01583339163593386]
28;9;0.9995694429515423;[0.9702496828983895, 0.00041792778148790896]
29;0;0.9971990724918168;[0.9440529386228459, 0.0026516509269933625]
29;1;0.9978172835627683;[0.9606332663007164, 0.002101376730035593]
29;2;0.9999921107374435;[0.9995042160804508, 7.88541339698035e-06]
29;3;0.999860177882611;[0.9996564377009447, 0.00013979362602172055]
29;4;0.9820137933278436;[0.9713700515503738, 0.017791259777647072]
29;5;0.989013056114531;[0.9524214381606633, 0.01058044768134691]
29;6;0.9994472214021808;[0.9573874766497356, 0.000529516012030825]
29;7;0.9994472213033908;[0.9835517923951391, 0.0005439871823734302]
29;8;0.9914225142694926;[0.9074139285527756, 0.007850669025365105]
29;9;0.9971990728455883;[0.8908776300938588, 0.0025022920832320317]
30;0;0.9996646497579559;[0.9981617211204057, 0.00033484606548601334]
30;1;0.9995121429834843;[0.9701924531992434, 0.00047354621850917054]
30;2;0.9998601778872453;[0.9957895682244609, 0.0001392528719189832]
30;3;0.9999038975873644;[0.7980873149339102, 7.670548804153899e-05]
30;4;0.998830489874198;[0.5306290203321187, 0.0006213026320422137]
30;5;0.9993736658209043;[0.9834425961258221, 0.0006163497520482518]
30;6;0.9998601778927138;[0.9874289678170832, 0.00013808370623044446]
30;7;0.9998766053759831;[0.9901691404209255, 0.00012219662720228464]
30;8;0.9964063976720229;[0.96349040397853, 0.0034748887269394455]
30;9;0.9980732651853368;[0.9939974629865544, 0.001918866664830822]
31;0;6.144173984220028e-06;[5.914824423711228e-06, 0.9626661121888357]
31;1;0.0013250225355224317;[0.000825080215560714, 0.6218663785643462]
31;2;0.0024726230923155334;[0.0024560801078201033, 0.9908534604578882]
31;3;0.9998415637879791;[0.8669065198384533, 0.00013737114974411656]
31;4;0.005911069020420922;[0.005775018002087945, 0.9712086683898384]
31;5;0.012431650853185818;[0.008087117234572757, 0.6424392955547872]
31;6;0.999915188944376;[0.8354187924739471, 7.085875928403123e-05]
31;7;0.9399133464597458;[0.9250613456062893, 0.05913719683446051]
31;8;0.0007096704519376317;[0.0006670478515328656, 0.9392732437466415]
31;9;0.00017952804657861041;[0.00017486773413579005, 0.9738664448538684]
32;0;0.9796676473993798;[0.9216329301421922, 0.019127880515129876]
32;1;0.9947798735326427;[0.8766259262187281, 0.004600111362502156]
32;2;0.9770226287937005;[0.9719902175798697, 0.022859020231495872]
32;3;0.9579122765900843;[0.9543937964479928, 0.04193313219873429]
32;4;0.9999339478685549;[0.998007104816304, 6.59248509473695e-05]
32;5;0.9924227582208921;[0.9896516459106931, 0.007556084074090034]
32;6;0.9997388097575087;[0.99116277271064, 0.0002589496800823012]
32;7;0.9980732653510002;[0.9307296819715033, 0.0017967309508851001]
32;8;0.9964063982622782;[0.9905173223848549, 0.003572362418761621]
32;9;0.9997965731098345;[0.9624690664922451, 0.00019583192655678604]
33;0;0.9997040428563831;[0.9987904176806276, 0.0002956866696708627]
33;1;0.9830850836359181;[0.936349903382329, 0.016110793019715852]
33;2;0.9996646498239502;[0.9899560026465221, 0.0003320932873114176]
33;3;0.9770226302572356;[0.903628074364225, 0.021251295242918255]
33;4;0.9971990732409799;[0.9552023437910572, 0.0026829665979408884]
33;5;0.9997388096995082;[0.998569630052884, 0.00026088484232582803]
33;6;0.9995121428926581;[0.9791938714367201, 0.00047793985600159115]
33;7;0.9959298628881331;[0.8488647557419279, 0.0034691157219463235]
33;8;0.9996200154212188;[0.9960261578504126, 0.0003786184492178774]
33;9;0.9999756997563147;[0.9819889274562849, 2.3863150113802677e-05]
34;0;0.9999485578054205;[0.851894783862193, 4.3825591717300003e-05]
34;1;0.0019267346418360258;[0.0018920932814038285, 0.98012859618978]
34;2;0.999860177930342;[0.973849259476369, 0.00013618466061606955]
34;3;0.0013250222594674832;[0.0007450151538950061, 0.5615211268461815]
34;4;0.974042642048694;[0.9162539270584419, 0.02441734081469183]
34;5;0.9988304898916046;[0.7973209426356197, 0.0009335667177609945]
34;6;0.9996200154173274;[0.8516343763286413, 0.0003237309458472159]
34;7;0.9999869928702979;[0.991408182242283, 1.2895542548114243e-05]
34;8;0.9999724643005768;[0.96687138099841, 2.6624212844398256e-05]
34;9;0.9997040430114489;[0.9944843785243902, 0.0002944117350397806]
35;0;0.9971990724918169;[0.9600364026076492, 0.0026965451965389824]
35;1;0.9984988177900286;[0.9938824029759539, 0.0014942417112254731]
35;2;0.9999251537471183;[0.9988921056115713, 7.476892731217242e-05]
35;3;0.9991959139925377;[0.9867790830194851, 0.0007940937728037886]
35;4;0.9999251537998339;[0.9992987070935114, 7.479930950097228e-05]
35;5;0.9996200154229875;[0.8929960049303414, 0.00033945369637655725]
35;6;0.9770226317625857;[0.9675063445107283, 0.022753566629006815]
35;7;0.9993736657327325;[0.9968975771775338, 0.0006247824361916368]
35;8;0.999933947827588;[0.9858696387100483, 6.512313287616964e-05]
35;9;0.9994472213733671;[0.9870191906281048, 0.000545904877204099]
36;0;0.9994472212931002;[0.9520481894286111, 0.0005265630398949108]
36;1;0.9997040428327547;[0.9856179299309622, 0.0002917870469964369]
36;2;0.914900963114118;[0.8766689951444261, 0.08154291028459562]
36;3;0.9989677688244749;[0.9948993166294321, 0.0010280272529132413]
36;4;0.8175744584140004;[0.5162572465797879, 0.1151925758391598]
36;5;0.9740426456278625;[0.9164128851257438, 0.024421573446682634]
36;6;0.9914225140794153;[0.8275385033877302, 0.007159611326903331]
36;7;0.0011695104565290087;[0.0011258242066618815, 0.9615198711582315]
36;8;0.9241418126663687;[0.9058320402813456, 0.07435522953583211]
36;9;0.9999339478649565;[0.9958612074513387, 6.578310407365065e-05]
