id;iter;estimations;token_probs
(0, 0);0;0.8902942494084691;[0.0985547348061227, 0.012144323254293404]
(5, 0);0;0.9695556550861343;[0.2542470061276179, 0.007983433965097425]
(10, 0);0;0.9748211582993981;[0.20321735539956554, 0.005248939847948075]
(15, 0);0;0.5698526514141571;[0.11499903466447231, 0.08680582555525033]
(10, 0);3;0.9722043774187549;[0.3013048775418979, 0.008614399248313127]
(10, 0);4;0.9766692284751635;[0.4974268940941331, 0.01188258304660446]
(10, 0);5;0.9600626857930734;[0.3878112456806152, 0.016132425310262048]
(10, 0);6;0.9626731040886339;[0.25639634296820485, 0.009941567459796756]
(10, 0);7;0.9778834163543046;[0.276267868993993, 0.006248292312802497]
(10, 0);8;0.9559813451206063;[0.16469617228843425, 0.007583520332195542]
(10, 0);9;0.965899566434755;[0.31339842041083626, 0.011064320128146923]
(10, 1);0;0.9390248054838516;[0.2597614147209084, 0.016867502006228614]
(10, 1);1;0.9700134939339985;[0.3725996333295602, 0.011518356429984906]
(10, 1);2;0.9549844735244715;[0.17478799199759043, 0.008239059062744414]
(10, 1);3;0.9124361604769413;[0.31152788031364975, 0.02989642289547601]
(10, 1);4;0.9376689641180753;[0.2994404735480596, 0.01990514308936255]
(10, 1);5;0.9563089368691216;[0.4760032434743895, 0.021747248153123483]
(10, 1);6;0.9390248191350352;[0.34762363156781023, 0.022572794004856858]
(10, 1);7;0.8991213772699435;[0.10165190480610793, 0.011405027634715294]
(10, 1);8;0.8723473614033683;[0.17523633925405835, 0.025642745164963687]
(10, 1);9;0.9167080865454067;[0.2071901607258064, 0.018825256577424513]
(10, 2);0;0.9588471107825551;[0.22353216959731556, 0.00959380750958903]
(10, 2);1;0.9224823435231173;[0.1493256018237986, 0.0125480674905632]
(10, 2);2;0.952925824178976;[0.21663734922016267, 0.010701803233611562]
(10, 2);3;0.916109622750986;[0.13779603678887908, 0.012618316872303184]
(10, 2);4;0.8418256472515683;[0.08454281966701926, 0.015885125172911203]
(10, 2);5;0.9066531013022859;[0.09664602508888279, 0.009950450398890524]
(10, 2);6;0.9462003444031792;[0.19362589752185852, 0.011009303328748913]
