estimations;id;iter
2.0574034754235224e-11;(0, 0);0
8.885906624155344e-23;(0, 0);1
1.907320593903761e-16;(0, 0);2
3.002573837143043e-18;(0, 0);3
2.8819948341892273e-17;(0, 0);4
7.734501931753432e-13;(0, 0);5
2.0381866589329005e-14;(0, 0);6
8.61192648971394e-16;(0, 0);7
1.6249912030263433e-10;(0, 0);8
2.3468934006209014e-09;(0, 0);9
1.074190343056653e-13;(0, 1);0
5.82420795514938e-16;(0, 1);1
5.786009762938682e-05;(0, 1);2
6.11236848187708e-11;(0, 1);3
7.527029587997071e-11;(0, 1);4
2.7547522937000017e-12;(0, 1);5
1.831049720267148e-11;(0, 1);6
5.1291074766159065e-12;(0, 1);7
1.0415380347385067e-11;(0, 1);8
2.215889838873241e-10;(0, 1);9
1.6498375404148617e-10;(0, 2);0
1.3868388292332368e-06;(0, 2);1
2.8474757611014426e-15;(0, 2);2
7.993062060243638e-15;(0, 2);3
7.619559884877115e-13;(0, 2);4
4.2090729652569715e-10;(0, 2);5
1.256908404184752e-16;(0, 2);6
5.36764610450073e-16;(0, 2);7
1.6058405855658073e-12;(0, 2);8
2.2966824158986777e-19;(0, 2);9
3.7125569469719765e-12;(0, 3);0
1.4165343763446705e-16;(0, 3);1
1.2675785964894941e-09;(0, 3);2
7.240144301262777e-14;(0, 3);3
1.5483017893295176e-22;(0, 3);4
9.820534698787418e-19;(0, 3);5
3.562219192843636e-13;(0, 3);6
6.101734948829886e-12;(0, 3);7
8.700606748292088e-15;(0, 3);8
2.4550850876282354e-12;(0, 3);9
6.844842164458562e-17;(1, 0);0
9.158868902095674e-18;(1, 0);1
1.0813119806936674e-13;(1, 0);2
1.0682816021609616e-09;(1, 0);3
8.607621745532854e-13;(1, 0);4
2.232782313154643e-15;(1, 0);5
9.469816279195042e-09;(1, 0);6
1.974881871591045e-16;(1, 0);7
1.046774672947475e-10;(1, 0);8
1.4338889245663012e-11;(1, 0);9
4.991660067413646e-10;(1, 1);0
1.1017708057404835e-08;(1, 1);1
5.003058286399418e-11;(1, 1);2
1.694860594937079e-13;(1, 1);3
1.4447308492210532e-10;(1, 1);4
9.463417750061215e-12;(1, 1);5
1.568462377606985e-11;(1, 1);6
7.717312292666987e-13;(1, 1);7
1.224564119354788e-10;(1, 1);8
7.289544551071441e-17;(1, 1);9
2.1590784081158923e-11;(1, 2);0
2.987709470385238e-06;(1, 2);1
1.5438374957398084e-16;(1, 2);2
5.4958590118449385e-11;(1, 2);3
3.7973233642984456e-10;(1, 2);4
2.5017719293730268e-11;(1, 2);5
1.0015771881360895e-07;(1, 2);6
3.5424011239334453e-09;(1, 2);7
9.2728957805787e-09;(1, 2);8
1.5122267588924355e-09;(1, 2);9
3.683329822698566e-09;(1, 3);0
5.2280332478214e-11;(1, 3);1
3.3226948986205434e-13;(1, 3);2
3.993535819844276e-08;(1, 3);3
3.5013854486018068e-12;(1, 3);4
1.0308458777793622e-11;(1, 3);5
4.583105641705739e-07;(1, 3);6
1.1966881061642468e-12;(1, 3);7
1.879296069633096e-11;(1, 3);8
3.1222978541873634e-11;(1, 3);9
2.3462779052634633e-15;(2, 0);0
2.902328278694795e-09;(2, 0);1
7.361574554502599e-17;(2, 0);2
6.321070375002935e-09;(2, 0);3
5.342213555947243e-15;(2, 0);4
