correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[0.00013970633026756603, 0.9990328376434832];486;0;1.0;True;0
1;(0, 0);False;[0.00020284973349980726, 0.9969596597261408];700;0;1.0;True;1
1;(0, 0);False;[9.59366508191271e-05, 0.9981794183894163];368;0;1.0;True;2
1;(0, 0);False;[0.00029537129253227797, 0.9977255456877199];624;0;1.0;True;3
1;(0, 0);False;[0.0001224560778343935, 0.9922714186919265];479;0;1.0;True;4
1;(0, 0);False;[0.00013942602033640026, 0.9970281492023444];703;0;1.0;True;5
1;(0, 0);False;[9.575384057620573e-05, 0.9962769401573338];551;0;1.0;True;6
1;(0, 0);False;[0.0002296697608926642, 0.9961391126258801];330;0;1.0;True;7
1;(0, 0);False;[0.0003335810241579151, 0.9943907765773384];729;0;1.0;True;8
1;(0, 0);False;[0.00015798887255497095, 0.9970185505452064];388;0;1.0;True;9
1;(0, 1);True;[0.5297531752018538, 0.4675055362499905];409;0;0.5;True;0
1;(0, 1);False;[0.03710826677087185, 0.9570347852368056];525;0;0.5;False;1
1;(0, 1);False;[0.18169172275049464, 0.8142858201555899];476;0;0.5;False;2
1;(0, 1);True;[0.7735818542506467, 0.22163491861204593];631;0;0.5;True;3
1;(0, 1);False;[0.4053744914905277, 0.5898164048239368];568;0;0.5;False;4
1;(0, 1);False;[0.37562342126709275, 0.6192983059596826];484;0;0.5;False;5
1;(0, 1);True;[0.6185393222233253, 0.3751630743470494];437;0;0.5;True;6
1;(0, 1);True;[0.6732721862223602, 0.3180312711403331];789;0;0.5;True;7
1;(0, 1);True;[0.7686359128008072, 0.22021788918245075];474;0;0.5;True;8
1;(0, 1);False;[0.43639359649607473, 0.5603404695807345];609;0;0.5;False;9
1;(0, 2);False;[0.0001572284691895566, 0.9922196598133965];490;0;1.0;True;0
1;(0, 2);False;[0.0001396072390777645, 0.9983235140059301];753;0;1.0;True;1
