estimations;id;iter
9.580269944009807e-43;(0, 0);0
1.480768425926159e-66;(0, 0);1
3.2579243422049604e-28;(0, 0);2
7.841179541449112e-114;(0, 0);3
3.8091393456236247e-42;(0, 0);4
6.551806840806798e-63;(0, 0);5
2.7334695631624446e-54;(0, 0);6
5.246609174105647e-44;(0, 0);7
5.9237736287573784e-58;(0, 0);8
7.199004859116855e-43;(0, 0);9
3.574087868904895e-55;(0, 1);0
4.1492624466547596e-51;(0, 1);1
1.346720029203314e-38;(0, 1);2
2.7104374808665325e-79;(0, 1);3
1.5865405228593297e-81;(0, 1);4
5.906133425110951e-39;(0, 1);5
1.0184603849744545e-35;(0, 1);6
4.214346979760054e-50;(0, 1);7
7.401190703192382e-48;(0, 1);8
7.972310060109233e-43;(0, 1);9
4.009070853833658e-123;(0, 2);0
8.853922173755336e-66;(0, 2);1
5.986594073679014e-45;(0, 2);2
1.768462252140268e-40;(0, 2);3
2.4749330467752134e-44;(0, 2);4
1.4285987041275316e-39;(0, 2);5
1.3219629954292133e-76;(0, 2);6
1.2729443663585931e-75;(0, 2);7
3.1421508842986154e-38;(0, 2);8
1.0498568848576315e-51;(0, 2);9
6.316177560676917e-31;(0, 3);0
7.704196230134525e-41;(0, 3);1
6.17518830701949e-68;(0, 3);2
9.544880451002216e-56;(0, 3);3
2.2134908383891525e-68;(0, 3);4
4.129636989942906e-38;(0, 3);5
3.636934254533237e-27;(0, 3);6
5.8899641049266034e-64;(0, 3);7
2.2960842179576607e-47;(0, 3);8
7.576998977887298e-62;(0, 3);9
6.70609666932518e-55;(1, 0);0
1.2514386885547456e-52;(1, 0);1
1.0572011638914347e-34;(1, 0);2
1.4410704269725525e-32;(1, 0);3
7.996516815073344e-53;(1, 0);4
1.871116246374078e-48;(1, 0);5
7.867125464322252e-36;(1, 0);6
2.153243866542615e-59;(1, 0);7
5.055184233082046e-54;(1, 0);8
4.06359385633557e-32;(1, 0);9
1.5850857222967804e-91;(3, 3);0
3.889135667535996e-72;(3, 3);1
1.8504137776767254e-44;(3, 3);2
2.3228970686249946e-109;(3, 3);3
3.4222313259712705e-81;(3, 3);4
3.306688704266444e-105;(3, 3);5
4.219840759812218e-105;(3, 3);6
2.4157570771817523e-110;(3, 3);7
7.941227952623466e-68;(3, 3);8
5.065053119096201e-86;(3, 3);9
3.844546785117759e-70;(4, 0);0
4.57495992487233e-75;(4, 0);1
5.264762792381123e-190;(4, 0);2
9.258313211764309e-75;(4, 0);3
1.0152719269686273e-64;(4, 0);4
7.666765360107288e-150;(4, 0);5
3.0542994130890684e-69;(4, 0);6
1.6173303048317236e-277;(4, 0);7
2.3848745529586613e-101;(4, 0);8
9.170256096386324e-64;(4, 0);9
2.0968653642771703e-99;(4, 1);0
7.958786363848581e-147;(4, 1);1
2.5183479943816408e-188;(4, 1);2
2.5802049412510436e-87;(4, 1);3
5.627373857116276e-161;(4, 1);4
6.489614990313493e-91;(4, 1);5
1.693048355824145e-85;(4, 1);6
9.46245758613331e-136;(4, 1);7
3.8913064915307826e-71;(4, 1);8
1.446323218519407e-37;(4, 1);9
9.175164268623211e-32;(4, 2);0
5.236605435979245e-46;(4, 2);1
1.5865281224162136e-72;(4, 2);2
1.8699478549758016e-57;(4, 2);3
1.2280594923524755e-54;(4, 2);4
1.2035577448548054e-61;(4, 2);5
4.5910878825240214e-58;(4, 2);6
4.3594107087899845e-53;(4, 2);7
3.31459708784704e-106;(4, 2);8
3.18844336101159e-107;(4, 2);9
2.864205181697737e-69;(4, 3);0
5.822452882588418e-72;(4, 3);1
1.3391938748295747e-92;(4, 3);2
1.2329142678682616e-70;(4, 3);3
1.8738235712507256e-73;(4, 3);4
3.96119956698303e-69;(4, 3);5
3.140456209517096e-47;(4, 3);6
6.450199839410437e-72;(4, 3);7
3.97490797461663e-52;(4, 3);8
2.3323070578699254e-76;(4, 3);9
1.1851997900036414e-27;(1, 1);0
4.657681124598269e-68;(1, 1);1
1.1085785813969722e-36;(1, 1);2
2.3266592404984308e-57;(1, 1);3
6.49043542132089e-38;(1, 1);4
2.0242525258814043e-26;(1, 1);5
3.593704827584111e-44;(1, 1);6
8.865302788495286e-43;(1, 1);7
4.163400360731728e-52;(1, 1);8
6.1988416010241224e-30;(1, 1);9
6.299367699331216e-31;(1, 2);0
2.3631364475168975e-33;(1, 2);1
2.2958651642635407e-20;(1, 2);2
2.7345726517394796e-20;(1, 2);3
1.290819806183195e-32;(1, 2);4
2.020848607434634e-35;(1, 2);5
1.9293847134954296e-61;(1, 2);6
5.642236165468874e-78;(1, 2);7
2.130000346372733e-71;(1, 2);8
2.9969138473826798e-50;(1, 2);9
5.2833469904204136e-43;(1, 3);0
3.1077165017131817e-44;(1, 3);1
2.1654291517813048e-38;(1, 3);2
6.039392110833542e-57;(1, 3);3
3.1474682809864664e-33;(1, 3);4
2.843909135021832e-31;(1, 3);5
8.288274617483175e-26;(1, 3);6
3.972424193677012e-35;(1, 3);7
1.1268196898144858e-20;(1, 3);8
4.372186174561088e-80;(1, 3);9
8.849879530173748e-26;(2, 0);0
1.5844513631470188e-27;(2, 0);1
1.7494053573604881e-31;(2, 0);2
1.869537628761821e-97;(2, 0);3
4.559990685572423e-78;(2, 0);4
1.1931601675948089e-89;(2, 0);5
8.536448580535212e-35;(2, 0);6
5.194824875901371e-41;(2, 0);7
3.1501461080915156e-39;(2, 0);8
6.655260678175256e-43;(2, 0);9
2.164290738395616e-35;(2, 1);0
3.854405563075036e-33;(2, 1);1
2.405414255489803e-41;(2, 1);2
9.429787392579946e-38;(2, 1);3
3.336589413538149e-61;(2, 1);4
2.895385835165311e-31;(2, 1);5
1.5120342300901983e-29;(2, 1);6
1.7188271338558832e-68;(2, 1);7
2.7138310335990012e-36;(2, 1);8
9.891682270096367e-24;(2, 1);9
1.1973345271473884e-40;(5, 0);0
2.438457214164045e-22;(5, 0);1
1.975634546514343e-43;(5, 0);2
3.547044345847293e-43;(5, 0);3
1.2799132635899317e-77;(5, 0);4
4.8397218670744893e-39;(5, 0);5
3.361159254954546e-23;(5, 0);6
9.009536709262297e-21;(5, 0);7
2.3613064223637554e-23;(5, 0);8
1.5059691246420414e-28;(5, 0);9
6.844547819544526e-35;(5, 1);0
4.279791677161018e-31;(5, 1);1
2.1573340865360798e-30;(5, 1);2
1.8908143287917e-35;(5, 1);3
1.2185273918177815e-39;(5, 1);4
1.863657164224085e-22;(5, 1);5
3.5922474769080555e-70;(5, 1);6
1.146632353405344e-45;(5, 1);7
3.95341347557903e-19;(5, 1);8
5.840127695901e-26;(5, 1);9
8.106679235341872e-29;(5, 2);0
1.6898387731848692e-22;(5, 2);1
9.319902609894387e-35;(5, 2);2
1.9089389469085246e-27;(5, 2);3
2.2552843895029002e-33;(5, 2);4
6.5308383693293986e-40;(5, 2);5
7.925187191046859e-32;(5, 2);6
5.430991617831091e-39;(5, 2);7
3.0439225139439307e-41;(5, 2);8
1.110386076520597e-25;(5, 2);9
2.0899429219552304e-45;(5, 3);0
1.23696662010182e-28;(5, 3);1
2.2766617354536333e-48;(5, 3);2
1.690400204373101e-32;(5, 3);3
5.570492870597626e-26;(5, 3);4
1.1022459830427783e-23;(5, 3);5
1.4133503230959932e-23;(5, 3);6
3.0241917903640983e-44;(5, 3);7
2.174561225106719e-24;(5, 3);8
1.581474903022433e-60;(5, 3);9
1.6307953213765626e-24;(6, 0);0
5.508840963192082e-21;(6, 0);1
9.745305688327596e-31;(6, 0);2
1.6308965051612637e-43;(6, 0);3
2.2397572482649712e-43;(6, 0);4
3.0756939450017473e-50;(6, 0);5
2.9318191314647434e-34;(6, 0);6
6.8269999202681435e-43;(6, 0);7
2.2600115444748124e-41;(6, 0);8
3.51521912339174e-30;(6, 0);9
4.60072815231427e-34;(2, 2);0
3.4881282025083223e-50;(2, 2);1
5.072363720248047e-47;(2, 2);2
6.690446697504197e-45;(2, 2);3
3.2114812470858484e-158;(2, 2);4
3.1777904735569365e-55;(2, 2);5
2.6423661089973613e-143;(2, 2);6
5.685387635104562e-50;(2, 2);7
3.5342522480599624e-51;(2, 2);8
1.1747200930555885e-137;(2, 2);9
8.370665699924296e-109;(2, 3);0
2.1821956103931225e-32;(2, 3);1
2.1180075543155053e-58;(2, 3);2
6.433371412140861e-49;(2, 3);3
4.384630115558508e-60;(2, 3);4
3.1038819722304246e-61;(2, 3);5
2.6348487823145267e-45;(2, 3);6
6.62355567725571e-38;(2, 3);7
3.1714138084855485e-44;(2, 3);8
7.57918305148205e-49;(2, 3);9
3.0897029584071933e-57;(3, 0);0
1.8074067358712377e-85;(3, 0);1
8.989564892918297e-49;(3, 0);2
1.595470954407458e-186;(3, 0);3
2.8029341895622407e-99;(3, 0);4
1.228228188710544e-131;(3, 0);5
5.705095990615717e-65;(3, 0);6
5.549660293955067e-59;(3, 0);7
8.267992016893613e-112;(3, 0);8
8.959709387642536e-57;(3, 0);9
1.0143309241537743e-64;(3, 1);0
1.9474513262298906e-54;(3, 1);1
9.142246787587713e-51;(3, 1);2
1.0413507810944598e-87;(3, 1);3
2.4597735534316955e-41;(3, 1);4
7.962583961436453e-77;(3, 1);5
1.7508082040718468e-136;(3, 1);6
2.2789316670052127e-91;(3, 1);7
2.3427825802931943e-145;(3, 1);8
4.904200458011324e-89;(3, 1);9
4.5391743222945477e-104;(3, 2);0
3.288427009577717e-78;(3, 2);1
1.4949054812485987e-103;(3, 2);2
8.783060889996592e-58;(3, 2);3
6.826309740626783e-56;(3, 2);4
7.741544913164152e-114;(3, 2);5
4.978392766108378e-64;(3, 2);6
2.2771395237595828e-92;(3, 2);7
1.5303664621651232e-83;(3, 2);8
3.757567256202231e-81;(3, 2);9
1.0437857568450952e-40;(8, 3);0
2.236600110564568e-28;(8, 3);1
9.701410792754238e-30;(8, 3);2
1.0282301680369078e-55;(8, 3);3
1.6871767688779294e-58;(8, 3);4
9.927382290448732e-35;(8, 3);5
5.482338822707137e-64;(8, 3);6
1.7462409320434e-39;(8, 3);7
2.250771781510967e-24;(8, 3);8
3.2711137984641165e-38;(8, 3);9
5.5498870189127e-54;(9, 0);0
5.734074142340138e-46;(9, 0);1
1.6201702262593779e-38;(9, 0);2
3.448838959261084e-22;(9, 0);3
8.013591363069568e-59;(9, 0);4
3.660884679835019e-28;(9, 0);5
3.969629022687469e-44;(9, 0);6
1.1456361744513109e-30;(9, 0);7
1.1837901384760108e-40;(9, 0);8
6.789326399989682e-40;(9, 0);9
2.766557872794875e-65;(9, 1);0
6.005812149690788e-38;(9, 1);1
7.170931040022082e-25;(9, 1);2
7.077682674051552e-42;(9, 1);3
2.257288193181948e-45;(9, 1);4
5.636473690267515e-26;(9, 1);5
