correct_answer_idx;id;model_guessed_its_correct;yes_no_probabilities;answer_token_len;reasoning_token_len;frequency_of_answer;is_correct;iter
1;(0, 0);False;[2.14078505860593e-05, 0.998248669405907];384;0;1.0;True;0
1;(0, 0);False;[2.743566145777852e-05, 0.9963397737095677];413;0;1.0;True;1
1;(0, 0);False;[2.7519726297336728e-05, 0.9993926401360812];342;0;1.0;True;2
1;(0, 0);False;[1.8883211332515546e-05, 0.9977650636718045];516;0;1.0;True;3
1;(0, 0);False;[1.887163545927107e-05, 0.9971534212064658];454;0;1.0;True;4
1;(0, 0);False;[1.297447900774502e-05, 0.9974771176064744];376;0;1.0;True;5
1;(0, 0);False;[1.4716515609120806e-05, 0.9984608771972726];557;0;1.0;True;6
1;(0, 0);False;[1.8892397867546026e-05, 0.9982510452354159];396;0;1.0;True;7
1;(0, 0);False;[1.889628998244601e-05, 0.99845624240801];407;0;1.0;True;8
1;(0, 0);False;[1.8877755565413084e-05, 0.9974769989301863];419;0;1.0;True;9
1;(0, 1);True;[0.9302452060863052, 0.06738673369874733];395;0;1.0;True;0
1;(0, 1);True;[0.9496417301310021, 0.047279874924908566];477;0;1.0;True;1
1;(0, 1);True;[0.7938306692842712, 0.2007118165867289];719;0;1.0;True;2
1;(0, 1);True;[0.8785575491894676, 0.11889982767223868];505;0;1.0;True;3
1;(0, 1);True;[0.7536166553211813, 0.24466349930082792];468;0;1.0;True;4
1;(0, 1);True;[0.9652646129390372, 0.03302954069632648];531;0;1.0;True;5
1;(0, 1);True;[0.9652739443210213, 0.03302985569207494];826;0;1.0;True;6
1;(0, 1);True;[0.9672537777863816, 0.029208531453537228];468;0;1.0;True;7
1;(0, 1);True;[0.9610376086121696, 0.037263471276343135];432;0;1.0;True;8
1;(0, 1);True;[0.9307223522586945, 0.06742130106396683];508;0;1.0;True;9
1;(0, 2);False;[2.139760414809671e-05, 0.9977707601684905];583;0;1.0;True;0
1;(0, 2);False;[2.1419307092256483e-05, 0.9987830446250203];436;0;1.0;True;1
1;(0, 2);False;[2.142220792878321e-05, 0.9989180362915617];434;0;1.0;True;2
1;(0, 2);False;[4.000222541708911e-05, 0.9984261764292797];428;0;1.0;True;3
1;(0, 2);False;[2.1407891418332785e-05, 0.9982503325092118];542;0;1.0;True;4
1;(0, 2);False;[2.1419347946381545e-05, 0.9987851852252029];430;0;1.0;True;5
1;(0, 2);False;[2.1397481710373954e-05, 0.9977648262507246];550;0;1.0;True;6
1;(0, 2);False;[1.6659672029164272e-05, 0.9974836411081556];474;0;1.0;True;7
1;(0, 2);False;[3.105705850886157e-05, 0.995326882559317];403;0;1.0;True;8
1;(0, 2);False;[2.138434413380458e-05, 0.9971521173525442];452;0;1.0;True;9
1;(0, 3);False;[1.8864581799358433e-05, 0.9967806604041217];474;0;1.0;True;0
