estimations;id;iter
6.148836361065512e-30;(0, 0);0
1.1597018054696398e-25;(0, 0);1
1.3883860723150784e-27;(0, 0);2
8.570570080191427e-43;(0, 0);3
9.746834650346842e-27;(0, 0);4
2.187193573922984e-31;(0, 0);5
9.907915360477737e-58;(0, 0);6
4.8930224437859447e-20;(0, 0);7
4.387321419097386e-39;(0, 0);8
1.473228530639166e-35;(0, 0);9
2.4965998536498197e-25;(0, 1);0
1.1483613916063498e-34;(0, 1);1
2.4995513419586664e-79;(0, 1);2
3.3668190175757523e-40;(0, 1);3
2.0936630594619996e-34;(0, 1);4
9.893157139069822e-33;(0, 1);5
1.6656189222114322e-81;(0, 1);6
1.539584464101304e-39;(0, 1);7
4.1610671908450895e-33;(0, 1);8
1.3505860977552526e-35;(0, 1);9
2.2690752499110103e-36;(0, 2);0
3.1719726591186237e-24;(0, 2);1
1.4995473808828378e-27;(0, 2);2
5.379647014911569e-30;(0, 2);3
3.9976278907167856e-48;(0, 2);4
3.1545400469597253e-49;(0, 2);5
1.1092345429899177e-50;(0, 2);6
1.5304749312611117e-43;(0, 2);7
3.2119684499268687e-37;(0, 2);8
1.4842954423288179e-37;(0, 2);9
3.0911423924131196e-37;(0, 3);0
3.009677606426047e-32;(0, 3);1
8.652636580538593e-29;(0, 3);2
1.2628882291369263e-38;(0, 3);3
3.1250848705386263e-41;(0, 3);4
2.4403567198296996e-34;(0, 3);5
6.778564422445187e-29;(0, 3);6
1.8499771535575987e-37;(0, 3);7
7.488365561785163e-34;(0, 3);8
3.254149171055649e-26;(0, 3);9
6.116115315640851e-25;(1, 0);0
2.4092785264481878e-30;(1, 0);1
1.2337628143018547e-34;(1, 0);2
5.112439618249455e-35;(1, 0);3
3.729333288640325e-45;(1, 0);4
1.259182843888659e-34;(1, 0);5
1.302270815649008e-35;(1, 0);6
3.007659172687759e-23;(1, 0);7
1.419205611884144e-25;(1, 0);8
9.492375582310694e-31;(1, 0);9
4.589551488002772e-42;(1, 1);0
2.0140612247192742e-25;(1, 1);1
3.0005834979755943e-23;(1, 1);2
8.78871702753625e-25;(1, 1);3
7.050390304514899e-22;(1, 1);4
2.1421916974499105e-30;(1, 1);5
7.554263738707643e-37;(1, 1);6
1.0276831961525652e-39;(1, 1);7
1.0772156506699123e-29;(1, 1);8
2.0805965418711778e-20;(1, 1);9
6.351573342269055e-19;(1, 2);0
2.0734295673980143e-37;(1, 2);1
2.5361414551860055e-31;(1, 2);2
1.740512413836565e-29;(1, 2);3
1.1012171256782657e-14;(1, 2);4
4.772225234829172e-34;(1, 2);5
3.789074187131539e-18;(1, 2);6
1.3128684633861595e-21;(1, 2);7
4.794706957892998e-17;(1, 2);8
9.842062710308853e-27;(1, 2);9
1.6025353973478254e-24;(1, 3);0
2.573701626525256e-13;(1, 3);1
4.9650362813100076e-17;(1, 3);2
4.4006891701007424e-38;(1, 3);3
2.7342493034810833e-47;(1, 3);4
9.142186266945437e-30;(1, 3);5
2.338212867784442e-16;(1, 3);6
7.223750788441795e-37;(1, 3);7
1.3195590825728382e-34;(1, 3);8
6.478120104760005e-25;(1, 3);9
1.0362512391512506e-22;(2, 0);0
2.641556618582939e-28;(2, 0);1
3.355493842444019e-24;(2, 0);2
2.1364215861992477e-40;(2, 0);3
2.506445273419788e-24;(2, 0);4
7.234483225555941e-49;(2, 0);5
7.646026140299465e-31;(2, 0);6
2.4094475748958038e-28;(2, 0);7
3.6442514027334206e-26;(2, 0);8
1.73906272243481e-26;(2, 0);9
3.5791590527204023e-20;(2, 1);0
2.7675748306422975e-43;(2, 1);1
9.392489461244266e-16;(2, 1);2
7.312223055521963e-32;(2, 1);3
4.343384395630908e-24;(2, 1);4
5.159841887915293e-41;(2, 1);5
2.7553425389442307e-24;(2, 1);6
3.545852519615851e-34;(2, 1);7
