id;iter;estimations
(0, 0);0;9.476998619609552e-44
(0, 0);1;7.565440985771183e-63
(0, 0);2;4.893089781882283e-28
(0, 0);3;4.624251721730074e-53
(0, 0);4;7.619839631375342e-27
(0, 0);5;2.4641213127850545e-51
(0, 0);6;1.8347153565639338e-53
(0, 0);7;7.940044267543919e-24
(0, 0);8;6.764672079611061e-23
(0, 0);9;1.1951819244577996e-30
(0, 1);0;2.9050637695476725e-51
(0, 1);1;1.9296219924370972e-06
(0, 1);2;4.068210986629973e-65
(0, 1);3;4.54769588635261e-10
(0, 1);4;2.4387134141468766e-47
(0, 1);5;1.009609894594588e-34
(0, 1);6;6.971544076225378e-29
(0, 1);7;8.939672630099194e-53
(0, 1);8;1.4922309985031816e-15
(0, 1);9;7.126731437367112e-45
(0, 2);0;2.99299043760576e-38
(0, 2);1;2.1366137215671422e-38
(0, 2);2;8.02582533487197e-30
(0, 2);3;7.317711607097604e-51
(0, 2);4;2.8696076145848272e-56
(0, 2);5;6.246815280448885e-41
(0, 2);6;4.886359021752763e-38
(0, 2);7;1.3268787577868616e-39
(0, 2);8;6.555717999690055e-42
(0, 2);9;4.684583892109588e-44
(0, 3);0;7.539595081373949e-53
(0, 3);1;1.5962479921385263e-33
(0, 3);2;1.5480176224963024e-21
(0, 3);3;2.252191662579261e-72
(0, 3);4;3.703588853004108e-42
(0, 3);5;1.229976004091587e-60
(0, 3);6;3.786186812732437e-34
(0, 3);7;5.366408305336898e-40
(0, 3);8;6.1250973484973225e-31
(0, 3);9;3.0539751859545305e-37
(1, 0);0;8.31895044504135e-16
(1, 0);1;4.814096063363368e-13
(1, 0);2;3.7329845549559817e-16
(1, 0);3;5.823612089643003e-07
(1, 0);4;2.1306243426801258e-13
(1, 0);5;1.386634608842596e-20
(1, 0);6;1.3250491362472944e-31
(1, 0);7;5.549451625877196e-17
(1, 0);8;1.9429485148547058e-26
(1, 0);9;1.1491084026199312e-27
(1, 1);0;3.468387891624569e-44
(1, 1);1;6.97964955831827e-30
(1, 1);2;4.973873328487022e-33
(1, 1);3;1.585057278058249e-21
(1, 1);4;7.501830618326859e-33
(1, 1);5;4.080329329457331e-40
(1, 1);6;1.3457420724474329e-21
(1, 1);7;3.816903731586666e-48
(1, 1);8;3.6575725208576645e-30
(1, 1);9;9.596504373352114e-22
(1, 2);0;4.2739636059428475e-20
(1, 2);1;1.8054534257615617e-35
(1, 2);2;1.4254502559789486e-20
(1, 2);3;2.9040375323748823e-42
(1, 2);4;6.90806504264063e-36
(1, 2);5;2.5539313094009644e-17
(1, 2);6;1.3695824117042643e-12
(1, 2);7;1.84352997719855e-13
(1, 2);8;1.2044883170760289e-08
(1, 2);9;1.3068336236584976e-31
(1, 3);0;3.83404491565458e-38
(1, 3);1;3.034680856047628e-23
(1, 3);2;8.668331785353349e-49
(1, 3);3;4.034915098848871e-71
(1, 3);4;3.346859713667771e-44
(1, 3);5;2.6486051419413705e-49
(1, 3);6;3.577199837827268e-44
(1, 3);7;1.589406341297052e-20
(1, 3);8;9.847004094189456e-33
(1, 3);9;2.8866117389179277e-30
(2, 0);0;3.1688890767385067e-17
(2, 0);1;5.1180395427488805e-26
(2, 0);2;2.6255592255800057e-16
(2, 0);3;1.0687382637977308e-26
(3, 3);0;1.1960171560181404e-40
(2, 0);4;1.1251189792912066e-14
(3, 3);1;1.6431027183390957e-30
(2, 0);5;9.09772235902225e-16
(3, 3);2;2.5604500041821638e-21
(2, 0);6;6.6821954369542e-26
(3, 3);3;2.4332875522573425e-52
(2, 0);7;5.62796208694806e-11
(3, 3);4;2.0664518131827252e-28
(2, 0);8;5.084667675176059e-34
(3, 3);5;4.869335735447773e-53
(2, 0);9;9.3831458502968e-16
(3, 3);6;5.385270213786119e-43
(2, 1);0;3.2170536141837264e-29
(3, 3);7;5.763958424696104e-69
(2, 1);1;1.4581378430946413e-41
(3, 3);8;1.0777999787274622e-40
(2, 1);2;1.451092046683755e-25
(3, 3);9;2.8469902809603345e-59
(2, 1);3;1.4216797221868943e-32
(4, 0);0;2.2130472144282518e-73
(2, 1);4;9.579945737127632e-11
(4, 0);1;4.491085225748486e-87
(2, 1);5;6.270010055747616e-19
(4, 0);2;4.0128182336846155e-70
(2, 1);6;1.43725139912097e-16
(4, 0);3;4.0391958440040327e-69
(2, 1);7;1.5601710611615615e-15
(4, 0);4;1.2997691889326752e-57
(2, 1);8;1.3771612446699693e-11
(4, 0);5;1.0947553616296633e-61
(2, 1);9;1.467305747316201e-25
(4, 0);6;6.502495316007163e-66
(2, 2);0;1.0644119072068736e-40
(4, 0);7;8.191879812247727e-125
(2, 2);1;9.248222386018374e-42
(4, 0);8;3.6056761851498414e-52
(2, 2);2;2.4704576462221978e-18
(4, 0);9;1.48830919742923e-54
(2, 2);3;8.478547484248012e-45
(4, 1);0;4.511432779409166e-105
(2, 2);4;3.444389530434149e-23
(4, 1);1;1.1476513085104117e-77
(2, 2);5;5.999605885058107e-26
(4, 1);2;3.58962803791511e-111
(2, 2);6;1.5932239128052578e-10
(4, 1);3;2.142074298756567e-49
(2, 2);7;4.542165730963381e-22
(4, 1);4;6.587445390264685e-63
(2, 2);8;4.574965600185885e-31
(4, 1);5;3.1289774113454605e-27
(2, 2);9;7.550701785995422e-31
(4, 1);6;3.374386909388947e-68
(2, 3);0;1.2400398537667394e-18
(4, 1);7;1.3764307432986918e-91
(2, 3);1;6.296501736430053e-54
(4, 1);8;5.836212175930112e-90
(2, 3);2;1.2308972760094621e-52
(4, 1);9;3.404616694584856e-25
(2, 3);3;4.026929504382257e-31
(4, 2);0;1.9470951392000282e-30
(2, 3);4;3.038385697227292e-22
(4, 2);1;9.757311049621268e-81
(2, 3);5;3.9046901927777954e-59
(4, 2);2;1.0884025816539262e-57
(2, 3);6;1.3186490115573433e-36
(4, 2);3;9.57272360238775e-99
(2, 3);7;5.055825675262226e-30
(4, 2);4;3.824233083474754e-49
(2, 3);8;3.893403486597987e-20
(4, 2);5;6.065629140170972e-65
(2, 3);9;1.8325145900172436e-21
(4, 2);6;9.762719588814151e-68
(3, 0);0;1.1658165695965854e-58
(4, 2);7;2.128184364360885e-43
(3, 0);1;4.0112855721475524e-57
(4, 2);8;1.6260193974038807e-55
(3, 0);2;2.397033272115965e-24
(4, 2);9;1.4039857169032721e-37
(3, 0);3;3.524538695791839e-59
(4, 3);0;3.636889563537886e-70
(3, 0);4;1.4781169766649928e-58
(4, 3);1;3.5462047630682566e-102
(3, 0);5;1.6469472388502059e-62
(4, 3);2;3.6977281259726775e-70
(3, 0);6;1.466080858165893e-65
(4, 3);3;6.902523113458879e-51
(3, 0);7;1.394577822704244e-38
(4, 3);4;3.7729220022403387e-53
(3, 0);8;2.6057307028526546e-24
(4, 3);5;2.136151352702338e-73
(3, 0);9;3.005627587070012e-27
(4, 3);6;1.1081323040853887e-67
(3, 1);0;7.073952103412524e-23
(4, 3);7;2.5260552611489857e-85
(3, 1);1;2.0814364294217498e-36
(4, 3);8;2.762207631980054e-84
(3, 1);2;1.0556372156616178e-62
(4, 3);9;2.6476307999830853e-125
(3, 1);3;3.4230854289645814e-59
(5, 0);0;1.2011739048442773e-07
(3, 1);4;1.2899937932280268e-54
(5, 0);1;3.3477917787837404e-27
(3, 1);5;6.647614274159076e-39
(5, 0);2;7.04782346276646e-08
(3, 1);6;8.904723058689114e-101
(5, 0);3;4.665212077793015e-14
(3, 1);7;9.271420526585285e-26
(5, 0);4;1.2988496430495886e-07
(3, 1);8;1.8839281898188306e-40
(5, 0);5;8.3002812554363e-09
(3, 1);9;1.8195386401333764e-23
(5, 0);6;4.6121656150941954e-32
(3, 2);0;1.2077309875138844e-40
(5, 0);7;0.00016308446627619279
(3, 2);1;3.998489350984995e-24
(5, 0);8;6.200971832097832e-42
(3, 2);2;3.753244355851557e-44
(5, 0);9;4.3862320279476645e-06
(3, 2);3;5.761470997169987e-18
(5, 1);0;2.497325336435724e-17
(3, 2);4;3.422942397019958e-55
(5, 1);1;8.486327416730386e-66
(3, 2);5;1.2289168612144093e-59
(5, 1);2;9.334296441414029e-58
(3, 2);6;1.523174754519313e-19
(5, 1);3;3.4528415669051147e-16
(3, 2);7;2.2965958734487245e-31
(5, 1);4;2.1705503514542775e-25
(3, 2);8;3.202234235304803e-22
(5, 1);5;5.362849036995123e-32
(3, 2);9;2.134705591836741e-17
(7, 2);0;1.1853671024970125e-33
(7, 2);1;5.816604081361123e-69
(5, 1);6;9.916736608194619e-18
(7, 2);2;1.506620569059351e-27
(5, 1);7;8.645298966802949e-47
(7, 2);3;2.9802413653662654e-54
(5, 1);8;5.903061007380875e-18
(7, 2);4;2.9181203104622865e-20
(5, 1);9;3.9854222894731304e-20
(7, 2);5;5.763512434020884e-58
(5, 2);0;3.4066015128175338e-31
(7, 2);6;6.340652014129487e-25
(5, 2);1;4.722763450698474e-59
(7, 2);7;1.479626189662513e-22
(5, 2);2;1.9799256585761537e-17
(7, 2);8;8.792350340519654e-46
(5, 2);3;3.0597341587528204e-39
(7, 2);9;1.9952919962609108e-14
(5, 2);4;9.180802962303153e-44
(7, 3);0;1.7212993448590963e-12
(5, 2);5;3.7864599254347394e-41
(7, 3);1;1.25289848360599e-63
(5, 2);6;2.3241354193279147e-38
(7, 3);2;1.0511230117326505e-22
(5, 2);7;4.848169970128684e-28
(7, 3);3;2.9959585300819505e-59
(5, 2);8;1.5807066533777153e-33
(7, 3);4;8.146218171944125e-41
(5, 2);9;6.80413922256702e-37
(7, 3);5;1.2589664330584576e-32
(5, 3);0;3.244691441017396e-33
(7, 3);6;1.2470883643452682e-21
(5, 3);1;2.839328262647056e-10
(7, 3);7;3.4549241863890967e-32
(5, 3);2;1.0463848749485976e-30
(7, 3);8;6.124906372375553e-28
(5, 3);3;1.6904319240418563e-28
(7, 3);9;4.139048661381397e-25
(5, 3);4;4.5455218913989333e-14
(8, 0);0;2.383948174313556e-48
(5, 3);5;1.0200566650440306e-09
(8, 0);1;1.4751681268129034e-34
(5, 3);6;1.74189299209454e-19
