id;iter;estimations;token_probs
(0, 0);0;0.9999885212315308;[0.9322153645345551, 1.07008071649833e-05]
(0, 0);1;0.9998766054668736;[0.9858008202306491, 0.00012165744383137828]
(5, 0);0;0.9999987901341926;[0.9932971512554902, 1.2017577139294733e-06]
(5, 0);2;0.9997694932608366;[0.9703716840731915, 0.00022372878366446237]
(5, 0);4;0.9999993524054817;[0.9933062078305674, 6.432600718133951e-07]
(5, 0);5;0.9999989322968447;[0.9988293064468629, 1.06645434088567e-06]
(5, 0);6;0.996827316656794;[0.9825026941703542, 0.0031270912026205816]
(5, 0);7;0.9975273772844114;[0.6777470362746048, 0.0016799666409933786]
(5, 0);8;0.9999852610249917;[0.9991596851615652, 1.472680668690827e-05]
(5, 0);9;0.9999485577770597;[0.7310233711188905, 3.7607401840032814e-05]
(5, 1);0;0.9999151889314233;[0.970356642523377, 8.230396404004114e-05]
(5, 1);1;0.9998911030678159;[0.9931900137987317, 0.00010816712464651308]
(5, 1);2;0.99970404294821;[0.9767290340822691, 0.00028915542291105023]
(5, 1);3;0.9998204720443611;[0.9838451387768383, 0.0001766594217347693]
(5, 1);4;0.9999038976088428;[0.8174671926442953, 7.856810248817978e-05]
(5, 1);5;0.9999977396746579;[0.817571080607408, 1.8479808094428628e-06]
(5, 1);6;0.9991959141661343;[0.939144004157305, 0.00075576008568151]
(5, 1);7;0.999981074860778;[0.7772682000991257, 1.471018729204897e-05]
(5, 1);8;0.9998601779849613;[0.9950934580028985, 0.00013915542944230297]
(5, 1);9;0.9998766054072374;[0.9912909089682787, 0.00012233503350295386]
(5, 2);0;0.9999930377462397;[0.5621736208595977, 3.914022656167268e-06]
(5, 2);1;0.9999785550458272;[0.6224477357737634, 1.3348649429791065e-05]
(5, 2);2;0.9999967112521106;[0.5621746931217074, 1.8488569158553098e-06]
(5, 2);3;0.9999993524051729;[0.9399121663761553, 6.08682651104657e-07]
(5, 2);4;0.9999992661789758;[0.5621760669605245, 4.125369200022345e-07]
(5, 2);5;0.9999952149072164;[0.8175694115712027, 3.912164211482843e-06]
(5, 2);6;0.9999986290423795;[0.9525706877788608, 1.3059358338977039e-06]
(5, 2);7;0.9997040430000135;[0.969809637061919, 0.00028710692204617853]
(5, 2);8;0.9999984465022136;[0.9975225465797765, 1.5496514754005776e-06]
(5, 2);9;0.9999997897565587;[0.5621763685353482, 1.1819391918102001e-07]
(5, 3);0;0.9999945777809088;[0.9046437792397092, 4.905203367626673e-06]
(5, 3);1;0.9999869928687232;[0.9241265338389031, 1.2020391492872099e-05]
(5, 3);2;0.9999977396748937;[0.6791769355188836, 1.5351641489139923e-06]
(5, 3);3;0.9999967112504935;[0.817569009541093, 2.6887885194218956e-06]
(5, 3);4;0.9999986290424356;[0.9046478772427954, 1.2402355507006646e-06]
(5, 3);5;0.9999485578077201;[0.5621575706805718, 2.892010555621227e-05]
(5, 3);6;0.99998107484555;[0.731038599827242, 1.3835280245507519e-05]
(5, 3);7;0.9999993524054189;[0.9770188915091725, 6.327125494973284e-07]
(5, 3);8;0.999903897578773;[0.5621154872097489, 5.4025851345216334e-05]
(5, 3);9;0.16451645675203386;[0.15359163665212236, 0.7800027263946223]
(6, 0);0;0.9996200154633154;[0.9789631545595442, 0.0003721322652229827]
(6, 0);1;0.9994115912734526;[0.9790403902955895, 0.0005764150769536739]
(6, 0);2;0.9999945777833883;[0.990241725913697, 5.3693342495971e-06]
(6, 0);3;0.9993736659165086;[0.8332114576912071, 0.0005221958037376425]
(6, 0);4;0.9998601779605486;[0.9768641573512653, 0.00013660623931079663]
(6, 0);5;0.9998911031263786;[0.9979425173465579, 0.00010868465561212595]
(6, 0);6;0.9986749774743366;[0.9028768452883352, 0.0011979194281330915]
(6, 0);7;0.9999921107356872;[0.9971514062235329, 7.86685306734254e-06]
(6, 0);8;0.9999898700066229;[0.9979885825788498, 1.010972014340255e-05]
(6, 0);9;0.9999984465018086;[0.9980713442918248, 1.55050443690087e-06]
(6, 1);0;0.9999945777790907;[0.6224548035117521, 3.3751057511666595e-06]
(6, 1);1;0.9999756997648239;[0.9706551981750996, 2.3587722777769916e-05]
(6, 1);2;0.9999151889431123;[0.8806790488231019, 7.469765609669513e-05]
(6, 1);3;0.9840936054891428;[0.7487031688475929, 0.01210166178175627]
(6, 1);4;0.9999810748500267;[0.9947542023804927, 1.8826228755819577e-05]
(6, 1);5;0.9999339478541611;[0.9239795517027689, 6.103486358488488e-05]
(6, 1);6;0.99996879807697;[0.9993322780676066, 3.118206176188779e-05]
(6, 1);7;0.9999832985828181;[0.9626350704492611, 1.60776384247997e-05]
(6, 1);8;0.9997965729552697;[0.777150464384564, 0.00015812558930179116]
(6, 1);9;0.9999993524054913;[0.6224588661061307, 4.0310120463290607e-07]
(6, 2);0;0.9999038976288894;[0.8175008865666545, 7.85713244746445e-05]
(6, 2);1;0.9999898700124908;[0.9241323381475153, 9.361543874504117e-06]
(6, 2);2;0.9975273769903807;[0.6964756758845811, 0.0017263904946931835]
(6, 2);3;0.9964063981655698;[0.6988613847779265, 0.0025204871817103187]
(6, 2);4;0.9999997897566973;[0.9399105872254825, 1.976099476079256e-07]
(6, 2);5;0.9999952149057012;[0.9947742562389023, 4.7601113997102015e-06]
(6, 2);6;0.9999945777790907;[0.6224548035117521, 3.3751057511666595e-06]
(6, 2);7;0.9968273177230347;[0.522292569087151, 0.0016623424618002606]
(6, 2);8;0.9999869928692077;[0.7310477720636035, 9.50895767090825e-06]
(6, 2);9;0.9998766054607836;[0.6224029752967493, 7.681060635299034e-05]
(6, 3);0;0.9933071475402266;[0.8975920420266256, 0.006047929002854193]
(6, 3);1;0.9998601779243528;[0.49995589355603187, 6.991464638009452e-05]
(6, 3);2;0.999948557801588;[0.6224267185388926, 3.2020645964446675e-05]
(6, 3);3;0.9999869928672694;[0.7310490574930952, 9.50897580782296e-06]
(6, 3);4;0.9999810748438579;[0.5621656794820122, 1.0639274611847006e-05]
(6, 3);5;0.9968273175345281;[0.9809960417262404, 0.0031222949908516844]
(6, 3);6;0.9999038975988196;[0.622410599004685, 5.982090201685284e-05]
(6, 3);7;0.9999724643154502;[0.6224397406078445, 1.713977630407607e-05]
(6, 3);8;0.9999921107372375;[0.9859245610569227, 7.77827929115095e-06]
(6, 3);9;0.9996646499294787;[0.9043541284627027, 0.0003033769582405517]
(7, 0);0;0.9997965729920169;[0.983638521644326, 0.00020013935514530938]
(7, 0);1;0.9940889323696119;[0.888225534465025, 0.005281580987673864]
(7, 0);2;0.9525741227833249;[0.7103147726050295, 0.035364493308222285]
(7, 0);3;0.9740426450627306;[0.8541053880070599, 0.022761135585501618]
(7, 0);4;0.9875683487809279;[0.9331644421798669, 0.011746807083823868]
(7, 0);5;0.9975273766228422;[0.849497444935606, 0.002105693828970334]
(7, 0);6;0.03732688734412946;[0.023098772366130785, 0.5957251909923789]
(7, 0);7;2.902312856922544e-06;[2.893104231243419e-06, 0.9968242492015471]
(7, 0);8;0.9999957771665554;[0.7310485999670848, 3.0871095139621216e-06]
(7, 0);9;0.00023050672929044526;[0.00022632889954631648, 0.9816491254223768]
(7, 1);0;0.9999687980737283;[0.4999880782608479, 1.5601077938325832e-05]
(7, 1);1;0.9999885212332412;[0.5621691978000132, 6.4530831739199014e-06]
(7, 1);2;0.9046505261034854;[0.8136883767728196, 0.08576213289254439]
(7, 1);3;0.0002959572132449595;[0.0002958883604067353, 0.9994714670709094]
(7, 1);4;0.999569443005051;[0.9954937827390462, 0.0004288014350438553]
(7, 1);5;0.9840936050226358;[0.831200861180104, 0.013435113424146203]
(7, 1);6;0.9999977396766452;[0.9525341272305652, 2.1530400006138014e-06]
(7, 1);7;0.053403327728318656;[0.05334852664558657, 0.9456252997981348]
(7, 1);8;0.0024726230096193684;[0.0015308083604199563, 0.617572206722986]
(7, 1);9;0.9998415637997815;[0.6511575874149826, 0.00010318328186054732]
(7, 2);0;0.9890130567217291;[0.5217702021955949, 0.00579634371543785]
(7, 2);1;0.9996200154965683;[0.678949241641126, 0.00025808825997967425]
(7, 2);2;0.9998204719731473;[0.9044787422030884, 0.00016240844078487586]
(7, 2);3;0.9997388095563915;[0.7972843380905849, 0.00020829745525270408]
(7, 2);4;0.9999339478512087;[0.5308893506067999, 3.506869874095861e-05]
(7, 2);5;0.9999898700106795;[0.9525229851120429, 9.64914541241381e-06]
(7, 2);6;0.9999599363138897;[0.962576195740552, 3.856589565528481e-05]
(7, 2);7;0.9999992661793619;[0.9890120098185278, 7.257579567397223e-07]
(7, 2);8;0.9999687980992994;[0.8510656709964877, 2.655569514426242e-05]
(7, 2);9;0.9999546021212354;[0.9854684483942011, 4.474020825712125e-05]
(7, 3);0;0.999999352405408;[0.9706867588952302, 6.28611902612211e-07]
(7, 3);1;0.9999251537644042;[0.9625796166721092, 7.205085350440836e-05]
(7, 3);2;0.9999999226558527;[0.9998196688755632, 7.733020571395333e-08]
(7, 3);3;0.9796676479559089;[0.9787630355871554, 0.02031357741456926]
(7, 3);4;0.9999756997651011;[0.9963543295345115, 2.421223261313756e-05]
(7, 3);5;0.999664649969442;[0.529891052865038, 0.00017775859211993788]
(7, 3);6;0.0015011822870996904;[0.0015009171211160606, 0.9983224447810936]
(7, 3);7;0.9999599363052337;[0.9624401357157693, 3.856045270239537e-05]
(7, 3);8;0.9990889488869795;[0.7755105070452398, 0.000707173982246309]
(7, 3);9;0.9999898700132079;[0.9626553966508176, 9.751785238865286e-06]
(8, 0);0;0.9998601778576895;[0.8806771066004544, 0.0001231553795775955]
(8, 0);1;0.9999756997494803;[0.8175547558740552, 1.9867268160980964e-05]
(8, 0);2;0.999972464309331;[0.9987914879880464, 2.7503170774892556e-05]
(8, 0);3;9.610241549947396e-05;[6.526905951753074e-05, 0.6790962190082617]
(8, 0);4;0.9999251537540883;[0.9819382353438159, 7.349989182353862e-05]
(8, 0);5;0.9999974387180182;[0.6791765914211209, 1.7395672215641695e-06]
(8, 0);6;0.9999646437462207;[0.9980325146638506, 3.5287938517709636e-05]
(8, 0);7;0.99996464373859;[0.9769809995459305, 3.4543616945763144e-05]
(8, 0);8;0.9999952149046494;[0.8175674136053354, 3.912156749628899e-06]
(8, 0);9;0.4687906266262437;[0.256030987078209, 0.2901211169448451]
(8, 1);0;0.9999982396570227;[0.9241374333001872, 1.6268017044643279e-06]
(8, 1);1;0.9999339478413668;[0.6791388226911648, 4.486154845253781e-05]
(8, 1);2;0.9999687980751231;[0.8519274086361288, 2.658260443330177e-05]
(8, 1);3;0.9998204721155748;[0.952389754633823, 0.00017101121908005148]
(8, 1);4;0.9149009503523291;[0.5461560215901134, 0.05080042640547378]
(8, 1);5;0.007577240315400599;[0.00696546331882553, 0.9122957754554492]
(8, 1);6;0.9999339478626499;[0.9816979502817917, 6.484753116646788e-05]
(8, 1);7;0.9914225142219734;[0.986267792177196, 0.008532888692127922]
(8, 1);8;0.4073334000459302;[0.23014343058675346, 0.33485671563450625]
(8, 1);9;0.9999910603014972;[0.9241309128868636, 8.261525593851146e-06]
(8, 2);0;0.9999898700089437;[0.9525627921713727, 9.649550315163771e-06]
(8, 2);1;0.9999998724809158;[0.9399128001380361, 1.198568348010785e-07]
(8, 2);2;0.9999977396763758;[0.5621751957452754, 1.2707007481199866e-06]
(8, 2);3;0.9999984465015972;[0.9241395677643853, 1.4356515727353306e-06]
(8, 2);4;0.9999984465028763;[0.9399107973118935, 1.4601509885817089e-06]
(8, 2);5;0.9999852610127545;[0.7772853419422817, 1.1456567599196485e-05]
(8, 2);6;0.9999810748562659;[0.4999936809952568, 9.46263136059374e-06]
(8, 2);7;0.9999982396565769;[0.7310561818636294, 1.2869122071344907e-06]
(8, 2);8;0.999569442848132;[0.8802445307626514, 0.0003791588276575282]
(8, 2);9;0.9999987901343166;[0.6224585878453959, 7.530921959914857e-07]
(8, 3);0;0.9991959141362039;[0.6787078088689963, 0.0005461785291940601]
(8, 3);1;0.9978172837818329;[0.8786315325271599, 0.001921998473078505]
(8, 3);2;0.9999999634651534;[0.9770225330147962, 3.5695369666612426e-08]
(8, 3);3;0.9997965730219449;[0.6223570866285727, 0.00012662998135853186]
(8, 3);4;0.9999990577554272;[0.9241399740016781, 8.707666955286398e-07]
(8, 3);5;0.99998329857417;[0.6224465671004108, 1.0395918800206524e-05]
(8, 3);6;0.9999957771651711;[0.90464436563046, 3.820179867037831e-06]
(8, 3);7;0.9999970976877607;[0.9947760257709041, 2.8871590143854024e-06]
(8, 3);8;0.999981074847242;[0.7772824694989541, 1.4710467869280954e-05]
(8, 3);9;0.9990889490056588;[0.9569558506815921, 0.0008726305902710691]
(9, 0);0;0.9999999317439311;[0.9998411192709713, 6.824522901024874e-08]
(9, 0);1;0.9999599362886676;[0.6224280170235681, 2.493777549900923e-05]
(9, 0);2;0.9999998555020547;[0.9859362646794895, 1.4246578505463303e-07]
(9, 0);3;0.9999930377452857;[0.9980585194664585, 6.9487860114474626e-06]
(9, 0);4;0.9999251537875796;[0.9993652560718247, 7.480430306027337e-05]
(9, 0);5;0.999985261012782;[0.9980484260364909, 1.4710439811316935e-05]
(9, 0);6;0.9999996940978524;[0.9997961936663362, 3.0583989639810695e-07]
(9, 0);7;0.9997965730272486;[0.9562709860157043, 0.00019457089278298437]
(9, 0);8;0.9999646437502707;[0.9997606850251493, 3.534903825865143e-05]
(9, 0);9;0.9999646437397752;[0.6224317084447992, 2.2007635563566187e-05]
