id;iter;estimations
(0, 0);0;7.216418086021309e-46
(0, 0);1;9.32363789195769e-59
(0, 0);2;3.95129901047979e-50
(0, 0);3;5.173114988356036e-31
(0, 0);4;2.4610791814014748e-32
(0, 0);5;5.265080284600133e-35
(0, 0);6;4.5365552761494135e-62
(0, 0);7;1.9631606350787836e-68
(0, 0);8;7.000650888245329e-40
(0, 0);9;8.91184343759988e-62
(0, 1);0;1.4321814591830718e-62
(0, 1);1;3.288454838874983e-42
(0, 1);2;5.753762813755965e-22
(0, 1);3;2.9788343201320505e-39
(0, 1);4;5.535290458276495e-37
(0, 1);5;7.380330950996494e-50
(0, 1);6;1.0293562087709283e-30
(0, 1);7;1.4090622655451104e-20
(0, 1);8;1.033059930796188e-22
(0, 1);9;1.8217547725642864e-20
(0, 2);0;5.625563296955902e-49
(0, 2);1;1.2231542038120132e-52
(0, 2);2;1.3116635862085177e-71
(0, 2);3;4.286011687006553e-58
(0, 2);4;2.366399904483913e-25
(0, 2);5;2.5485042703947516e-36
(0, 2);6;3.010106881083244e-47
(0, 2);7;7.633145047573188e-45
(0, 2);8;1.5392890902539284e-32
(0, 2);9;3.2623307621947316e-46
(0, 3);0;1.7590849153666774e-78
(0, 3);1;8.44212212633469e-80
(0, 3);2;1.1339401962932557e-67
(0, 3);3;2.621680422424286e-40
(0, 3);4;4.1629639820636616e-33
(0, 3);5;3.0530272461000017e-48
(0, 3);6;5.032777783522585e-26
(0, 3);7;1.4257071753491027e-63
(0, 3);8;2.9075802253554436e-58
(0, 3);9;1.328981357244971e-63
(1, 0);0;9.31781627923722e-37
(1, 0);1;3.766567037924218e-50
(1, 0);2;3.3317223783627297e-39
(1, 0);3;4.2156341795780475e-82
(1, 0);4;1.2229937896637628e-56
(1, 0);5;1.7016614092198886e-82
(1, 0);6;7.27063066400496e-61
(1, 0);7;1.9758333376681213e-63
(1, 0);8;7.946100812453165e-32
(1, 0);9;5.737275632561386e-52
(1, 1);0;1.881769098514753e-39
(1, 1);1;5.679786885773415e-45
(1, 1);2;2.723654615908344e-42
(1, 1);3;4.442531647856801e-59
(1, 1);4;5.469029991036337e-44
(1, 1);5;1.2651156953851789e-48
(1, 1);6;8.551597327574595e-57
(1, 1);7;8.213306071008344e-54
(1, 1);8;9.016785945634419e-39
(1, 1);9;1.5766316929571787e-44
(1, 2);0;1.21701576384206e-72
(1, 2);1;2.318226096143661e-98
(1, 2);2;1.8328696219722075e-40
(1, 2);3;5.0034863770236015e-53
(1, 2);4;2.1599769507809902e-72
(1, 2);5;3.1892174820796884e-53
(1, 2);6;4.618489151205694e-36
(1, 2);7;2.688184005775637e-23
(1, 2);8;5.958735806735655e-62
(1, 2);9;3.15431369195683e-14
(1, 3);0;1.326875641121429e-41
(1, 3);1;3.418843412792115e-69
(1, 3);2;3.85341603701616e-40
(1, 3);3;4.7250826813524125e-49
(1, 3);4;3.7470397031233163e-65
(1, 3);5;7.49637705680292e-35
(1, 3);6;2.4845460735358624e-102
(1, 3);7;6.451914313263309e-43
(1, 3);8;3.834817981899905e-42
(1, 3);9;7.319711244411747e-62
(2, 0);0;7.556051001158237e-35
(2, 0);1;1.6694579943650608e-54
(2, 0);2;1.9530419019374627e-35
(2, 0);3;3.649336164958398e-51
(2, 0);4;1.742302839412838e-70
(2, 0);5;1.3360966896829755e-29
(2, 0);6;1.375798785544168e-32
(2, 0);7;4.10936217753934e-27
(2, 0);8;8.24439405420178e-43
(2, 0);9;5.607774515393421e-56
(2, 1);0;2.1651064736915502e-103
(2, 1);1;4.47404491909252e-49
(2, 1);2;1.14827715134784e-59
(2, 1);3;2.611345947847242e-29
(2, 1);4;5.683971129643424e-79
(2, 1);5;4.191814527987899e-41
(2, 1);6;1.9942095073621598e-23
(2, 1);7;5.4087108436151974e-39
(2, 1);8;7.819687324585391e-48
(2, 1);9;9.882052289245243e-44
(2, 2);0;1.6293312851141553e-36
(2, 2);1;1.8373932003930815e-41
(2, 2);2;9.07786567703481e-42
(2, 2);3;2.84250530758349e-32
(2, 2);4;2.878636662170323e-34
(2, 2);5;1.4121387026916015e-37
(2, 2);6;1.4791613942656378e-18
(2, 2);7;8.475596930269164e-53
(2, 2);8;1.2200242962675022e-64
(2, 2);9;2.1770461471470932e-38
(2, 3);0;1.3378935637806867e-49
(2, 3);1;1.7578582821659257e-58
(2, 3);2;6.479051717302723e-45
(2, 3);3;2.353823201007139e-99
(2, 3);4;1.243713364156687e-38
(2, 3);5;1.7359397135688657e-50
(2, 3);6;1.1551674671698782e-61
(2, 3);7;2.6166568496254894e-29
(2, 3);8;2.1329316744922628e-74
(2, 3);9;9.110741039693322e-47
(3, 0);0;7.238183036951215e-109
(3, 0);1;1.3373456694111238e-99
(3, 0);2;2.0674099438232266e-60
(3, 0);3;4.265956646334025e-64
(3, 0);4;2.1863287519400988e-155
(3, 0);5;1.772565431493292e-71
(3, 0);6;3.005791954686606e-202
(3, 0);7;1.2829282399753995e-124
(3, 0);8;3.811048562118438e-135
(3, 0);9;7.277423279729098e-80
(3, 1);0;1.2063048890352998e-63
(3, 1);1;3.8256114651091534e-48
(3, 1);2;1.2719653320961148e-139
(3, 1);3;2.4419852761042156e-195
(3, 1);4;1.9309822209678267e-94
(3, 1);5;1.3939358136427278e-60
(3, 1);6;1.0328402698119891e-181
(3, 1);7;1.9456711207671968e-69
(3, 1);8;1.9019444811582505e-113
(3, 1);9;4.1171800812808176e-145
(3, 2);0;4.5024227780570685e-129
(3, 2);1;2.4861001499266706e-115
(3, 2);2;1.1736003591483801e-76
(3, 2);3;9.825118043213912e-80
(3, 2);4;1.8252410339225672e-75
(3, 2);5;1.0870744157692746e-93
(3, 2);6;3.0421318213551533e-61
(3, 2);7;3.3971800063211784e-82
(3, 2);8;1.184989825963462e-54
(3, 2);9;4.8921630978399385e-47
(3, 3);0;6.1154321963539e-93
(3, 3);1;3.31924163971859e-127
(3, 3);2;2.98929073012083e-121
(3, 3);3;7.854711065386118e-182
(3, 3);4;7.71095437714498e-89
(3, 3);5;3.7198628809248404e-89
(3, 3);6;2.863932590241519e-91
(3, 3);7;2.235374512848955e-108
(3, 3);8;1.3665509241631388e-214
(3, 3);9;3.0087037482026417e-60
(4, 0);0;1.0848380623073937e-88
(4, 0);1;4.374525941644653e-52
(4, 0);2;3.4790932994481775e-54
(4, 0);3;1.4888705893991015e-18
(4, 0);4;4.648262346633569e-46
(4, 0);5;1.2469300281091164e-36
(4, 0);6;0.04763080514470578
(4, 0);7;9.141295451370237e-65
(4, 0);8;1.4532417379678896e-11
(4, 0);9;3.627347984822203e-60
(4, 1);0;5.826401007600781e-53
(4, 1);1;9.665649405721113e-135
(4, 1);2;3.436794067530405e-69
(4, 1);3;3.7648974433633894e-64
(4, 1);4;6.958808501460478e-63
(4, 1);5;2.8905366703685496e-68
(4, 1);6;1.4549590484878073e-37
(4, 1);7;2.1031019054242498e-119
(4, 1);8;7.995273100590682e-55
(4, 1);9;1.6342325389358048e-78
(4, 2);0;1.4443668413109322e-82
(4, 2);1;5.767603885759587e-63
(4, 2);2;1.5157002828610738e-38
(4, 2);3;1.4895892482381447e-89
(4, 2);4;3.863384298090163e-59
(4, 2);5;7.582637600724485e-113
(4, 2);6;7.245165116626307e-96
(4, 2);7;1.0981112543766145e-35
(4, 2);8;4.5753591302009474e-55
(4, 2);9;1.1246522345030969e-82
(4, 3);0;4.1057821744557525e-63
(4, 3);1;7.288197380865326e-82
(4, 3);2;2.5899845296372147e-153
(4, 3);3;6.388400310474865e-56
(4, 3);4;2.71061522001443e-75
(4, 3);5;4.774305841975459e-97
(4, 3);6;5.051888740581092e-72
(4, 3);7;7.269299355669496e-69
(4, 3);8;0.00011342774254596071
(4, 3);9;0.00013278140847140752
(5, 0);0;2.085460214411093e-37
(5, 0);1;1.392151275605853e-53
(5, 0);2;1.254305041195721e-38
(5, 0);3;8.244635341075706e-36
(5, 0);4;5.039792325349813e-36
(5, 0);5;2.8396121279751673e-45
(5, 0);6;2.1680986429039998e-38
(5, 0);7;2.4673138337819742e-33
(5, 0);8;3.5245159604106483e-41
(5, 0);9;3.8413372964303524e-51
(5, 1);0;4.069004983672992e-38
(5, 1);1;1.0633222530472743e-32
(5, 1);2;3.5304726032468523e-37
(5, 1);3;3.0005727512961783e-62
(5, 1);4;4.454527935144634e-48
(5, 1);5;2.5812705413564177e-82
(5, 1);6;3.1659058995584167e-54
(5, 1);7;3.7648954304067447e-63
(5, 1);8;1.578818475831444e-44
(5, 1);9;5.7678552203174356e-39
(5, 2);0;4.336541700531393e-73
(5, 2);1;8.463392972497221e-50
